"",BBEX3.M.MWK.USD.CA.AA.A01,BBEX3.M.MWK.USD.CA.AA.A01_FLAGS
2013-04,392.7520,
2013-05,318.3547,
2013-06,325.4233,
2013-07,322.5312,
2013-08,327.1238,
2013-09,359.0284,
2013-10,383.9310,
2013-11,404.2422,
2013-12,421.6497,
2014-01,420.4422,
2014-02,408.8666,
2014-03,396.0865,
2014-04,385.8153,
2014-05,385.1198,
2014-06,385.3261,
2014-07,386.0484,
2014-08,385.7470,
2014-09,398.8309,
2014-10,455.5135,
2014-11,482.2005,
2014-12,454.7733,
2015-01,439.2661,
2015-02,427.3003,
"","Source: Reserve Bank of Malawi, Lilongwe",
"","Comment on 1994-02: On 7 February 1994, the exchange rates were allowed to float freely.",
"","Comment on 1998-08: On 21 and 24 August 1998, the exchange rates were adjusted more sharply. We recorded the following rates (buying/selling rate):  20 August 1998: USD 1 = MWK 26.6665 / 26.9345 21 August 1998: USD 1 = MWK 33.8300 / 34.1700  24 August 1998: USD 1 = MWK 41.7900 / 42.2100 Calculated using the exchange rates from 20 and 24 August 1998 the Malawi kwacha was devalued by 36.2%.",
"",Comment on 2010-01: Exchange rate as of 22 January 2010.,
"","Comment on 2012-05: On 7 May 2012, the Malawi kwacha was devalued. We recorded the following exchange rates (buying/selling rate):  4 May 2012: USD 1 = MWK 164.5375 / 167.8615  7 May 2012: USD 1 = MWK 247.50 / 252.50 Calculated devaluation: 33.5%",
