"",BBFB1.M.N.DE.W1.S1.S1.T.D.D45.D.F5._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.D45.D.F5._Z._T._X.N_FLAGS
2009-05,126.957,
2009-06,136.467,
2009-07,144.484,
2009-08,134.524,
2009-09,118.155,
2009-10,145.536,
2009-11,131.095,
2009-12,165.352,
2010-01,125.891,
2010-02,111.453,
2010-03,136.612,
2010-04,148.450,
2010-05,130.012,
2010-06,128.603,
2010-07,151.860,
2010-08,136.769,
2010-09,134.637,
2010-10,161.996,
2010-11,143.108,
2010-12,196.628,
2011-01,149.906,
2011-02,142.798,
2011-03,140.688,
2011-04,131.644,
2011-05,162.063,
2011-06,157.480,
2011-07,150.839,
2011-08,140.248,
2011-09,146.038,
2011-10,142.534,
2011-11,142.925,
2011-12,186.927,
2012-01,144.820,
2012-02,112.813,
2012-03,199.000,
2012-04,259.451,
2012-05,144.382,
2012-06,173.579,
2012-07,266.971,
2012-08,150.135,
2012-09,226.190,
2012-10,227.362,
2012-11,230.955,
2012-12,275.627,
2013-01,214.153,
2013-02,158.152,
2013-03,151.440,
2013-04,181.734,
2013-05,177.448,
2013-06,195.730,
2013-07,231.923,
2013-08,228.069,
2013-09,168.824,
2013-10,232.701,
2013-11,191.641,
2013-12,224.222,
2014-01,151.751,
2014-02,128.782,Provisional value
2014-03,147.912,Provisional value
2014-04,185.578,Provisional value
2014-05,192.433,Provisional value
2014-06,167.290,Provisional value
2014-07,253.358,Provisional value
2014-08,287.138,Provisional value
2014-09,193.878,
2014-10,165.761,
2014-11,175.375,
2014-12,223.651,Provisional value
