"",BBFN1.M.DE.N.1.L.BR.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BR.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1991-01,0.022,
1991-02,0.023,
1991-03,0.024,
1991-04,0.024,
1991-05,0.024,
1991-06,0.024,
1991-07,0.021,
1991-08,0.021,
1991-09,0.022,
1991-10,0.022,
1991-11,0.021,
1991-12,0.021,
1992-01,0.021,
1992-02,0.022,
1992-03,0.022,
1992-04,0.022,
1992-05,0.021,
1992-06,0.022,
1992-07,0.021,
1992-08,0.029,
1992-09,0.030,
1992-10,0.031,
1992-11,0.030,
1992-12,0.055,
1993-01,0.053,
1993-02,0.052,
1993-03,0.051,
1993-04,0.050,
1993-05,0.051,
1993-06,0.053,
1993-07,0.049,
1993-08,0.047,
1993-09,0.054,
1993-10,0.054,
1993-11,0.050,
1993-12,0.051,
1994-01,0.055,
1994-02,0.053,
1994-03,0.053,
1994-04,0.050,
1994-05,0.041,
1994-06,0.044,
1994-07,0.045,
1994-08,0.052,
1994-09,0.048,
1994-10,0.049,
1994-11,0.051,
1994-12,0.057,
1995-01,0.045,
1995-02,0.044,
1995-03,0.041,
1995-04,0.042,
1995-05,0.039,
1995-06,0.037,
1995-07,0.030,
1995-08,0.039,
1995-09,0.036,
1995-10,0.037,
1995-11,0.035,
1995-12,0.159,
1996-01,0.043,
1996-02,0.043,
1996-03,0.060,
1996-04,0.072,
1996-05,0.060,
1996-06,0.046,
1996-07,0.039,
1996-08,0.058,
1996-09,0.051,
1996-10,0.049,
1996-11,0.054,
1996-12,0.160,
1997-01,0.062,
1997-02,0.053,
1997-03,0.053,
1997-04,0.046,
1997-05,0.057,
1997-06,0.061,
1997-07,0.048,
1997-08,0.048,
1997-09,0.046,
1997-10,0.054,
1997-11,0.048,
1997-12,0.192,
1998-01,0.047,
1998-02,0.043,
1998-03,0.042,
1998-04,0.039,
1998-05,0.042,
1998-06,0.051,
1998-07,0.046,
1998-08,0.051,
1998-09,0.170,
1998-10,0.084,
1998-11,0.092,
1998-12,0.084,
1999-01,0.081,
1999-02,0.082,
1999-03,0.083,
1999-04,0.072,
1999-05,0.072,
1999-06,0.095,
1999-07,0.079,
1999-08,0.056,
1999-09,0.062,
1999-10,0.065,
1999-11,0.065,
1999-12,0.070,
2000-01,0.097,
2000-02,0.083,
2000-03,0.112,
2000-04,0.071,
2000-05,0.071,
2000-06,0.079,
2000-07,0.082,
2000-08,0.090,
2000-09,0.115,
2000-10,0.120,
2000-11,0.112,
2000-12,0.121,
2001-01,0.128,
2001-02,0.114,
2001-03,0.111,
2001-04,0.103,
2001-05,0.061,
2001-06,0.066,
2001-07,0.068,
2001-08,0.081,
2001-09,0.080,
2001-10,0.083,
2001-11,0.081,
2001-12,0.107,
2002-01,0.087,
2002-02,0.086,
2002-03,0.061,
2002-04,0.079,
2002-05,0.078,
2002-06,0.075,
2002-07,0.058,
2002-08,0.054,
2002-09,0.062,
2002-10,0.045,
2002-11,0.042,
2002-12,0.047,
2003-01,0.063,
2003-02,0.093,
2003-03,0.093,
2003-04,0.086,
2003-05,0.083,
2003-06,0.082,
2003-07,0.072,
2003-08,0.078,
2003-09,0.080,
2003-10,0.100,
2003-11,0.105,
2003-12,0.075,
2004-01,0.095,
2004-02,0.078,
2004-03,0.077,
2004-04,0.080,
2004-05,0.077,
2004-06,0.076,
2004-07,0.077,
2004-08,0.078,
2004-09,0.079,
2004-10,0.080,
2004-11,0.072,
2004-12,0.071,
2005-01,0.076,
2005-02,0.080,
2005-03,0.083,
2005-04,0.093,
2005-05,0.087,
2005-06,0.082,
2005-07,0.078,
2005-08,0.075,
2005-09,0.086,
2005-10,0.069,
2005-11,0.061,
2005-12,0.064,
2006-01,0.124,
2006-02,0.129,
2006-03,0.096,
2006-04,0.251,
2006-05,0.073,
2006-06,0.083,
2006-07,0.081,
2006-08,0.083,
2006-09,0.082,
2006-10,0.095,
2006-11,0.090,
2006-12,0.096,
2007-01,0.095,
2007-02,0.101,
2007-03,0.096,
2007-04,0.101,
2007-05,0.110,
2007-06,0.103,
2007-07,0.090,
2007-08,0.091,
2007-09,0.102,
2007-10,0.087,
2007-11,0.148,
2007-12,0.090,
2008-01,0.089,
2008-02,0.102,
2008-03,0.080,
2008-04,0.083,
2008-05,0.099,
2008-06,0.080,
2008-07,0.082,
2008-08,0.090,
2008-09,0.092,
2008-10,0.103,
2008-11,0.132,
2008-12,0.135,
2009-01,0.141,
2009-02,0.136,
2009-03,0.141,
2009-04,0.079,
2009-05,0.098,
2009-06,0.050,
2009-07,0.048,
2009-08,0.073,
2009-09,0.078,
2009-10,0.061,
2009-11,0.054,
2009-12,0.073,
2010-01,0.082,
2010-02,0.082,
2010-03,0.089,
2010-04,0.086,
2010-05,0.076,
2010-06,0.085,
2010-07,0.087,
2010-08,0.082,
2010-09,0.080,
2010-10,0.066,
2010-11,0.053,
2010-12,0.077,
2011-01,0.069,
2011-02,0.060,
2011-03,0.109,
2011-04,0.106,
2011-05,0.113,
2011-06,0.113,
2011-07,0.124,
2011-08,0.127,
2011-09,0.125,
2011-10,0.111,
2011-11,0.119,
2011-12,0.142,
2012-01,0.160,
2012-02,0.169,
2012-03,0.177,
2012-04,0.188,
2012-05,0.184,
2012-06,0.192,
2012-07,0.183,
2012-08,0.182,
2012-09,0.115,
2012-10,0.110,
2012-11,0.093,
2012-12,0.107,
2013-01,0.188,
2013-02,0.181,
2013-03,0.090,
2013-04,0.103,
2013-05,0.142,
2013-06,0.112,
2013-07,0.124,
2013-08,0.121,
2013-09,0.125,
2013-10,0.148,
2013-11,0.139,
2013-12,0.110,
2014-01,0.114,
2014-02,0.105,
2014-03,0.102,
2014-04,0.084,
2014-05,0.099,
2014-06,0.100,
2014-07,0.096,
2014-08,0.095,
2014-09,0.096,
2014-10,0.082,
2014-11,0.084,
2014-12,0.083,
