"",BBFB1.M.N.DE.W1.S1.S1.T.C.G___AA._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.G___AA._Z._Z._Z._T._X.N_FLAGS
1998-02,856.277,
1998-03,708.330,
1998-04,1068.902,
1998-05,1031.993,
1998-06,1027.862,
1998-07,758.644,
1998-08,777.275,
1998-09,561.209,
1998-10,677.521,
1998-11,782.616,
1998-12,748.408,
1999-01,599.560,
1999-02,1257.572,
1999-03,582.666,
1999-04,880.297,
1999-05,869.741,
1999-06,967.619,
1999-07,1089.874,
1999-08,682.465,
1999-09,622.180,
1999-10,821.704,
1999-11,787.932,
1999-12,807.363,
2000-01,731.277,
2000-02,701.229,
2000-03,753.648,
2000-04,680.127,
2000-05,1596.850,
2000-06,962.601,
2000-07,1126.620,
2000-08,838.499,
2000-09,1354.184,
2000-10,1249.360,
2000-11,1683.548,
2000-12,1251.096,
2001-01,1053.203,
2001-02,1269.753,
2001-03,1436.819,
2001-04,1661.027,
2001-05,1143.991,
2001-06,935.753,
2001-07,1153.883,
2001-08,1164.883,
2001-09,1283.745,
2001-10,962.051,
2001-11,1087.746,
2001-12,1300.898,
2002-01,867.615,
2002-02,896.171,
2002-03,929.766,
2002-04,1131.312,
2002-05,983.075,
2002-06,889.645,
2002-07,1250.120,
2002-08,1050.620,
2002-09,971.040,
2002-10,1163.283,
2002-11,1160.005,
2002-12,1364.393,
2003-01,1319.602,
2003-02,1033.636,
2003-03,1068.922,
2003-04,1075.970,
2003-05,1105.173,
2003-06,1415.470,
2003-07,1148.336,
2003-08,1063.498,
2003-09,1180.015,
2003-10,1039.755,
2003-11,921.133,
2003-12,1406.588,
2004-01,943.202,
2004-02,933.394,
2004-03,1446.060,
2004-04,1382.580,
2004-05,1312.809,
2004-06,1427.364,
2004-07,1396.568,
2004-08,1249.244,
2004-09,1152.192,
2004-10,1192.732,
2004-11,1093.390,
2004-12,1604.049,
2005-01,1103.656,
2005-02,1000.900,
2005-03,1577.796,
2005-04,1214.260,
2005-05,1208.077,
2005-06,1329.474,
2005-07,1440.713,
2005-08,1805.965,
2005-09,1376.897,
2005-10,1318.498,
2005-11,1542.548,
2005-12,1732.417,
2006-01,1167.609,
2006-02,1177.341,
2006-03,1221.732,
2006-04,1084.613,
2006-05,1129.805,
2006-06,1270.680,
2006-07,1305.619,
2006-08,1178.748,
2006-09,1366.100,
2006-10,1158.925,
2006-11,1305.402,
2006-12,1405.700,
2007-01,1058.939,
2007-02,1132.993,
2007-03,1196.943,
2007-04,1408.580,
2007-05,1388.348,
2007-06,1317.835,
2007-07,1123.511,
2007-08,1019.040,
2007-09,1212.255,
2007-10,1532.836,
2007-11,1169.106,
2007-12,1479.583,
2008-01,1165.631,
2008-02,1326.696,
2008-03,1164.276,
2008-04,1223.807,
2008-05,1276.072,
2008-06,1535.887,
2008-07,1372.698,
2008-08,1503.247,
2008-09,1518.719,
2008-10,1466.664,
2008-11,1299.834,
2008-12,1218.942,
2009-01,1175.460,
2009-02,1267.545,
2009-03,1112.656,
2009-04,1180.839,
2009-05,1117.327,
2009-06,1137.945,
2009-07,1315.375,
2009-08,1201.848,
2009-09,1179.117,
2009-10,1413.041,
2009-11,1759.255,
2009-12,1944.248,
2010-01,1391.541,
2010-02,1280.169,
2010-03,1690.376,
2010-04,1486.215,
2010-05,1634.702,
2010-06,1745.836,
2010-07,1404.378,
2010-08,1579.004,
2010-09,1813.603,
2010-10,1567.849,
2010-11,1498.284,
2010-12,2217.097,
2011-01,2416.648,
2011-02,1701.819,
2011-03,1903.346,
2011-04,2194.412,
2011-05,1956.205,
2011-06,2284.538,
2011-07,1888.098,
2011-08,2135.714,
2011-09,2344.355,
2011-10,1911.261,
2011-11,2441.373,
2011-12,2456.390,
2012-01,3038.307,
2012-02,2785.290,
2012-03,3198.913,
2012-04,2140.671,
2012-05,2178.108,
2012-06,2554.429,
2012-07,1962.157,
2012-08,2119.981,
2012-09,2950.586,
2012-10,2986.470,
2012-11,2058.223,
2012-12,1973.811,
2013-01,2209.442,
2013-02,2039.425,
2013-03,2154.214,
2013-04,2370.452,
2013-05,2235.282,
2013-06,1663.477,
2013-07,2242.386,
2013-08,2355.782,
2013-09,2162.967,
2013-10,2170.693,
2013-11,2419.610,
2013-12,2598.511,
2014-01,2223.972,
2014-02,2354.039,
2014-03,2245.256,
2014-04,2319.342,
2014-05,2126.348,
2014-06,2412.858,
2014-07,2273.120,
2014-08,2298.795,
2014-09,2474.467,
2014-10,2484.107,
2014-11,2623.568,
2014-12,2747.466,Provisional value
