"",BBEX3.M.AMD.USD.CA.AC.A01,BBEX3.M.AMD.USD.CA.AC.A01_FLAGS
2001-09,554.15,
2001-10,563.00,
2001-11,566.50,
2001-12,562.20,
2002-01,564.40,
2002-02,568.20,
2002-03,575.95,
2002-04,579.35,
2002-05,582.20,
2002-06,577.15,
2002-07,561.50,
2002-08,557.00,
2002-09,580.20,
2002-10,582.75,
2002-11,585.85,
2002-12,584.85,
2003-01,584.75,
2003-02,588.45,
2003-03,589.50,
2003-04,587.00,
2003-05,585.05,
2003-06,584.80,
2003-07,574.00,
2003-08,581.20,
2003-09,570.10,
2003-10,558.35,
2003-11,566.15,
2003-12,566.00,
2004-01,566.05,
2004-02,564.35,
2004-03,561.55,
2004-04,547.10,
2004-05,548.40,
2004-06,534.45,
2004-07,519.10,
2004-08,515.30,
2004-09,508.20,
2004-10,504.25,
2004-11,501.00,
2004-12,485.85,
2005-01,478.50,
2005-02,471.20,
2005-03,458.10,
2005-04,439.25,
2005-05,445.05,
2005-06,442.35,
2005-07,447.70,
2005-08,468.35,
2005-09,444.25,
2005-10,451.20,
2005-11,449.35,
2005-12,450.20,
2006-01,449.20,
2006-02,450.70,
2006-03,450.90,
2006-04,446.15,
2006-05,427.55,
2006-06,418.80,
2006-07,415.35,
2006-08,396.55,
2006-09,381.50,
2006-10,378.93,
2006-11,369.05,
2006-12,363.44,
2007-01,359.35,
2007-02,353.61,
2007-03,362.13,
2007-04,356.97,
2007-05,347.87,
2007-06,340.95,
2007-07,337.18,
2007-08,336.45,
2007-09,335.79,
2007-10,325.09,
2007-11,305.33,
2007-12,304.22,
2008-01,306.84,
2008-02,307.81,
2008-03,307.25,
2008-04,306.82,
2008-05,305.52,
2008-06,302.65,
2008-07,300.97,
2008-08,303.33,
2008-09,302.12,
2008-10,305.10,
2008-11,305.42,
2008-12,306.73,
2009-01,305.21,
2009-02,305.83,
2009-03,367.77,comment
2009-04,372.22,
2009-05,370.28,
2009-06,360.06,
2009-07,370.34,
2009-08,374.89,
2009-09,384.28,
2009-10,386.37,
2009-11,385.76,
2009-12,377.89,
2010-01,376.69,
2010-02,384.65,
2010-03,400.50,
2010-04,384.85,
2010-05,379.04,
2010-06,367.50,
2010-07,370.16,
2010-08,362.72,
2010-09,361.31,
2010-10,358.21,
2010-11,359.07,
2010-12,363.44,
2011-01,363.02,
2011-02,367.37,
2011-03,369.68,
2011-04,370.18,
2011-05,376.78,
2011-06,368.86,
2011-07,363.48,
2011-08,367.55,
2011-09,372.05,
2011-10,379.59,
2011-11,381.80,
2011-12,385.77,
2012-01,386.81,
2012-02,388.75,
2012-03,390.64,
2012-04,392.16,
2012-05,405.74,
2012-06,418.01,
2012-07,407.60,
2012-08,408.59,
2012-09,406.25,
2012-10,405.47,
2012-11,405.32,
2012-12,403.58,
2013-01,406.64,
2013-02,409.22,
2013-03,418.58,
2013-04,410.98,
2013-05,417.22,
2013-06,409.90,
2013-07,409.75,
2013-08,406.24,
2013-09,405.29,
2013-10,405.03,
2013-11,403.91,
2013-12,405.64,
2014-01,408.11,
2014-02,413.15,
2014-03,413.31,
2014-04,413.59,
2014-05,413.28,
2014-06,407.28,
2014-07,406.01,
2014-08,411.23,
2014-09,407.60,
2014-10,411.26,
2014-11,433.69,
2014-12,474.97,
2015-01,476.74,
"","General: With effect from 22 November 1993, the Armenian dram was introduced as legal tender at the rate of 200 rouble = 1 dram. Since 1 March 1994, the dram has been the sole legal tender.",
"","Source: Central Bank of Armenia, Yerevan (from January 2001 to September 2006 calculated on the basis of buying and selling rates).",
"",Comment on 2009-03: Exchange rate floated as from 3 March 2009.,
