"",BBEX3.M.NGN.USD.CA.AB.A01,BBEX3.M.NGN.USD.CA.AB.A01_FLAGS
2001-08,111.6000,
2001-09,111.6000,
2001-10,111.6000,
2001-11,112.6000,
2001-12,113.4500,
2002-01,114.2000,
2002-02,115.7000,
2002-03,116.1000,
2002-04,116.3000,
2002-05,116.8000,
2002-06,120.1000,
2002-07,126.0000,
2002-08,126.0000,
2002-09,126.2500,
2002-10,126.7500,
2002-11,126.9100,
2002-12,126.9000,
2003-01,127.2700,
2003-02,127.0200,
2003-03,127.3700,
2003-04,127.6000,
2003-05,127.8200,
2003-06,127.9200,
2003-07,127.7300,
2003-08,128.3000,
2003-09,128.3600,
2003-10,132.5200,
2003-11,138.2000,
2003-12,137.0000,
2004-01,135.3000,
2004-02,135.0000,
2004-03,133.7000,
2004-04,133.3000,
2004-05,132.7500,
2004-06,132.7500,
2004-07,132.8200,
2004-08,132.8300,
2004-09,132.8700,
2004-10,132.9000,
2004-11,132.8800,
2004-12,132.8500,
2005-01,132.8600,
2005-02,132.8500,
2005-03,132.8500,
2005-04,132.8300,
2005-05,132.8300,
2005-06,132.8700,
2005-07,132.8600,
2005-08,129.5700,
2005-09,129.5000,
2005-10,129.5300,
2005-11,129.0100,
2005-12,129.0000,
2006-01,129.0000,
2006-02,128.0000,
2006-03,127.2500,
2006-04,127.1800,
2006-05,127.1900,
2006-06,127.1700,
2006-07,127.0900,
2006-08,127.0200,
2006-09,127.0000,
2006-10,127.0200,
2006-11,127.0000,
2006-12,127.0000,
2007-01,127.0100,
2007-02,127.0100,
2007-03,126.7900,
2007-04,126.6000,
2007-05,126.2300,
2007-06,126.0500,
2007-07,125.8600,
2007-08,124.9500,
2007-09,124.4000,
2007-10,121.8800,
2007-11,117.6800,
2007-12,116.8000,
2008-01,116.8100,
2008-02,116.7800,
2008-03,116.7300,
2008-04,116.7000,
2008-05,116.6600,
2008-06,116.6300,
2008-07,116.5900,
2008-08,116.5600,
2008-09,116.5600,
2008-10,116.5700,
2008-11,116.6200,
2008-12,131.2500,
2009-01,144.5100,
2009-02,145.8500,
2009-03,145.7000,
2009-04,145.9000,
2009-05,146.7000,
2009-06,146.7500,
2009-07,149.7500,
2009-08,150.9100,
2009-09,147.3200,
2009-10,149.1400,
2009-11,148.3100,
2009-12,148.1000,
2010-01,148.8300,
2010-02,148.6100,
2010-03,148.3000,
2010-04,148.6100,
2010-05,148.7800,
2010-06,148.5000,
2010-07,148.6000,
2010-08,149.2900,
2010-09,149.8500,
2010-10,148.5000,
2010-11,148.7500,
2010-12,149.1700,
2011-01,150.3500,
2011-02,150.4500,
2011-03,151.5200,
2011-04,152.9200,
2011-05,153.5900,
2011-06,151.7900,
2011-07,150.4600,
2011-08,152.4000,
2011-09,154.6000,
2011-10,150.2500,
2011-11,156.3100,
2011-12,156.7000,
2012-01,157.0500,
2012-02,155.9000,
2012-03,156.0100,
2012-04,155.7000,
2012-05,155.7500,
2012-06,155.9400,
2012-07,155.8400,
2012-08,155.8000,
2012-09,155.7800,
2012-10,155.7400,
2012-11,155.7600,
2012-12,155.7700,
2013-01,155.7400,
2013-02,155.7500,
2013-03,155.7500,
2013-04,155.7500,
2013-05,155.7400,
2013-06,155.7500,
2013-07,155.7600,
2013-08,155.7600,
2013-09,155.7500,
2013-10,155.8000,
2013-11,155.7200,
2013-12,155.7000,
2014-01,155.7500,
2014-02,155.7500,
2014-03,155.7400,
2014-04,155.7300,
2014-05,155.7300,
2014-06,155.7300,
2014-07,155.7300,
2014-08,155.7300,
2014-09,155.7500,
2014-10,155.7600,
2014-11,165.0000,
2014-12,168.0000,
2015-01,168.0000,
"","General: * Free market rates until the end of 1998. On 14 January 1995, the introduction of a legal free foreign exchange market was announced. Use of exchange rates: official exchange rate: for certain government transactions. Free market rate: for all other foreign exchange transactions. On 1 January 1999, the multiple exchange rate system was unified onthe basis of the free market rate.",
"","Source: Central Bank of Nigeria, Lagos / Abuja",
"","Comment on 1995-02: On 14 January 1995, the introduction of a legal free foreign exchange market was announced; however, the central bank only began to report exchange rates on 23 February 1995: official exchange rate: USD 1 = NGN 21.7761 / 21.9960, free market rate: USD 1 = NGN 81.1800 / 82.0000.",
