"",BBFB1.M.N.DE.W1.S12T.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.M.N.DE.W1.S12T.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
2002-10,-333.838,
2002-11,194.140,
2002-12,1174.462,
2003-01,49.389,
2003-02,-167.050,
2003-03,602.082,
2003-04,-1376.150,
2003-05,-1055.268,
2003-06,82.182,
2003-07,41.433,
2003-08,15.630,
2003-09,-335.960,
2003-10,-389.690,
2003-11,30.839,
2003-12,7504.980,
2004-01,-1257.860,
2004-02,788.776,
2004-03,-1086.919,
2004-04,-124.573,
2004-05,-114.885,
2004-06,-627.891,
2004-07,-1003.458,
2004-08,-828.208,
2004-09,563.605,
2004-10,-119.682,
2004-11,-22.719,
2004-12,-4670.580,
2005-01,755.394,
2005-02,1557.068,
2005-03,270.510,
2005-04,1789.932,
2005-05,363.249,
2005-06,1281.070,
2005-07,716.934,
2005-08,1074.027,
2005-09,990.065,
2005-10,-744.583,
2005-11,-485.262,
2005-12,305.006,
2006-01,1250.578,
2006-02,943.508,
2006-03,-1292.152,
2006-04,1548.608,
2006-05,433.754,
2006-06,1112.542,
2006-07,403.457,
2006-08,7537.266,
2006-09,6342.960,
2006-10,1001.690,
2006-11,1320.233,
2006-12,5827.658,
2007-01,-12171.082,
2007-02,-677.891,
2007-03,372.313,
2007-04,112.978,
2007-05,1662.865,
2007-06,-28.720,
2007-07,13.699,
2007-08,369.722,
2007-09,-33.033,
2007-10,2582.944,
2007-11,507.649,
2007-12,-2783.360,
2008-01,2068.372,
2008-02,810.172,
2008-03,-1097.239,
2008-04,-363.921,
2008-05,-773.965,
2008-06,-652.321,
2008-07,-214.634,
2008-08,-342.191,
2008-09,-1088.810,
2008-10,-764.736,
2008-11,-245.018,
2008-12,-1547.840,
2009-01,7477.708,
2009-02,-655.911,
2009-03,201.340,
2009-04,6206.985,
2009-05,143.481,
2009-06,-352.535,
2009-07,304.848,
2009-08,2218.584,
2009-09,-202.356,
2009-10,-964.292,
2009-11,465.870,
2009-12,-3443.229,
2010-01,3239.969,
2010-02,4772.578,
2010-03,359.380,
2010-04,946.954,
2010-05,607.808,
2010-06,6460.877,
2010-07,-5539.549,
2010-08,3286.607,
2010-09,163.395,
2010-10,603.756,
2010-11,994.647,
2010-12,-3952.854,
2011-01,3545.973,
2011-02,332.820,
2011-03,-1990.086,
2011-04,-196.634,
2011-05,2257.315,
2011-06,1207.791,
2011-07,-2592.514,
2011-08,148.218,
2011-09,497.224,
2011-10,1743.429,
2011-11,1195.925,
2011-12,-5043.600,
2012-01,4756.275,
2012-02,-317.350,
2012-03,122.708,
2012-04,-709.159,
2012-05,1638.146,
2012-06,156.040,
2012-07,343.856,
2012-08,423.448,
2012-09,-131.716,
2012-10,448.723,
2012-11,-163.545,
2012-12,-2962.048,
2013-01,4861.131,
2013-02,161.515,
2013-03,-1874.555,
2013-04,477.560,
2013-05,752.874,
2013-06,-517.866,
2013-07,-1392.172,
2013-08,662.464,
2013-09,-358.138,
2013-10,545.382,
2013-11,-1951.441,
2013-12,-4185.622,
2014-01,2492.734,
2014-02,-1203.545,Provisional value
2014-03,-898.171,Provisional value
2014-04,629.658,Provisional value
2014-05,1513.596,Provisional value
2014-06,-854.358,Provisional value
2014-07,-1159.188,Provisional value
2014-08,127.980,Provisional value
2014-09,1130.808,
2014-10,193.701,
2014-11,2187.292,
2014-12,2023.339,Provisional value
