"",BBEX3.M.MYR.USD.CA.AC.A01,BBEX3.M.MYR.USD.CA.AC.A01_FLAGS
2005-12,3.77300,
2006-01,3.74800,
2006-02,3.71200,
2006-03,3.68000,
2006-04,3.62200,
2006-05,3.62250,
2006-06,3.66600,
2006-07,3.65500,
2006-08,3.68000,
2006-09,3.68500,
2006-10,3.64100,
2006-11,3.62700,
2006-12,3.52900,
2007-01,3.50000,
2007-02,3.50500,
2007-03,3.45405,
2007-04,3.42000,
2007-05,3.39555,
2007-06,3.45030,
2007-07,3.45305,
2007-08,3.49250,
2007-09,3.41355,
2007-10,3.35000,
2007-11,3.37150,
2007-12,3.31800,
2008-01,3.23505,
2008-02,3.18725,
2008-03,3.19750,
2008-04,3.15150,
2008-05,3.25050,
2008-06,3.26705,
2008-07,3.26455,
2008-08,3.38750,
2008-09,3.44750,
2008-10,3.58100,
2008-11,3.61555,
2008-12,3.47950,
2009-01,3.61050,
2009-02,3.69250,
2009-03,3.65750,
2009-04,3.58250,
2009-05,3.51000,
2009-06,3.53200,
2009-07,3.53500,
2009-08,3.53355,
2009-09,3.48455,
2009-10,3.40750,
2009-11,3.36150,
2009-12,3.42750,
2010-01,3.42675,
2010-02,3.43000,comment
2010-03,3.27000,
2010-04,3.18850,
2010-05,3.26250,
2010-06,3.27150,
2010-07,3.19000,
2010-08,3.13250,
2010-09,3.08505,
2010-10,3.10550,
2010-11,3.16000,
2010-12,3.08750,
2011-01,3.06250,
2011-02,3.05450,
2011-03,3.02600,
2011-04,2.96850,
2011-05,3.00150,
2011-06,3.02550,
2011-07,2.95250,
2011-08,2.97850,
2011-09,3.18240,
2011-10,3.06750,
2011-11,3.17250,
2011-12,3.17150,
2012-01,3.05650,
2012-02,2.99850,
2012-03,3.06850,
2012-04,3.03600,
2012-05,3.18650,
2012-06,3.19650,
2012-07,3.15050,
2012-08,3.12600,
2012-09,3.06850,
2012-10,3.05005,
2012-11,3.04550,
2012-12,3.06250,
2013-01,3.08400,
2013-02,3.08900,
2013-03,3.09450,
2013-04,3.02900,
2013-05,3.06850,
2013-06,3.17650,
2013-07,3.24550,
2013-08,3.29600,
2013-09,3.25500,
2013-10,3.15750,
2013-11,3.23150,
2013-12,3.29000,
2014-01,3.34600,
2014-02,3.27450,
2014-03,3.26250,
2014-04,3.25950,
2014-05,3.21350,
2014-06,3.21150,
2014-07,3.18850,
2014-08,3.15850,
2014-09,3.27700,
2014-10,3.28300,
2014-11,3.36250,
2014-12,3.49400,
2015-01,3.63300,
"","Source: Calculated on the basis of the buying and selling rates of the following banks: Since January 2004 The Hongkong and Shanghai Banking Corporation (HSBC Bank), Kuala Lumpur March 1995 - December 2003 The Hongkong Bank Malaysia Berhad, Kuala Lumpur 1990 - February 1995: The Hongkong and Shanghai Banking Corporation (HSBC Bank), Kuala Lumpur",
"",Comment on 2010-02: Exchange rate as of 1 March 2010.,
