"",BBEX3.M.WST.USD.CM.AC.A01,BBEX3.M.WST.USD.CM.AC.A01_FLAGS
2002-05,0.30220,
2002-06,0.30440,
2002-07,0.29770,
2002-08,0.29900,
2002-09,0.29830,
2002-10,0.30260,
2002-11,0.30550,
2002-12,0.31090,
2003-01,0.31820,
2003-02,0.32340,
2003-03,0.32210,
2003-04,0.32610,
2003-05,0.33380,
2003-06,0.33670,
2003-07,0.33340,
2003-08,0.32980,
2003-09,0.33930,
2003-10,0.34560,
2003-11,0.35230,
2003-12,0.36000,
2004-01,0.36450,
2004-02,0.36880,
2004-03,0.36240,
2004-04,0.35160,
2004-05,0.35160,
2004-06,0.35130,
2004-07,0.35060,
2004-08,0.35490,
2004-09,0.36130,
2004-10,0.36420,
2004-11,0.37320,
2004-12,0.36960,
2005-01,0.37200,
2005-02,0.37620,
2005-03,0.37210,
2005-04,0.37580,
2005-05,0.36790,
2005-06,0.36690,
2005-07,0.36480,
2005-08,0.36530,
2005-09,0.36750,
2005-10,0.36670,
2005-11,0.36560,
2005-12,0.36180,
2006-01,0.36470,
2006-02,0.35980,
2006-03,0.34950,
2006-04,0.35730,
2006-05,0.35980,
2006-06,0.35200,
2006-07,0.35660,
2006-08,0.36140,
2006-09,0.35990,
2006-10,0.36560,
2006-11,0.36940,
2006-12,0.37240,
2007-01,0.36830,
2007-02,0.37250,
2007-03,0.37610,
2007-04,0.38320,
2007-05,0.38090,
2007-06,0.38760,
2007-07,0.38860,
2007-08,0.37490,
2007-09,0.39010,
2007-10,0.39680,
2007-11,0.39090,
2007-12,0.39090,
2008-01,0.39680,
2008-02,0.40310,
2008-03,0.39900,
2008-04,0.40090,
2008-05,0.40210,
2008-06,0.39850,
2008-07,0.39230,
2008-08,0.37840,
2008-09,0.36630,
2008-10,0.33980,
2008-11,0.33270,
2008-12,0.34430,
2009-01,0.32390,
2009-02,0.32360,
2009-03,0.33640,
2009-04,0.34420,
2009-05,0.36960,
2009-06,0.37210,
2009-07,0.37970,
2009-08,0.38500,
2009-09,0.39800,
2009-10,0.40030,
2009-11,0.40150,
2009-12,0.39970,
2010-01,0.39500,
2010-02,0.39530,
2010-03,0.40030,
2010-04,0.40490,
2010-05,0.38400,
2010-06,0.38450,
2010-07,0.40200,
2010-08,0.39360,
2010-09,0.41200,
2010-10,0.41970,
2010-11,0.41290,
2010-12,0.42800,
2011-01,0.42340,
2011-02,0.42200,
2011-03,0.42640,
2011-04,0.44320,
2011-05,0.44220,
2011-06,0.44390,
2011-07,0.45720,
2011-08,0.44800,
2011-09,0.41890,
2011-10,0.43870,
2011-11,0.42810,
2011-12,0.42460,
2012-01,0.43960,
2012-02,0.44530,
2012-03,0.43790,
2012-04,0.43960,
2012-05,0.42070,
2012-06,0.42930,
2012-07,0.43670,
2012-08,0.43350,
2012-09,0.44080,
2012-10,0.43840,
2012-11,0.43910,
2012-12,0.43840,
2013-01,0.44395,
2013-02,0.43760,
2013-03,0.43760,
2013-04,0.44490,
2013-05,0.43060,
2013-06,0.42210,
2013-07,0.42360,
2013-08,0.41860,
2013-09,0.43150,
2013-10,0.43280,
2013-11,0.42690,
2013-12,0.42660,
2014-01,0.42395,
2014-02,0.43000,
2014-03,0.43760,
2014-04,0.43580,
2014-05,0.43430,
2014-06,0.44130,
2014-07,0.43500,
2014-08,0.43310,
2014-09,0.41830,
2014-10,0.41860,
2014-11,0.41660,
2014-12,0.41050,
2015-01,0.40360,
"","Source: Since January 2014 Central Bank of Samoa, Apia Previously calculated on the basis of the buying and selling rates of the following banks: January 2002 - December 2013 ANZ Bank (Samoa) Ltd, Apia January 1990 - December 2001 Bank of Western Samoa, Apia",
