"",BBDA1.M.DE.N.EX.S.A.S6.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.S6.A.V.ABA.A_FLAGS
2003-01,4854443,
2003-02,4626236,
2003-03,4593208,
2003-04,4966767,
2003-05,4954699,
2003-06,4724109,
2003-07,5663223,
2003-08,4899348,
2003-09,5475950,
2003-10,5054136,
2003-11,5215397,
2003-12,5081609,
2004-01,5391528,
2004-02,5170768,
2004-03,6029736,
2004-04,5705028,
2004-05,5722693,
2004-06,5843691,
2004-07,6113428,
2004-08,5365648,
2004-09,5527826,
2004-10,5513645,
2004-11,5428965,
2004-12,5619127,
2005-01,5625662,
2005-02,5072333,
2005-03,5645689,
2005-04,5570023,
2005-05,5349566,
2005-06,5828691,
2005-07,6004932,
2005-08,6552355,
2005-09,6365378,
2005-10,5875959,
2005-11,5953057,
2005-12,6235016,
2006-01,6407577,
2006-02,6522618,
2006-03,6560945,
2006-04,6329262,
2006-05,6253591,
2006-06,6259488,
2006-07,6854601,
2006-08,7148133,
2006-09,7822253,
2006-10,8223198,
2006-11,8302766,
2006-12,7328439,
2007-01,7130453,
2007-02,6685194,
2007-03,7190791,
2007-04,6984654,
2007-05,7026730,
2007-06,7305551,
2007-07,7490215,
2007-08,7644275,
2007-09,7433852,
2007-10,8004829,
2007-11,8196891,
2007-12,6888649,
2008-01,8024082,
2008-02,7507900,
2008-03,7502045,
2008-04,8125903,
2008-05,7436492,
2008-06,8095996,
2008-07,8648569,
2008-08,7292067,
2008-09,7790230,
2008-10,8065741,
2008-11,7037664,
2008-12,7077430,
2009-01,5992908,
2009-02,6284462,
2009-03,7096613,
2009-04,6792823,
2009-05,6595986,
2009-06,7562181,
2009-07,8815686,
2009-08,7413796,
2009-09,7880617,
2009-10,8001635,
2009-11,8407650,
2009-12,8736963,
2010-01,7437265,
2010-02,8482155,
2010-03,10718405,
2010-04,9231668,
2010-05,9739295,
2010-06,10551581,
2010-07,10720545,
2010-08,9693243,
2010-09,10679267,
2010-10,10536271,
2010-11,11225359,
2010-12,11077433,
2011-01,9912233,
2011-02,10815004,
2011-03,12895687,
2011-04,10614311,
2011-05,12173100,
2011-06,10857452,
2011-07,11671288,
2011-08,11687975,
2011-09,12228329,
2011-10,11584532,
2011-11,12309833,
2011-12,12112906,
2012-01,10979988,
2012-02,12035329,
2012-03,13250965,
2012-04,11288473,
2012-05,12410587,
2012-06,13147685,
2012-07,13166838,
2012-08,12583376,
2012-09,11676938,
2012-10,12880577,
2012-11,12442355,
2012-12,11263669,
2013-01,11453893,
2013-02,11131479,
2013-03,12306017,
2013-04,12958342,
2013-05,11483622,
2013-06,11900279,
2013-07,13254089,
2013-08,12127176,
2013-09,12566257,
2013-10,12826386,
2013-11,12351624,
2013-12,11924415,
2014-01,11963919,
2014-02,11541441,
2014-03,12748051,
2014-04,12679335,
2014-05,12413752,
2014-06,12741116,
2014-07,14792283,
2014-08,12079403,
2014-09,14201340,
2014-10,14490783,
2014-11,12987745,
2014-12,13170849,
