"",BBDE1.M.DE.Y.AEB5.A2Q501000.F.C.I10.A,BBDE1.M.DE.Y.AEB5.A2Q501000.F.C.I10.A_FLAGS
2005-07,94.0,
2005-08,90.3,
2005-09,94.9,
2005-10,96.6,
2005-11,98.6,
2005-12,97.5,
2006-01,99.5,
2006-02,99.4,
2006-03,98.2,
2006-04,101.6,
2006-05,100.3,
2006-06,99.3,
2006-07,103.5,
2006-08,106.5,
2006-09,100.9,
2006-10,103.4,
2006-11,103.7,
2006-12,104.9,
2007-01,106.2,
2007-02,111.6,
2007-03,110.7,
2007-04,109.4,
2007-05,113.6,
2007-06,119.6,
2007-07,111.6,
2007-08,113.1,
2007-09,113.4,
2007-10,119.5,
2007-11,121.6,
2007-12,118.9,
2008-01,117.2,
2008-02,117.7,
2008-03,115.3,
2008-04,115.6,
2008-05,113.1,
2008-06,105.8,
2008-07,107.0,
2008-08,108.5,
2008-09,98.6,
2008-10,92.3,
2008-11,86.3,
2008-12,77.8,
2009-01,68.4,
2009-02,68.1,
2009-03,72.2,
2009-04,71.3,
2009-05,74.1,
2009-06,79.0,
2009-07,79.3,
2009-08,81.6,
2009-09,87.5,
2009-10,83.2,
2009-11,87.0,
2009-12,84.9,
2010-01,88.6,
2010-02,89.4,
2010-03,94.0,
2010-04,97.1,
2010-05,97.9,
2010-06,101.3,
2010-07,100.6,
2010-08,105.7,
2010-09,101.5,
2010-10,101.7,
2010-11,111.1,
2010-12,106.6,
2011-01,110.5,
2011-02,110.8,
2011-03,107.5,
2011-04,109.6,
2011-05,105.4,
2011-06,116.1,
2011-07,107.8,
2011-08,109.2,
2011-09,103.6,
2011-10,107.6,
2011-11,101.1,
2011-12,106.4,
2012-01,102.1,
2012-02,104.3,
2012-03,107.7,
2012-04,104.6,
2012-05,106.6,
2012-06,104.3,
2012-07,105.2,
2012-08,105.6,
2012-09,101.3,
2012-10,109.1,
2012-11,103.4,
2012-12,105.9,
2013-01,103.6,
2013-02,105.7,
2013-03,109.1,
2013-04,106.0,
2013-05,106.9,
2013-06,114.0,
2013-07,108.0,
2013-08,107.7,
2013-09,113.1,
2013-10,113.3,
2013-11,112.3,
2013-12,115.4,
2014-01,112.9,
2014-02,113.6,
2014-03,109.8,
2014-04,113.8,
2014-05,113.3,
2014-06,109.5,
2014-07,119.0,
2014-08,110.0,
2014-09,115.0,
2014-10,115.7,
2014-11,114.4,
2014-12,120.7,Provisional value
