"",BBFN1.M.DE.N.1.L.BM.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BM.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1996-05,1.443,
1996-06,1.586,
1996-07,1.582,
1996-08,1.533,
1996-09,1.531,
1996-10,1.514,
1996-11,1.522,
1996-12,1.546,
1997-01,1.557,
1997-02,1.556,
1997-03,1.573,
1997-04,1.539,
1997-05,1.543,
1997-06,1.911,
1997-07,1.953,
1997-08,1.998,
1997-09,2.000,
1997-10,2.000,
1997-11,2.002,
1997-12,2.056,
1998-01,2.059,
1998-02,2.088,
1998-03,2.131,
1998-04,2.138,
1998-05,1.813,
1998-06,3.679,
1998-07,3.798,
1998-08,3.780,
1998-09,3.762,
1998-10,3.762,
1998-11,3.816,
1998-12,4.089,
1999-01,4.091,
1999-02,4.059,
1999-03,4.079,
1999-04,4.056,
1999-05,4.088,
1999-06,3.922,
1999-07,3.903,
1999-08,3.829,
1999-09,3.824,
1999-10,3.941,
1999-11,3.933,
1999-12,3.920,
2000-01,3.937,
2000-02,3.976,
2000-03,3.941,
2000-04,3.952,
2000-05,4.441,
2000-06,4.629,
2000-07,4.610,
2000-08,4.699,
2000-09,4.769,
2000-10,4.805,
2000-11,5.087,
2000-12,5.741,
2001-01,5.456,
2001-02,5.402,
2001-03,5.463,
2001-04,5.561,
2001-05,5.414,
2001-06,5.188,
2001-07,5.253,
2001-08,5.288,
2001-09,5.509,
2001-10,5.509,
2001-11,5.237,
2001-12,5.500,
2002-01,5.490,
2002-02,5.444,
2002-03,5.729,
2002-04,5.734,
2002-05,5.785,
2002-06,6.565,
2002-07,6.568,
2002-08,6.508,
2002-09,6.619,
2002-10,6.346,
2002-11,6.486,
2002-12,6.595,
2003-01,7.338,
2003-02,7.122,
2003-03,7.978,
2003-04,7.382,
2003-05,7.389,
2003-06,7.380,
2003-07,6.957,
2003-08,6.739,
2003-09,6.692,
2003-10,6.629,
2003-11,6.727,
2003-12,6.316,
2004-01,6.163,
2004-02,7.068,
2004-03,6.854,
2004-04,7.201,
2004-05,6.408,
2004-06,6.366,
2004-07,6.466,
2004-08,5.775,
2004-09,5.901,
2004-10,5.372,
2004-11,5.361,
2004-12,4.639,
2005-01,4.573,
2005-02,4.618,
2005-03,4.620,
2005-04,4.503,
2005-05,4.523,
2005-06,4.564,
2005-07,4.560,
2005-08,4.580,
2005-09,3.804,
2005-10,3.812,
2005-11,3.675,
2005-12,2.941,
2006-01,2.961,
2006-02,2.885,
2006-03,2.953,
2006-04,2.986,
2006-05,3.032,
2006-06,4.912,
2006-07,4.865,
2006-08,4.856,
2006-09,6.103,
2006-10,6.040,
2006-11,5.907,
2006-12,8.301,
2007-01,8.242,
2007-02,9.168,
2007-03,9.929,
2007-04,10.736,
2007-05,10.875,
2007-06,10.781,
2007-07,10.776,
2007-08,10.845,
2007-09,10.897,
2007-10,10.809,
2007-11,10.989,
2007-12,10.664,
2008-01,9.712,
2008-02,10.090,
2008-03,10.175,
2008-04,10.247,
2008-05,10.382,
2008-06,10.371,
2008-07,10.374,
2008-08,10.479,
2008-09,10.550,
2008-10,10.964,
2008-11,10.756,
2008-12,9.305,
2009-01,9.340,
2009-02,9.313,
2009-03,9.105,
2009-04,8.961,
2009-05,9.013,
2009-06,9.055,
2009-07,9.092,
2009-08,9.194,
2009-09,9.407,
2009-10,9.428,
2009-11,9.459,
2009-12,9.651,
2010-01,9.722,
2010-02,9.758,
2010-03,10.038,
2010-04,9.779,
2010-05,13.605,
2010-06,14.526,
2010-07,14.490,
2010-08,14.460,
2010-09,14.434,
2010-10,14.457,
2010-11,14.473,
2010-12,14.395,
2011-01,14.319,
2011-02,14.250,
2011-03,14.361,
2011-04,14.335,
2011-05,14.338,
2011-06,14.296,
2011-07,14.343,
2011-08,14.285,
2011-09,14.351,
2011-10,14.365,
2011-11,14.379,
2011-12,14.533,
2012-01,14.482,
2012-02,14.323,
2012-03,13.926,
2012-04,14.184,
2012-05,14.064,
2012-06,13.492,
2012-07,13.492,
2012-08,13.459,
2012-09,13.519,
2012-10,13.460,
2012-11,13.428,
2012-12,13.490,
2013-01,14.384,
2013-02,14.342,
2013-03,14.320,
2013-04,14.332,
2013-05,14.638,
2013-06,14.663,
2013-07,14.719,
2013-08,14.330,
2013-09,14.672,
2013-10,14.683,
2013-11,14.608,
2013-12,14.083,
2014-01,14.118,
2014-02,14.131,
2014-03,14.200,
2014-04,14.197,
2014-05,13.912,
2014-06,13.892,
2014-07,13.835,
2014-08,13.843,
2014-09,14.151,
2014-10,14.198,
2014-11,14.213,
2014-12,13.595,
