"",BBFB1.M.N.DE.W1.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
2001-03,19896.882,
2001-04,287.972,
2001-05,40541.987,
2001-06,-2593.987,
2001-07,-7169.077,
2001-08,-898.461,
2001-09,8880.724,
2001-10,6190.744,
2001-11,-10885.907,
2001-12,6624.033,
2002-01,-9963.886,
2002-02,6187.905,
2002-03,3022.523,
2002-04,59.677,
2002-05,-4541.597,
2002-06,12284.626,
2002-07,4292.120,
2002-08,-527.427,
2002-09,13705.809,
2002-10,2911.609,
2002-11,-3153.583,
2002-12,-6255.696,
2003-01,11739.103,
2003-02,4100.437,
2003-03,12479.930,
2003-04,-493.852,
2003-05,9.200,
2003-06,-1909.293,
2003-07,2760.884,
2003-08,-2169.958,
2003-09,2961.102,
2003-10,1684.385,
2003-11,1959.067,
2003-12,2780.936,
2004-01,7397.941,
2004-02,-20900.598,
2004-03,9568.849,
2004-04,-2246.901,
2004-05,2696.127,
2004-06,8380.389,
2004-07,580.537,
2004-08,-285.449,
2004-09,7692.995,
2004-10,1324.503,
2004-11,2628.393,
2004-12,-8894.084,
2005-01,5035.711,
2005-02,7674.911,
2005-03,8260.086,
2005-04,5204.602,
2005-05,3573.367,
2005-06,11707.012,
2005-07,1363.384,
2005-08,1580.988,
2005-09,8136.292,
2005-10,8648.978,
2005-11,9529.331,
2005-12,426.493,
2006-01,8138.389,
2006-02,13476.594,
2006-03,10482.047,
2006-04,7295.978,
2006-05,4414.735,
2006-06,7872.037,
2006-07,1607.056,
2006-08,2489.870,
2006-09,29174.917,
2006-10,13293.343,
2006-11,7193.774,
2006-12,12373.269,
2007-01,11461.084,
2007-02,4657.712,
2007-03,15012.204,
2007-04,7507.470,
2007-05,16029.886,
2007-06,5552.295,
2007-07,9815.147,
2007-08,7920.778,
2007-09,8738.763,
2007-10,17244.727,
2007-11,-470.882,
2007-12,-23.503,
2008-01,11709.402,
2008-02,13430.610,
2008-03,7476.096,
2008-04,13405.468,
2008-05,1707.840,
2008-06,10020.090,
2008-07,3777.058,
2008-08,-4055.314,
2008-09,11928.204,
2008-10,7116.166,
2008-11,11838.309,
2008-12,-24734.400,
2009-01,12379.433,
2009-02,1077.709,
2009-03,11526.099,
2009-04,5949.144,
2009-05,6696.678,
2009-06,3918.518,
2009-07,2869.469,
2009-08,2252.768,
2009-09,9182.377,
2009-10,9071.680,
2009-11,3925.070,
2009-12,3342.617,
2010-01,9746.427,
2010-02,13696.166,
2010-03,17555.958,
2010-04,-352.109,
2010-05,12037.199,
2010-06,20846.329,
2010-07,-3395.777,
2010-08,5431.076,
2010-09,8641.421,
2010-10,7254.134,
2010-11,11898.328,
2010-12,6484.719,
2011-01,12762.475,
2011-02,8070.672,
2011-03,10720.573,
2011-04,7025.423,
2011-05,7030.613,
2011-06,7529.223,
2011-07,-264.564,
2011-08,3643.949,
2011-09,13429.696,
2011-10,-44.261,
2011-11,2676.318,
2011-12,5584.092,
2012-01,8376.079,
2012-02,12251.796,
2012-03,13812.899,
2012-04,1994.006,
2012-05,6680.771,
2012-06,8144.872,
2012-07,7072.557,
2012-08,4794.637,
2012-09,6516.412,
2012-10,3510.692,
2012-11,13651.423,
2012-12,3094.161,
2013-01,6106.725,
2013-02,2409.022,
2013-03,12671.119,
2013-04,18157.492,
2013-05,1522.470,
2013-06,10998.766,
2013-07,-8650.175,
2013-08,8751.114,
2013-09,8471.939,
2013-10,-7604.767,
2013-11,3437.193,
2013-12,5297.234,
2014-01,2102.307,
2014-02,13049.713,Provisional value
2014-03,11943.196,Provisional value
2014-04,13370.828,Provisional value
2014-05,6041.560,Provisional value
2014-06,3738.202,Provisional value
2014-07,3082.702,Provisional value
2014-08,4906.867,Provisional value
2014-09,11322.077,
2014-10,-2072.783,
2014-11,7515.933,
2014-12,12706.970,Provisional value
