"",BBSF2.M.1.P.00000.REN01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.REN01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
2002-10,66244,
2002-11,66180,
2002-12,67328,
2003-01,67987,
2003-02,69108,
2003-03,68751,
2003-04,69568,
2003-05,70339,
2003-06,70914,
2003-07,70681,
2003-08,70986,
2003-09,71128,
2003-10,70214,
2003-11,68723,
2003-12,70038,
2004-01,69276,
2004-02,69952,
2004-03,72557,
2004-04,71034,
2004-05,71194,
2004-06,71041,
2004-07,70565,
2004-08,71219,
2004-09,71446,
2004-10,71109,
2004-11,70758,
2004-12,71504,
2005-01,73030,
2005-02,72735,
2005-03,74081,
2005-04,76192,
2005-05,77957,
2005-06,78372,
2005-07,79084,
2005-08,79964,
2005-09,80582,
2005-10,79664,
2005-11,78490,
2005-12,78812,
2006-01,78601,
2006-02,78723,
2006-03,77134,
2006-04,76631,
2006-05,76575,
2006-06,75262,
2006-07,75314,
2006-08,74725,
2006-09,74603,
2006-10,73722,
2006-11,72698,
2006-12,72163,
2007-01,70869,
2007-02,70378,
2007-03,69557,
2007-04,68375,
2007-05,67217,
2007-06,64865,
2007-07,64335,
2007-08,63306,
2007-09,62529,
2007-10,62179,
2007-11,61564,
2007-12,59589,
2008-01,59521,
2008-02,58762,
2008-03,56907,
2008-04,56910,
2008-05,56197,
2008-06,54959,
2008-07,53813,
2008-08,53368,
2008-09,51925,
2008-10,48294,
2008-11,48032,
2008-12,47397,
2009-01,47917,
2009-02,48265,
2009-03,47995,
2009-04,50214,
2009-05,50320,
2009-06,51457,
2009-07,53295,
2009-08,53219,
2009-09,54926,
2009-10,54869,
2009-11,55791,
2009-12,55294,
2010-01,55639,
2010-02,56236,
2010-03,57070,
2010-04,57273,
2010-05,57969,
2010-06,58414,
2010-07,59022,
2010-08,59854,
2010-09,59781,
2010-10,57864,
2010-11,56530,
2010-12,56345,
2011-01,55701,
2011-02,55315,
2011-03,54051,
2011-04,53649,
2011-05,53419,
2011-06,53286,
2011-07,56241,
2011-08,56200,
2011-09,57062,
2011-10,57115,
2011-11,55660,
2011-12,56347,
2012-01,57037,
2012-02,57224,
2012-03,56919,
2012-04,57001,
2012-05,57845,
2012-06,57408,
2012-07,58808,
2012-08,58894,
2012-09,58518,
2012-10,58721,
2012-11,59202,
2012-12,59847,
2013-01,59218,
2013-02,60663,
2013-03,60822,
2013-04,61609,
2013-05,61293,
2013-06,59887,
2013-07,60485,
2013-08,59836,
2013-09,59821,
2013-10,59963,
2013-11,59302,
2013-12,58996,
2014-01,59258,
2014-02,59553,
2014-03,59368,
2014-04,59579,
2014-05,59934,
2014-06,60280,
2014-07,60913,
2014-08,61936,
2014-09,62576,
2014-10,63408,
2014-11,63884,
