"",BBFB1.M.N.DE.W1.S12T.S1.T.A.FA.O.F4.S._T.N.N,BBFB1.M.N.DE.W1.S12T.S1.T.A.FA.O.F4.S._T.N.N_FLAGS
2011-02,3838.977,
2011-03,-7100.082,
2011-04,21536.325,
2011-05,953.241,
2011-06,-9742.195,
2011-07,-687.905,
2011-08,8193.357,
2011-09,-5068.410,
2011-10,-13161.539,
2011-11,-256.988,
2011-12,-14094.296,
2012-01,694.358,
2012-02,-1034.123,
2012-03,16654.515,
2012-04,6093.156,
2012-05,-5503.171,
2012-06,-5471.265,
2012-07,2971.937,
2012-08,3581.965,
2012-09,1388.128,
2012-10,531.261,
2012-11,11116.706,
2012-12,-22116.025,
2013-01,6611.314,
2013-02,-544.001,
2013-03,4753.744,
2013-04,3105.948,
2013-05,-949.500,
2013-06,-7914.000,
2013-07,-177.600,
2013-08,-470.700,
2013-09,-6132.000,
2013-10,-722.300,
2013-11,6232.000,
2013-12,-8470.000,
2014-01,9621.000,
2014-02,3540.001,Provisional value
2014-03,-4637.000,Provisional value
2014-04,9809.000,Provisional value
2014-05,-2864.000,Provisional value
2014-06,623.999,Provisional value
2014-07,5151.000,Provisional value
2014-08,-4758.000,Provisional value
2014-09,-8372.000,
2014-10,-3362.000,
2014-11,3049.000,
2014-12,-20107.970,Provisional value
