"",BBFN1.M.DE.N.1.A.W1.S1P.F0.L.B000.EUR.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.L.B000.EUR.BGA.X001.D_FLAGS
1991-07,1.495,
1991-08,1.498,
1991-09,1.382,
1991-10,1.334,
1991-11,1.345,
1991-12,1.350,
1992-01,1.368,
1992-02,1.222,
1992-03,1.167,
1992-04,1.160,
1992-05,1.144,
1992-06,1.117,
1992-07,1.060,
1992-08,1.073,
1992-09,1.065,
1992-10,1.021,
1992-11,1.031,
1992-12,1.027,
1993-01,0.995,
1993-02,0.973,
1993-03,0.921,
1993-04,0.922,
1993-05,0.900,
1993-06,0.905,
1993-07,0.896,
1993-08,1.148,
1993-09,1.156,
1993-10,1.176,
1993-11,1.238,
1993-12,1.243,
1994-01,1.170,
1994-02,1.157,
1994-03,1.170,
1994-04,1.088,
1994-05,0.874,
1994-06,0.879,
1994-07,0.850,
1994-08,0.832,
1994-09,0.918,
1994-10,0.877,
1994-11,0.895,
1994-12,0.895,
1995-01,0.693,
1995-02,0.854,
1995-03,0.853,
1995-04,0.863,
1995-05,0.852,
1995-06,1.085,
1995-07,1.085,
1995-08,1.051,
1995-09,1.577,
1995-10,1.584,
1995-11,1.573,
1995-12,1.275,
1996-01,1.244,
1996-02,1.142,
1996-03,1.082,
1996-04,1.050,
1996-05,1.048,
1996-06,1.036,
1996-07,1.081,
1996-08,1.090,
1996-09,1.087,
1996-10,1.097,
1996-11,2.625,
1996-12,2.584,
1997-01,2.627,
1997-02,2.654,
1997-03,2.684,
1997-04,2.698,
1997-05,2.724,
1997-06,2.740,
1997-07,2.815,
1997-08,2.803,
1997-09,2.831,
1997-10,2.868,
1997-11,2.853,
1997-12,2.811,
1998-01,2.860,
1998-02,2.862,
1998-03,2.855,
1998-04,2.884,
1998-05,2.137,
1998-06,2.135,
1998-07,2.183,
1998-08,2.249,
1998-09,2.242,
1998-10,2.473,
1998-11,1.664,
1998-12,1.799,
1999-01,2.436,
1999-02,2.565,
1999-03,2.611,
1999-04,2.867,
1999-05,2.733,
1999-06,4.253,
1999-07,4.288,
1999-08,4.303,
1999-09,3.549,
1999-10,3.603,
1999-11,3.476,
1999-12,3.599,
2000-01,3.647,
2000-02,3.784,
2000-03,4.045,
2000-04,4.291,
2000-05,4.340,
2000-06,4.286,
2000-07,4.188,
2000-08,4.397,
2000-09,4.412,
2000-10,4.468,
2000-11,4.554,
2000-12,3.171,
2001-01,3.133,
2001-02,3.135,
2001-03,3.164,
2001-04,3.202,
2001-05,3.466,
2001-06,3.445,
2001-07,3.519,
2001-08,3.652,
2001-09,3.688,
2001-10,4.281,
2001-11,4.340,
2001-12,4.419,
2002-01,4.542,
2002-02,4.506,
2002-03,4.647,
2002-04,4.649,
2002-05,4.707,
2002-06,4.745,
2002-07,4.763,
2002-08,4.757,
2002-09,4.654,
2002-10,4.715,
2002-11,4.626,
2002-12,4.705,
2003-01,5.053,
2003-02,5.251,
2003-03,5.463,
2003-04,6.044,
2003-05,6.221,
2003-06,6.651,
2003-07,6.842,
2003-08,6.656,
2003-09,6.774,
2003-10,6.965,
2003-11,6.932,
2003-12,7.429,
2004-01,7.680,
2004-02,7.888,
2004-03,8.285,
2004-04,8.740,
2004-05,9.121,
2004-06,9.086,
2004-07,9.586,
2004-08,9.823,
2004-09,10.479,
2004-10,10.788,
2004-11,11.114,
2004-12,11.418,
2005-01,11.686,
2005-02,12.304,
2005-03,12.696,
2005-04,13.194,
2005-05,13.295,
2005-06,14.303,
2005-07,14.205,
2005-08,14.076,
2005-09,14.103,
2005-10,14.343,
2005-11,14.854,
2005-12,15.338,
2006-01,16.419,
2006-02,18.006,
2006-03,19.141,
2006-04,20.319,
2006-05,20.878,
2006-06,24.373,
2006-07,25.606,
2006-08,28.289,
2006-09,29.414,
2006-10,31.479,
2006-11,33.413,
2006-12,36.084,
2007-01,38.629,
2007-02,40.452,
2007-03,44.673,
2007-04,48.449,
2007-05,51.480,
2007-06,54.336,
2007-07,54.696,
2007-08,58.916,
2007-09,63.100,
2007-10,69.958,
2007-11,77.627,
2007-12,78.666,
2008-01,80.901,
2008-02,84.657,
2008-03,83.182,
2008-04,85.903,
2008-05,88.534,
2008-06,87.749,
2008-07,91.920,
2008-08,92.713,
2008-09,94.877,
2008-10,99.511,
2008-11,101.263,
2008-12,93.706,
2009-01,92.816,
2009-02,93.444,
2009-03,93.894,
2009-04,96.806,
2009-05,98.008,
2009-06,90.689,
2009-07,96.839,
2009-08,102.565,
2009-09,102.525,
2009-10,107.898,
2009-11,112.465,
2009-12,106.973,
2010-01,110.435,
2010-02,116.101,
2010-03,115.596,
2010-04,123.399,
2010-05,124.310,
2010-06,122.821,
2010-07,129.417,
2010-08,136.033,
2010-09,136.179,
2010-10,141.000,
2010-11,145.874,
2010-12,144.541,
2011-01,151.138,
2011-02,145.827,
2011-03,143.701,
2011-04,144.971,
2011-05,151.079,
2011-06,144.620,
2011-07,147.529,
2011-08,146.524,
2011-09,142.978,
2011-10,130.512,
2011-11,127.813,
2011-12,120.099,
2012-01,120.834,
2012-02,121.796,
2012-03,120.487,
2012-04,121.404,
2012-05,122.136,
2012-06,117.865,
2012-07,119.440,
2012-08,121.005,
2012-09,120.551,
2012-10,121.615,
2012-11,122.578,
2012-12,121.720,
2013-01,119.734,
2013-02,120.777,
2013-03,121.758,
2013-04,122.216,
2013-05,123.798,
2013-06,122.169,
2013-07,121.292,
2013-08,122.725,
2013-09,125.302,
2013-10,126.190,
2013-11,127.350,
2013-12,129.158,
2014-01,128.220,
2014-02,128.960,
2014-03,129.806,
2014-04,131.500,
2014-05,134.540,
2014-06,135.226,
2014-07,135.190,
2014-08,136.312,
2014-09,136.980,
2014-10,136.841,
2014-11,136.901,
2014-12,136.666,
"","General: From January 1999, including national currencies of the euro-area member states.",
