"",BBDA1.M.DE.N.IM.S.A.G4.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.G4.A.V.ABA.A_FLAGS
2000-04,3863423,
2000-05,4497586,
2000-06,3988161,
2000-07,4511799,
2000-08,4304599,
2000-09,4791096,
2000-10,4521912,
2000-11,5498154,
2000-12,5007528,
2001-01,4710685,
2001-02,4611861,
2001-03,4618999,
2001-04,4636976,
2001-05,4560872,
2001-06,4400154,
2001-07,5017293,
2001-08,4085522,
2001-09,4413860,
2001-10,4771785,
2001-11,5147771,
2001-12,4213653,
2002-01,4233000,
2002-02,4126801,
2002-03,4165738,
2002-04,5110906,
2002-05,4268106,
2002-06,4456100,
2002-07,4400244,
2002-08,4140827,
2002-09,4482011,
2002-10,5172080,
2002-11,4925868,
2002-12,4685614,
2003-01,4669424,
2003-02,4832568,
2003-03,4761514,
2003-04,4358340,
2003-05,5344622,
2003-06,4431248,
2003-07,4509339,
2003-08,4368155,
2003-09,4328549,
2003-10,4878555,
2003-11,5411841,
2003-12,4921534,
2004-01,4298940,
2004-02,4528872,
2004-03,4692995,
2004-04,5019282,
2004-05,4632375,
2004-06,5242091,
2004-07,5090174,
2004-08,4712966,
2004-09,5827195,
2004-10,5290526,
2004-11,6105667,
2004-12,5848968,
2005-01,5417561,
2005-02,5323032,
2005-03,5445340,
2005-04,6087101,
2005-05,5755515,
2005-06,5918338,
2005-07,5416628,
2005-08,6317707,
2005-09,6104869,
2005-10,6509264,
2005-11,6423598,
2005-12,6992615,
2006-01,6860961,
2006-02,7092638,
2006-03,7694775,
2006-04,7444652,
2006-05,7618440,
2006-06,7395856,
2006-07,7179609,
2006-08,7422013,
2006-09,7792889,
2006-10,6952572,
2006-11,7305320,
2006-12,7276337,
2007-01,7067831,
2007-02,7442306,
2007-03,7614483,
2007-04,7949028,
2007-05,6839163,
2007-06,7469786,
2007-07,7505630,
2007-08,7296678,
2007-09,7335692,
2007-10,7649306,
2007-11,8775681,
2007-12,8243870,
2008-01,8445589,
2008-02,8772169,
2008-03,8462553,
2008-04,9209461,
2008-05,8491095,
2008-06,8650979,
2008-07,10301481,
2008-08,8075891,
2008-09,9551321,
2008-10,8797326,
2008-11,9187985,
2008-12,7418977,
2009-01,7294681,
2009-02,6852845,
2009-03,7682133,
2009-04,6767151,
2009-05,6388710,
2009-06,6567289,
2009-07,6859741,
2009-08,6238470,
2009-09,7611081,
2009-10,7103587,
2009-11,6671462,
2009-12,6701125,
2010-01,6733342,
2010-02,6873271,
2010-03,8629939,
2010-04,7844836,
2010-05,8677256,
2010-06,8745026,
2010-07,8249023,
2010-08,7701043,
2010-09,7452666,
2010-10,8602915,
2010-11,8631626,
2010-12,8488569,
2011-01,8930242,
2011-02,9205863,
2011-03,10216429,
2011-04,9448706,
2011-05,10094345,
2011-06,8349019,
2011-07,10504130,
2011-08,9480732,
2011-09,9782310,
2011-10,9945304,
2011-11,10199017,
2011-12,10503432,
2012-01,10146953,
2012-02,10412396,
2012-03,11445120,
2012-04,10397642,
2012-05,10527867,
2012-06,10184806,
2012-07,10280118,
2012-08,9524062,
2012-09,10458374,
2012-10,12602025,
2012-11,9820507,
2012-12,9011471,
2013-01,10011502,
2013-02,9823920,
2013-03,9977843,
2013-04,10249275,
2013-05,9832585,
2013-06,10357530,
2013-07,10347843,
2013-08,10205396,
2013-09,9812867,
2013-10,10052603,
2013-11,10534334,
2013-12,9036521,
2014-01,10566915,
2014-02,10085210,
2014-03,9975305,
2014-04,10136782,
2014-05,9792202,
2014-06,9394525,
2014-07,9539057,
2014-08,8834863,
2014-09,9517892,
2014-10,9956326,
2014-11,10205755,
2014-12,8964312,
