"",BBDA1.M.DE.N.EX.S.A.AT.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.AT.A.V.ABA.A_FLAGS
2006-12,4026026,
2007-01,4083857,
2007-02,4102188,
2007-03,4606353,
2007-04,4489924,
2007-05,4311464,
2007-06,4500484,
2007-07,4273520,
2007-08,4322884,
2007-09,4513602,
2007-10,4877895,
2007-11,4763517,
2007-12,3967784,
2008-01,4348359,
2008-02,4547636,
2008-03,4642381,
2008-04,4981815,
2008-05,4495740,
2008-06,4753923,
2008-07,4612490,
2008-08,4153770,
2008-09,4800745,
2008-10,5152593,
2008-11,4409422,
2008-12,3789719,
2009-01,3789077,
2009-02,3546846,
2009-03,4031533,
2009-04,3897994,
2009-05,3485239,
2009-06,3727811,
2009-07,3922944,
2009-08,3583898,
2009-09,4321040,
2009-10,4190448,
2009-11,4064637,
2009-12,3532010,
2010-01,3592903,
2010-02,3789988,
2010-03,4733385,
2010-04,4163356,
2010-05,4231762,
2010-06,4404088,
2010-07,4351823,
2010-08,4245216,
2010-09,4782744,
2010-10,4796452,
2010-11,4785317,
2010-12,4279252,
2011-01,4294212,
2011-02,4636044,
2011-03,5381279,
2011-04,4751992,
2011-05,5013349,
2011-06,4756581,
2011-07,4632481,
2011-08,4717562,
2011-09,5203496,
2011-10,4810607,
2011-11,5125989,
2011-12,4347276,
2012-01,4491138,
2012-02,4916250,
2012-03,5137151,
2012-04,4724390,
2012-05,4701709,
2012-06,4670216,
2012-07,4659314,
2012-08,4529248,
2012-09,4810962,
2012-10,5237614,
2012-11,4758962,
2012-12,3954277,
2013-01,4484821,
2013-02,4471908,
2013-03,4854980,
2013-04,4799456,
2013-05,4454766,
2013-06,4747967,
2013-07,4738272,
2013-08,4557092,
2013-09,4974910,
2013-10,5192015,
2013-11,4844960,
2013-12,4155332,
2014-01,4593614,
2014-02,4601000,
2014-03,4854902,
2014-04,4760695,
2014-05,4540844,
2014-06,4622151,
2014-07,4887583,
2014-08,4218864,
2014-09,5107391,
2014-10,5198453,
2014-11,4716652,
2014-12,4131750,
