"",BBFN1.M.DE.N.1.A.BE.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.BE.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1994-03,3.330,
1994-04,3.143,
1994-05,3.121,
1994-06,2.460,
1994-07,2.761,
1994-08,2.552,
1994-09,2.747,
1994-10,2.714,
1994-11,2.629,
1994-12,2.822,
1995-01,3.357,
1995-02,3.392,
1995-03,3.461,
1995-04,3.488,
1995-05,3.133,
1995-06,3.029,
1995-07,3.167,
1995-08,3.194,
1995-09,2.728,
1995-10,2.793,
1995-11,2.725,
1995-12,2.590,
1996-01,2.965,
1996-02,3.825,
1996-03,4.735,
1996-04,5.013,
1996-05,4.753,
1996-06,4.569,
1996-07,3.235,
1996-08,3.037,
1996-09,3.490,
1996-10,3.856,
1996-11,3.427,
1996-12,4.165,
1997-01,5.038,
1997-02,4.761,
1997-03,3.572,
1997-04,4.252,
1997-05,4.705,
1997-06,3.853,
1997-07,4.035,
1997-08,3.497,
1997-09,3.219,
1997-10,3.835,
1997-11,3.386,
1997-12,3.470,
1998-01,3.891,
1998-02,4.071,
1998-03,3.612,
1998-04,3.812,
1998-05,3.648,
1998-06,3.377,
1998-07,3.957,
1998-08,4.496,
1998-09,4.757,
1998-10,4.527,
1998-11,6.416,
1998-12,5.804,
1999-01,5.852,
1999-02,5.688,
1999-03,4.841,
1999-04,5.004,
1999-05,4.448,
1999-06,4.845,
1999-07,4.423,
1999-08,4.287,
1999-09,5.358,
1999-10,4.346,
1999-11,4.615,
1999-12,4.385,
2000-01,5.153,
2000-02,4.984,
2000-03,5.415,
2000-04,4.993,
2000-05,5.724,
2000-06,8.195,
2000-07,5.848,
2000-08,7.272,
2000-09,12.044,
2000-10,11.729,
2000-11,10.137,
2000-12,10.323,
2001-01,10.931,
2001-02,9.335,
2001-03,9.253,
2001-04,9.213,
2001-05,8.842,
2001-06,10.315,
2001-07,5.630,
2001-08,4.963,
2001-09,5.875,
2001-10,4.694,
2001-11,4.642,
2001-12,5.621,
2002-01,5.958,
2002-02,5.980,
2002-03,5.908,
2002-04,4.679,
2002-05,4.856,
2002-06,4.464,
2002-07,4.584,
2002-08,3.924,
2002-09,5.497,
2002-10,4.448,
2002-11,4.989,
2002-12,5.524,
2003-01,4.707,
2003-02,5.060,
2003-03,5.309,
2003-04,4.831,
2003-05,5.459,
2003-06,5.957,
2003-07,6.675,
2003-08,7.166,
2003-09,7.729,
2003-10,6.622,
2003-11,6.075,
2003-12,4.977,
2004-01,9.944,
2004-02,5.945,
2004-03,6.598,
2004-04,5.969,
2004-05,5.319,
2004-06,5.281,
2004-07,6.000,
2004-08,6.884,
2004-09,5.455,
2004-10,5.840,
2004-11,5.695,
2004-12,6.397,
2005-01,5.681,
2005-02,6.171,
2005-03,5.897,
2005-04,5.837,
2005-05,5.825,
2005-06,6.272,
2005-07,5.910,
2005-08,6.356,
2005-09,6.157,
2005-10,7.055,
2005-11,5.254,
2005-12,5.379,
2006-01,4.922,
2006-02,5.517,
2006-03,5.155,
2006-04,4.880,
2006-05,6.505,
2006-06,6.147,
2006-07,7.314,
2006-08,7.688,
2006-09,7.427,
2006-10,6.839,
2006-11,7.735,
2006-12,7.204,
2007-01,6.988,
2007-02,7.804,
2007-03,7.766,
2007-04,8.637,
2007-05,8.575,
2007-06,9.129,
2007-07,9.218,
2007-08,7.568,
2007-09,7.599,
2007-10,8.157,
2007-11,8.421,
2007-12,10.920,
2008-01,12.218,
2008-02,11.203,
2008-03,12.609,
2008-04,12.690,
2008-05,15.061,
2008-06,11.483,
2008-07,13.139,
2008-08,15.186,
2008-09,15.842,
2008-10,15.089,
2008-11,10.605,
2008-12,16.305,
2009-01,17.407,
2009-02,15.099,
2009-03,21.151,
2009-04,17.720,
2009-05,15.127,
2009-06,18.549,
2009-07,17.107,
2009-08,15.195,
2009-09,17.297,
2009-10,18.841,
2009-11,20.356,
2009-12,21.554,
2010-01,19.224,
2010-02,19.963,
2010-03,19.270,
2010-04,19.184,
2010-05,22.450,
2010-06,23.913,
2010-07,19.029,
2010-08,16.133,
2010-09,16.100,
2010-10,15.597,
2010-11,16.017,
2010-12,13.321,
2011-01,12.677,
2011-02,12.132,
2011-03,15.517,
2011-04,15.864,
2011-05,20.668,
2011-06,20.893,
2011-07,25.228,
2011-08,32.505,
2011-09,39.775,
2011-10,30.215,
2011-11,27.861,
2011-12,23.586,
2012-01,30.420,
2012-02,21.859,
2012-03,22.395,
2012-04,25.040,
2012-05,27.874,
2012-06,28.079,
2012-07,22.573,
2012-08,20.529,
2012-09,23.435,
2012-10,19.473,
2012-11,17.643,
2012-12,13.449,
2013-01,22.922,
2013-02,25.722,
2013-03,21.791,
2013-04,24.256,
2013-05,25.077,
2013-06,24.350,
2013-07,24.175,
2013-08,20.624,
2013-09,21.135,
2013-10,22.517,
2013-11,21.885,
2013-12,18.236,
2014-01,17.217,
2014-02,17.026,
2014-03,17.475,
2014-04,18.075,
2014-05,19.880,
2014-06,18.798,
2014-07,23.561,
2014-08,22.121,
2014-09,23.839,
2014-10,21.467,
2014-11,22.579,
2014-12,18.212,
