"",BBEX3.M.BOB.USD.CA.AC.A01,BBEX3.M.BOB.USD.CA.AC.A01_FLAGS
2001-10,6.8000,
2001-11,6.8300,
2001-12,6.8300,
2002-01,6.9100,
2002-02,6.9800,
2002-03,7.0325,
2002-04,7.0625,
2002-05,7.0900,
2002-06,7.1725,
2002-07,7.2425,
2002-08,7.3025,
2002-09,7.3525,
2002-10,7.4025,
2002-11,7.4500,
2002-12,7.5025,
2003-01,7.5525,
2003-02,7.5725,
2003-03,7.5900,
2003-04,7.6000,
2003-05,7.6200,
2003-06,7.6500,
2003-07,7.6800,
2003-08,7.7200,
2003-09,7.7400,
2003-10,7.7600,
2003-11,7.7800,
2003-12,7.8300,
2004-01,7.8500,
2004-02,7.8600,
2004-03,7.8900,
2004-04,7.9000,
2004-05,7.9100,
2004-06,7.9300,
2004-07,7.9400,
2004-08,7.9700,
2004-09,7.9900,
2004-10,8.0200,
2004-11,8.0300,
2004-12,8.0500,
2005-01,8.0600,
2005-02,8.0700,
2005-03,8.0900,
2005-04,8.0900,
2005-05,8.0900,
2005-06,8.0900,
2005-07,8.0700,
2005-08,8.0600,
2005-09,8.0500,
2005-10,8.0400,
2005-11,8.0400,
2005-12,8.0400,
2006-01,8.0400,
2006-02,8.0300,
2006-03,8.0200,
2006-04,8.0100,
2006-05,8.0100,
2006-06,8.0100,
2006-07,8.0100,
2006-08,8.0000,
2006-09,8.0000,
2006-10,8.0000,
2006-11,8.0000,
2006-12,7.9800,
2007-01,7.9600,
2007-02,7.9400,
2007-03,7.9400,
2007-04,7.9400,
2007-05,7.9200,
2007-06,7.9000,
2007-07,7.8200,
2007-08,7.7600,
2007-09,7.7600,
2007-10,7.7200,
2007-11,7.6800,
2007-12,7.6200,
2008-01,7.5800,
2008-02,7.5400,
2008-03,7.4500,
2008-04,7.3500,
2008-05,7.2600,
2008-06,7.1700,
2008-07,7.0900,
2008-08,7.0600,
2008-09,7.0400,
2008-10,7.0200,
2008-11,7.0200,
2008-12,7.0200,
2009-01,7.0200,
2009-02,7.0200,
2009-03,7.0200,
2009-04,7.0200,
2009-05,7.0200,
2009-06,7.0200,
2009-07,7.0200,
2009-08,7.0200,
2009-09,7.0200,
2009-10,7.0200,
2009-11,7.0200,
2009-12,7.0200,
2010-01,7.0200,
2010-02,7.0200,
2010-03,7.0200,
2010-04,7.0200,
2010-05,7.0200,
2010-06,7.0200,
2010-07,7.0200,
2010-08,7.0200,
2010-09,7.0200,
2010-10,7.0200,
2010-11,7.0100,
2010-12,6.9900,
2011-01,6.9900,
2011-02,6.9700,
2011-03,6.9500,
2011-04,6.9400,
2011-05,6.9400,
2011-06,6.9300,
2011-07,6.9200,
2011-08,6.9200,
2011-09,6.9200,
2011-10,6.9200,
2011-11,6.9100,
2011-12,6.9100,
2012-01,6.9100,
2012-02,6.9100,
2012-03,6.9100,
2012-04,6.9100,
2012-05,6.9100,
2012-06,6.9100,
2012-07,6.9100,
2012-08,6.9100,
2012-09,6.9100,
2012-10,6.9100,
2012-11,6.9100,
2012-12,6.9100,
2013-01,6.9100,
2013-02,6.9100,
2013-03,6.9100,
2013-04,6.9100,
2013-05,6.9100,
2013-06,6.9100,
2013-07,6.9100,
2013-08,6.9100,
2013-09,6.9100,
2013-10,6.9100,
2013-11,6.9100,
2013-12,6.9100,
2014-01,6.9100,
2014-02,6.9100,
2014-03,6.9100,
2014-04,6.9100,
2014-05,6.9100,
2014-06,6.9100,
2014-07,6.9100,
2014-08,6.9100,
2014-09,6.9100,
2014-10,6.9100,
2014-11,6.9100,
2014-12,6.9100,
2015-01,6.9100,
"","Source: Calculated on the basis of the buying and selling rates of the following banks: Since March 2003: Banco Central de Bolivia, La Paz. 1990 - February 2003: Dresdner Bank Lateinamerika AG, Hamburg (formerly: Deutsch-Südamerikanische Bank AG).",
