"",BBFN1.M.DE.N.1.L.W1.S1P.F0.S.B000.EUR.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.F0.S.B000.EUR.BGA.X001.D_FLAGS
1983-11,20.572,
1983-12,18.237,
1984-01,19.261,
1984-02,20.018,
1984-03,19.772,
1984-04,20.104,
1984-05,20.074,
1984-06,20.106,
1984-07,20.742,
1984-08,21.902,
1984-09,21.748,
1984-10,21.668,
1984-11,22.116,
1984-12,19.571,
1985-01,19.886,
1985-02,20.479,
1985-03,20.092,
1985-04,20.447,
1985-05,20.433,
1985-06,20.810,
1985-07,20.825,
1985-08,21.727,
1985-09,21.401,
1985-10,21.114,
1985-11,21.448,
1985-12,19.375,
1986-01,20.788,
1986-02,20.520,
1986-03,19.793,
1986-04,19.127,
1986-05,18.485,
1986-06,17.887,
1986-07,17.570,
1986-08,17.593,
1986-09,17.331,
1986-10,17.571,
1986-11,17.248,
1986-12,15.176,
1987-01,16.140,
1987-02,16.621,
1987-03,15.357,
1987-04,14.615,
1987-05,14.423,
1987-06,14.235,
1987-07,14.125,
1987-08,14.113,
1987-09,14.269,
1987-10,15.227,
1987-11,15.658,
1987-12,14.450,
1988-01,15.234,
1988-02,15.286,
1988-03,14.878,
1988-04,14.557,
1988-05,14.826,
1988-06,15.045,
1988-07,14.926,
1988-08,14.934,
1988-09,15.174,
1988-10,15.293,
1988-11,15.369,
1988-12,14.037,
1989-01,15.117,
1989-02,14.930,
1989-03,15.439,
1989-04,15.202,
1989-05,15.204,
1989-06,15.563,
1989-07,15.653,
1989-08,16.048,
1989-09,16.399,
1989-10,16.339,
1989-11,17.559,
1989-12,16.133,
1990-01,17.746,
1990-02,18.474,
1990-03,19.053,
1990-04,19.268,
1990-05,19.104,
1990-06,19.394,
1990-07,19.554,
1990-08,20.102,
1990-09,20.671,
1990-10,21.007,
1990-11,21.858,
1990-12,18.571,
1991-01,20.105,
1991-02,21.812,
1991-03,22.216,
1991-04,23.123,
1991-05,23.753,
1991-06,24.402,
1991-07,24.895,
1991-08,25.978,
1991-09,26.002,
1991-10,26.074,
1991-11,25.936,
1991-12,25.541,
1992-01,24.870,
1992-02,23.374,
1992-03,20.677,
1992-04,18.863,
1992-05,19.769,
1992-06,20.131,
1992-07,22.589,
1992-08,22.785,
1992-09,24.243,
1992-10,24.120,
1992-11,24.834,
1992-12,23.881,
1993-01,26.573,
1993-02,26.393,
1993-03,24.938,
1993-04,26.310,
1993-05,25.939,
1993-06,24.192,
1993-07,22.937,
1993-08,23.567,
1993-09,22.230,
1993-10,21.769,
1993-11,20.935,
1993-12,20.569,
1994-01,20.481,
1994-02,20.536,
1994-03,20.879,
1994-04,20.459,
1994-05,20.822,
1994-06,20.270,
1994-07,20.192,
1994-08,20.335,
1994-09,20.598,
1994-10,20.704,
1994-11,20.801,
1994-12,19.204,
1995-01,19.421,
1995-02,19.190,
1995-03,19.922,
1995-04,19.647,
1995-05,20.161,
1995-06,20.144,
1995-07,20.371,
1995-08,20.799,
1995-09,21.104,
1995-10,20.735,
1995-11,21.434,
1995-12,19.771,
1996-01,19.511,
1996-02,20.699,
1996-03,19.759,
1996-04,19.877,
1996-05,19.272,
1996-06,18.399,
1996-07,18.653,
1996-08,19.036,
1996-09,20.260,
1996-10,20.025,
1996-11,20.320,
1996-12,18.537,
1997-01,18.096,
1997-02,18.245,
1997-03,19.344,
1997-04,18.668,
1997-05,20.344,
1997-06,21.672,
1997-07,22.508,
1997-08,22.431,
1997-09,20.896,
1997-10,22.954,
1997-11,22.583,
1997-12,22.216,
1998-01,22.902,
1998-02,23.182,
1998-03,23.661,
1998-04,24.236,
1998-05,22.903,
1998-06,20.888,
1998-07,21.492,
1998-08,20.681,
1998-09,19.078,
1998-10,20.784,
1998-11,21.684,
1998-12,21.007,
1999-01,22.126,
1999-02,21.458,
1999-03,23.418,
1999-04,23.718,
1999-05,22.598,
1999-06,24.836,
1999-07,25.390,
1999-08,27.178,
1999-09,25.852,
1999-10,30.611,
1999-11,28.156,
1999-12,32.519,
2000-01,35.930,
2000-02,44.206,
2000-03,42.875,
2000-04,40.836,
2000-05,37.869,
2000-06,28.195,
2000-07,24.484,
2000-08,23.145,
2000-09,29.434,
2000-10,27.069,
2000-11,25.575,
2000-12,25.218,
2001-01,28.160,
2001-02,23.299,
2001-03,23.684,
2001-04,25.941,
2001-05,27.857,
2001-06,24.013,
2001-07,25.907,
2001-08,25.607,
2001-09,24.237,
2001-10,23.799,
2001-11,24.308,
2001-12,21.118,
2002-01,22.386,
2002-02,23.348,
2002-03,24.859,
2002-04,23.163,
2002-05,25.521,
2002-06,23.536,
2002-07,23.627,
2002-08,23.725,
2002-09,22.070,
2002-10,21.837,
2002-11,22.716,
2002-12,18.556,
2003-01,21.331,
2003-02,18.234,
2003-03,18.597,
2003-04,19.454,
2003-05,18.429,
2003-06,16.962,
2003-07,17.935,
2003-08,17.644,
2003-09,16.222,
2003-10,15.315,
2003-11,15.427,
2003-12,17.347,
2004-01,20.964,
2004-02,21.755,
2004-03,19.961,
2004-04,19.193,
2004-05,18.711,
2004-06,16.610,
2004-07,15.345,
2004-08,15.060,
2004-09,15.710,
2004-10,15.004,
2004-11,14.125,
2004-12,12.290,
2005-01,13.507,
2005-02,13.866,
2005-03,12.725,
2005-04,13.135,
2005-05,13.398,
2005-06,12.442,
2005-07,13.840,
2005-08,17.227,
2005-09,18.352,
2005-10,19.301,
2005-11,19.014,
2005-12,16.718,
2006-01,18.746,
2006-02,21.940,
2006-03,22.608,
2006-04,23.077,
2006-05,21.862,
2006-06,26.000,
2006-07,26.683,
2006-08,27.818,
2006-09,28.420,
2006-10,25.452,
2006-11,24.237,
2006-12,24.754,
2007-01,32.373,
2007-02,40.984,
2007-03,32.048,
2007-04,31.557,
2007-05,36.715,
2007-06,29.263,
2007-07,30.770,
2007-08,27.589,
2007-09,30.882,
2007-10,25.555,
2007-11,28.132,
2007-12,25.264,
2008-01,39.063,
2008-02,41.349,
2008-03,31.176,
2008-04,35.434,
2008-05,38.007,
2008-06,31.836,
2008-07,31.036,
2008-08,30.594,
2008-09,33.458,
2008-10,40.619,
2008-11,38.712,
2008-12,36.686,
2009-01,43.074,
2009-02,38.721,
2009-03,41.382,
2009-04,43.853,
2009-05,37.499,
2009-06,37.050,
2009-07,32.706,
2009-08,32.862,
2009-09,31.242,
2009-10,32.477,
2009-11,33.576,
2009-12,43.901,
2010-01,31.678,
2010-02,30.686,
2010-03,32.270,
2010-04,32.141,
2010-05,35.289,
2010-06,38.161,
2010-07,45.045,
2010-08,44.723,
2010-09,45.258,
2010-10,44.879,
2010-11,42.509,
2010-12,43.697,
2011-01,47.849,
2011-02,45.735,
2011-03,41.661,
2011-04,48.014,
2011-05,48.171,
2011-06,52.036,
2011-07,57.866,
2011-08,60.098,
2011-09,67.823,
2011-10,60.052,
2011-11,60.402,
2011-12,65.204,
2012-01,60.933,
2012-02,57.636,
2012-03,70.776,
2012-04,74.383,
2012-05,80.025,
2012-06,79.205,
2012-07,74.907,
2012-08,64.533,
2012-09,70.497,
2012-10,69.260,
2012-11,67.274,
2012-12,66.979,
2013-01,69.434,
2013-02,71.525,
2013-03,76.830,
2013-04,86.944,
2013-05,81.313,
2013-06,92.286,
2013-07,86.563,
2013-08,78.011,
2013-09,81.965,
2013-10,75.280,
2013-11,78.786,
2013-12,63.716,
2014-01,71.043,
2014-02,66.572,
2014-03,71.588,
2014-04,76.870,
2014-05,72.449,
2014-06,70.605,
2014-07,83.628,
2014-08,77.908,
2014-09,75.954,
2014-10,70.002,
2014-11,69.590,
2014-12,69.410,
"","General: From January 1999, including national currencies of the euro-area member states.",
