"",BBFN1.M.DE.N.1.A.SG.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SG.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1999-02,0.306,
1999-03,0.393,
1999-04,0.360,
1999-05,0.392,
1999-06,0.436,
1999-07,0.556,
1999-08,0.567,
1999-09,0.436,
1999-10,0.391,
1999-11,0.442,
1999-12,0.459,
2000-01,0.530,
2000-02,0.327,
2000-03,0.468,
2000-04,0.474,
2000-05,0.518,
2000-06,0.545,
2000-07,0.614,
2000-08,0.633,
2000-09,0.681,
2000-10,0.600,
2000-11,0.573,
2000-12,0.559,
2001-01,0.481,
2001-02,0.588,
2001-03,0.575,
2001-04,0.634,
2001-05,0.659,
2001-06,0.638,
2001-07,0.678,
2001-08,0.674,
2001-09,0.704,
2001-10,0.677,
2001-11,0.698,
2001-12,0.806,
2002-01,0.666,
2002-02,0.691,
2002-03,0.617,
2002-04,0.638,
2002-05,0.636,
2002-06,0.509,
2002-07,0.670,
2002-08,0.674,
2002-09,0.607,
2002-10,0.616,
2002-11,0.599,
2002-12,0.508,
2003-01,0.662,
2003-02,0.702,
2003-03,0.694,
2003-04,0.631,
2003-05,0.684,
2003-06,0.667,
2003-07,0.608,
2003-08,0.625,
2003-09,0.616,
2003-10,0.481,
2003-11,0.491,
2003-12,0.381,
2004-01,0.329,
2004-02,0.296,
2004-03,0.339,
2004-04,0.355,
2004-05,0.384,
2004-06,0.415,
2004-07,0.431,
2004-08,0.403,
2004-09,0.428,
2004-10,0.407,
2004-11,0.451,
2004-12,0.500,
2005-01,0.477,
2005-02,0.486,
2005-03,0.460,
2005-04,0.456,
2005-05,0.495,
2005-06,0.542,
2005-07,0.564,
2005-08,0.477,
2005-09,0.546,
2005-10,0.399,
2005-11,0.308,
2005-12,0.304,
2006-01,0.273,
2006-02,0.324,
2006-03,0.307,
2006-04,0.352,
2006-05,0.427,
2006-06,0.422,
2006-07,0.410,
2006-08,0.383,
2006-09,0.365,
2006-10,0.456,
2006-11,0.413,
2006-12,0.471,
2007-01,0.376,
2007-02,0.773,
2007-03,0.364,
2007-04,0.443,
2007-05,0.546,
2007-06,0.663,
2007-07,0.380,
2007-08,0.399,
2007-09,0.454,
2007-10,0.435,
2007-11,0.355,
2007-12,0.336,
2008-01,0.341,
2008-02,0.386,
2008-03,0.386,
2008-04,0.935,
2008-05,0.976,
2008-06,0.730,
2008-07,0.809,
2008-08,0.888,
2008-09,0.900,
2008-10,0.869,
2008-11,0.676,
2008-12,0.934,
2009-01,0.600,
2009-02,0.600,
2009-03,0.653,
2009-04,0.652,
2009-05,0.631,
2009-06,0.629,
2009-07,0.635,
2009-08,0.598,
2009-09,0.629,
2009-10,0.649,
2009-11,0.595,
2009-12,0.610,
2010-01,0.733,
2010-02,0.607,
2010-03,0.643,
2010-04,0.636,
2010-05,0.660,
2010-06,0.818,
2010-07,0.828,
2010-08,0.823,
2010-09,0.834,
2010-10,0.878,
2010-11,0.924,
2010-12,0.950,
2011-01,0.878,
2011-02,0.942,
2011-03,0.938,
2011-04,0.988,
2011-05,0.801,
2011-06,0.797,
2011-07,0.878,
2011-08,0.863,
2011-09,0.849,
2011-10,0.887,
2011-11,1.262,
2011-12,1.182,
2012-01,1.110,
2012-02,1.308,
2012-03,1.208,
2012-04,1.654,
2012-05,1.674,
2012-06,1.742,
2012-07,2.472,
2012-08,2.314,
2012-09,2.203,
2012-10,2.489,
2012-11,2.318,
2012-12,1.863,
2013-01,1.531,
2013-02,1.598,
2013-03,1.686,
2013-04,1.799,
2013-05,1.823,
2013-06,2.241,
2013-07,1.753,
2013-08,1.863,
2013-09,2.018,
2013-10,2.518,
2013-11,3.128,
2013-12,1.892,
2014-01,1.790,
2014-02,1.781,
2014-03,2.702,
2014-04,2.863,
2014-05,3.070,
2014-06,3.330,
2014-07,3.587,
2014-08,3.603,
2014-09,3.107,
2014-10,2.956,
2014-11,2.817,
2014-12,2.759,
