"",BBFB1.M.N.DE.W1.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
2011-01,3920.155,
2011-02,2234.392,
2011-03,-52387.822,
2011-04,49476.124,
2011-05,-19759.791,
2011-06,-56715.888,
2011-07,11999.499,
2011-08,55848.484,
2011-09,53788.980,
2011-10,17084.287,
2011-11,8653.440,
2011-12,-85301.645,
2012-01,127277.276,
2012-02,7431.654,
2012-03,74223.657,
2012-04,42840.577,
2012-05,17261.791,
2012-06,-23312.062,
2012-07,21558.545,
2012-08,-1104.042,
2012-09,-48540.723,
2012-10,24613.024,
2012-11,-40720.069,
2012-12,-110595.839,
2013-01,17699.627,
2013-02,-9379.014,
2013-03,-32016.026,
2013-04,50446.002,
2013-05,-45561.566,
2013-06,-11991.625,
2013-07,-21921.846,
2013-08,-29859.730,
2013-09,-26653.287,
2013-10,7257.545,
2013-11,-10713.740,
2013-12,-108843.850,
2014-01,55026.946,
2014-02,-31836.311,Provisional value
2014-03,-8518.678,Provisional value
2014-04,52625.127,Provisional value
2014-05,-15678.148,Provisional value
2014-06,-17554.590,Provisional value
2014-07,22418.353,Provisional value
2014-08,-24666.074,Provisional value
2014-09,383.034,
2014-10,-3080.588,
2014-11,38072.496,
2014-12,-77126.113,Provisional value
