"",BBFN1.M.DE.N.1.A.IL.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.IL.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
1992-04,0.062,
1992-05,0.061,
1992-06,0.069,
1992-07,0.059,
1992-08,0.059,
1992-09,0.058,
1992-10,0.054,
1992-11,0.058,
1992-12,0.062,
1993-01,0.062,
1993-02,0.063,
1993-03,0.069,
1993-04,0.071,
1993-05,0.068,
1993-06,0.052,
1993-07,0.063,
1993-08,0.062,
1993-09,0.069,
1993-10,0.066,
1993-11,0.069,
1993-12,0.089,
1994-01,0.082,
1994-02,0.068,
1994-03,0.067,
1994-04,0.066,
1994-05,0.066,
1994-06,0.066,
1994-07,0.065,
1994-08,0.064,
1994-09,0.063,
1994-10,0.066,
1994-11,0.063,
1994-12,0.081,
1995-01,0.080,
1995-02,0.080,
1995-03,0.081,
1995-04,0.075,
1995-05,0.072,
1995-06,0.072,
1995-07,0.064,
1995-08,0.064,
1995-09,0.061,
1995-10,0.062,
1995-11,0.082,
1995-12,0.069,
1996-01,0.071,
1996-02,0.071,
1996-03,0.077,
1996-04,0.080,
1996-05,0.080,
1996-06,0.081,
1996-07,0.082,
1996-08,0.082,
1996-09,0.094,
1996-10,0.087,
1996-11,0.088,
1996-12,0.089,
1997-01,0.086,
1997-02,0.090,
1997-03,0.089,
1997-04,0.094,
1997-05,0.099,
1997-06,0.096,
1997-07,0.099,
1997-08,0.102,
1997-09,0.077,
1997-10,0.079,
1997-11,0.076,
1997-12,0.080,
1998-01,0.083,
1998-02,0.077,
1998-03,0.097,
1998-04,0.096,
1998-05,0.098,
1998-06,0.103,
1998-07,0.112,
1998-08,0.093,
1998-09,0.085,
1998-10,0.089,
1998-11,0.087,
1998-12,0.110,
1999-01,0.107,
1999-02,0.124,
1999-03,0.116,
1999-04,0.118,
1999-05,0.112,
1999-06,0.123,
1999-07,0.129,
1999-08,0.127,
1999-09,0.131,
1999-10,0.164,
1999-11,0.162,
1999-12,0.133,
2000-01,0.127,
2000-02,0.129,
2000-03,0.130,
2000-04,0.135,
2000-05,0.137,
2000-06,0.149,
2000-07,0.160,
2000-08,0.157,
2000-09,0.182,
2000-10,0.238,
2000-11,0.257,
2000-12,0.201,
2001-01,0.224,
2001-02,0.225,
2001-03,0.234,
2001-04,0.243,
2001-05,0.249,
2001-06,0.249,
2001-07,0.252,
2001-08,0.254,
2001-09,0.279,
2001-10,0.268,
2001-11,0.274,
2001-12,0.238,
2002-01,0.241,
2002-02,0.244,
2002-03,0.299,
2002-04,0.315,
2002-05,0.311,
2002-06,0.318,
2002-07,0.325,
2002-08,0.326,
2002-09,0.292,
2002-10,0.285,
2002-11,0.334,
2002-12,0.316,
2003-01,0.273,
2003-02,0.331,
2003-03,0.260,
2003-04,0.250,
2003-05,0.236,
2003-06,0.231,
2003-07,0.206,
2003-08,0.220,
2003-09,0.217,
2003-10,0.206,
2003-11,0.210,
2003-12,0.187,
2004-01,0.190,
2004-02,0.195,
2004-03,0.212,
2004-04,0.208,
2004-05,0.207,
2004-06,0.197,
2004-07,0.190,
2004-08,0.191,
2004-09,0.198,
2004-10,0.189,
2004-11,0.202,
2004-12,0.206,
2005-01,0.182,
2005-02,0.220,
2005-03,0.211,
2005-04,0.224,
2005-05,0.217,
2005-06,0.181,
2005-07,0.178,
2005-08,0.174,
2005-09,0.170,
2005-10,0.163,
2005-11,0.170,
2005-12,0.174,
2006-01,0.188,
2006-02,0.190,
2006-03,0.190,
2006-04,0.187,
2006-05,0.160,
2006-06,0.187,
2006-07,0.173,
2006-08,0.176,
2006-09,0.186,
2006-10,0.162,
2006-11,0.161,
2006-12,0.158,
2007-01,0.100,
2007-02,0.089,
2007-03,0.112,
2007-04,0.100,
2007-05,0.098,
2007-06,0.102,
2007-07,0.078,
2007-08,0.159,
2007-09,0.091,
2007-10,0.084,
2007-11,0.084,
2007-12,0.088,
2008-01,0.090,
2008-02,0.100,
2008-03,0.116,
2008-04,0.111,
2008-05,0.110,
2008-06,0.130,
2008-07,0.123,
2008-08,0.116,
2008-09,0.129,
2008-10,0.122,
2008-11,0.245,
2008-12,0.141,
2009-01,0.133,
2009-02,0.136,
2009-03,0.153,
2009-04,0.159,
2009-05,0.143,
2009-06,0.147,
2009-07,0.152,
2009-08,0.137,
2009-09,0.149,
2009-10,0.112,
2009-11,0.365,
2009-12,0.233,
2010-01,0.384,
2010-02,0.214,
2010-03,0.246,
2010-04,0.256,
2010-05,0.261,
2010-06,0.272,
2010-07,0.271,
2010-08,0.274,
2010-09,0.277,
2010-10,0.281,
2010-11,0.300,
2010-12,0.395,
2011-01,0.294,
2011-02,0.322,
2011-03,0.338,
2011-04,0.337,
2011-05,0.350,
2011-06,0.345,
2011-07,0.424,
2011-08,0.422,
2011-09,0.540,
2011-10,0.461,
2011-11,0.481,
2011-12,0.533,
2012-01,0.542,
2012-02,0.537,
2012-03,0.567,
2012-04,0.504,
2012-05,0.548,
2012-06,0.538,
2012-07,0.550,
2012-08,0.580,
2012-09,0.557,
2012-10,0.580,
2012-11,0.597,
2012-12,0.677,
2013-01,0.653,
2013-02,0.689,
2013-03,0.767,
2013-04,0.723,
2013-05,0.723,
2013-06,0.743,
2013-07,0.581,
2013-08,0.698,
2013-09,0.660,
2013-10,0.652,
2013-11,0.663,
2013-12,0.654,
2014-01,0.641,
2014-02,0.631,
2014-03,0.644,
2014-04,0.647,
2014-05,0.669,
2014-06,0.686,
2014-07,0.710,
2014-08,0.698,
2014-09,0.676,
2014-10,0.689,
2014-11,0.699,
2014-12,0.719,
