"",BBDE1.M.DE.Y.AEA1.P2XF22000.B2.C.I10.A,BBDE1.M.DE.Y.AEA1.P2XF22000.B2.C.I10.A_FLAGS
2013-03,126.2,
2013-04,124.1,
2013-05,127.5,
2013-06,145.3,
2013-07,137.2,
2013-08,132.1,
2013-09,131.6,
2013-10,129.6,
2013-11,127.7,
2013-12,137.6,
2014-01,142.9,
2014-02,146.7,
2014-03,134.2,
2014-04,141.8,
2014-05,138.9,
2014-06,128.2,
2014-07,123.8,
2014-08,113.9,
2014-09,127.8,
2014-10,136.9,
2014-11,133.0,
2014-12,153.7,
