"",BBEX3.M.PEN.USD.CA.AB.A01,BBEX3.M.PEN.USD.CA.AB.A01_FLAGS
2008-08,2.953,
2008-09,2.977,
2008-10,3.090,
2008-11,3.096,
2008-12,3.142,
2009-01,3.174,
2009-02,3.251,
2009-03,3.161,
2009-04,2.995,
2009-05,2.995,
2009-06,3.011,
2009-07,2.987,
2009-08,2.948,
2009-09,2.885,
2009-10,2.906,
2009-11,2.881,
2009-12,2.891,
2010-01,2.857,
2010-02,2.849,
2010-03,2.842,
2010-04,2.849,
2010-05,2.845,
2010-06,2.827,
2010-07,2.824,
2010-08,2.798,
2010-09,2.788,
2010-10,2.798,
2010-11,2.832,
2010-12,2.809,
2011-01,2.773,
2011-02,2.775,
2011-03,2.805,
2011-04,2.821,
2011-05,2.767,
2011-06,2.750,
2011-07,2.738,
2011-08,2.727,
2011-09,2.773,
2011-10,2.708,
2011-11,2.700,
2011-12,2.697,
2012-01,2.691,
2012-02,2.678,
2012-03,2.668,
2012-04,2.641,
2012-05,2.710,
2012-06,2.671,
2012-07,2.629,
2012-08,2.610,
2012-09,2.598,
2012-10,2.592,
2012-11,2.579,
2012-12,2.551,
2013-01,2.578,
2013-02,2.587,
2013-03,2.589,
2013-04,2.646,
2013-05,2.734,
2013-06,2.783,
2013-07,2.794,
2013-08,2.808,
2013-09,2.782,
2013-10,2.770,
2013-11,2.802,
2013-12,2.796,
2014-01,2.822,
2014-02,2.801,
2014-03,2.809,
2014-04,2.809,
2014-05,2.767,
2014-06,2.796,
2014-07,2.797,
2014-08,2.845,
2014-09,2.892,
2014-10,2.923,
2014-11,2.920,
2014-12,2.989,
2015-01,3.058,
"","General: * The exchange rates recorded up to the end of June 1991 were in ""millones de intis"". Currency conversion with effect from 1 July 1991 at the rate of PEI (intis) 1,000,000 = PEN (nuevo sol) 1; banknotes and coins denominated in PEN only entered into circulation from October 1991 onward. To prepare for the currency conversion, from 1 January 1991, all amounts denominated in inti (including in documents, on cheques, in prices and exchange rates) were indicated in millions and were accompanied by the words ""millones de intis""; ie 530,000 intis = 0.53  ""millones de intis"".",
"","Source: Since March 2003 Superintendencia de Banca, Seguros y AFP, Lima 1991 - end of February 2003 Dresdner Bank Lateinamerika AG, Hamburg (formerly: Deutsch-Südamerikanische Bank AG)",
