"",BBEX3.M.CAD.USD.CA.AC.A01,BBEX3.M.CAD.USD.CA.AC.A01_FLAGS
2005-12,1.1659,
2006-01,1.1439,
2006-02,1.1380,
2006-03,1.1671,
2006-04,1.1203,
2006-05,1.1028,
2006-06,1.1159,
2006-07,1.1309,
2006-08,1.1066,
2006-09,1.1153,
2006-10,1.1227,
2006-11,1.1415,
2006-12,1.1653,
2007-01,1.1792,
2007-02,1.1700,
2007-03,1.1529,
2007-04,1.1153,
2007-05,1.0699,
2007-06,1.0634,
2007-07,1.0657,
2007-08,1.0564,
2007-09,0.9963,
2007-10,0.9499,
2007-11,1.0008,
2007-12,0.9881,
2008-01,1.0022,
2008-02,0.9798,
2008-03,1.0279,
2008-04,1.0095,
2008-05,0.9942,
2008-06,1.0186,
2008-07,1.0257,
2008-08,1.0626,
2008-09,1.0599,
2008-10,1.2165,
2008-11,1.2372,
2008-12,1.2246,
2009-01,1.2364,
2009-02,1.2707,
2009-03,1.2602,
2009-04,1.1940,
2009-05,1.0961,
2009-06,1.1625,
2009-07,1.0790,
2009-08,1.0967,
2009-09,1.0722,
2009-10,1.0774,
2009-11,1.0574,
2009-12,1.0466,
2010-01,1.0650,
2010-02,1.0526,
2010-03,1.0156,
2010-04,1.0116,
2010-05,1.0462,
2010-06,1.0606,
2010-07,1.0290,
2010-08,1.0639,
2010-09,1.0298,
2010-10,1.0188,
2010-11,1.0264,
2010-12,0.9946,
2011-01,1.0022,
2011-02,0.9739,
2011-03,0.9718,
2011-04,0.9486,
2011-05,0.9688,
2011-06,0.9643,
2011-07,0.9538,
2011-08,0.9784,
2011-09,1.0389,
2011-10,0.9935,
2011-11,1.0197,
2011-12,1.0170,
2012-01,1.0052,
2012-02,0.9866,
2012-03,0.9991,
2012-04,0.9884,
2012-05,1.0349,
2012-06,1.0191,
2012-07,1.0014,
2012-08,0.9863,
2012-09,0.9837,
2012-10,0.9996,
2012-11,0.9932,
2012-12,0.9949,
2013-01,0.9992,
2013-02,1.0285,
2013-03,1.0156,
2013-04,1.0072,
2013-05,1.0339,
2013-06,1.0512,
2013-07,1.0287,
2013-08,1.0553,
2013-09,1.0285,
2013-10,1.0429,
2013-11,1.0599,
2013-12,1.0636,
2014-01,1.1119,
2014-02,1.1075,
2014-03,1.1053,
2014-04,1.0957,
2014-05,1.0867,
2014-06,1.0676,
2014-07,1.0890,
2014-08,1.0858,
2014-09,1.1208,
2014-10,1.1275,
2014-11,1.1427,
2014-12,1.1601,
2015-01,1.2717,
"",General: Noon rates.,
"","Source: Since 2008 Bank of Canada, Ottawa 1994 - 2007 Bank of Montreal, Toronto 1989 - 1993 The Globe and Mail, Toronto",
