"",BBEX3.M.ILS.USD.CA.AC.A01,BBEX3.M.ILS.USD.CA.AC.A01_FLAGS
2004-08,4.5260,
2004-09,4.4820,
2004-10,4.4680,
2004-11,4.3630,
2004-12,4.3080,
2005-01,4.3830,
2005-02,4.3570,
2005-03,4.3610,
2005-04,4.3690,
2005-05,4.4160,
2005-06,4.5740,
2005-07,4.5260,
2005-08,4.5450,
2005-09,4.5980,
2005-10,4.6360,
2005-11,4.6630,
2005-12,4.6030,
2006-01,4.6580,
2006-02,4.7060,
2006-03,4.6650,
2006-04,4.5030,
2006-05,4.5180,
2006-06,4.4400,
2006-07,4.3930,
2006-08,4.3640,
2006-09,4.3020,
2006-10,4.2880,
2006-11,4.2470,
2006-12,4.2250,
2007-01,4.2600,
2007-02,4.2110,
2007-03,4.1550,
2007-04,4.0240,
2007-05,4.0330,
2007-06,4.2490,
2007-07,4.3050,
2007-08,4.1240,
2007-09,4.0130,
2007-10,3.9660,
2007-11,3.8300,
2007-12,3.8460,
2008-01,3.6250,
2008-02,3.6350,
2008-03,3.5530,
2008-04,3.4290,
2008-05,3.2330,
2008-06,3.3520,
2008-07,3.4700,
2008-08,3.5920,
2008-09,3.4210,
2008-10,3.7830,
2008-11,3.9200,
2008-12,3.8020,
2009-01,4.0650,
2009-02,4.1620,
2009-03,4.1880,
2009-04,4.1630,
2009-05,3.9580,
2009-06,3.9190,
2009-07,3.7900,
2009-08,3.8110,
2009-09,3.7580,
2009-10,3.7460,
2009-11,3.7920,
2009-12,3.7750,
2010-01,3.7240,
2010-02,3.7960,
2010-03,3.7130,
2010-04,3.7160,
2010-05,3.8290,
2010-06,3.8750,
2010-07,3.7790,
2010-08,3.8170,
2010-09,3.6650,
2010-10,3.6360,
2010-11,3.6830,
2010-12,3.5490,
2011-01,3.7100,
2011-02,3.6220,
2011-03,3.4810,
2011-04,3.3950,
2011-05,3.4370,
2011-06,3.4150,
2011-07,3.4300,
2011-08,3.5580,
2011-09,3.7120,
2011-10,3.6040,
2011-11,3.7930,
2011-12,3.8210,
2012-01,3.7330,
2012-02,3.7660,
2012-03,3.7150,
2012-04,3.7500,
2012-05,3.8810,
2012-06,3.9230,
2012-07,3.9970,
2012-08,4.0280,
2012-09,3.9120,
2012-10,3.8780,
2012-11,3.8100,
2012-12,3.7330,
2013-01,3.7280,
2013-02,3.7080,
2013-03,3.6480,
2013-04,3.5940,
2013-05,3.6830,
2013-06,3.6180,
2013-07,3.5660,
2013-08,3.6140,
2013-09,3.5370,
2013-10,3.5190,
2013-11,3.5230,
2013-12,3.4710,
2014-01,3.4980,
2014-02,3.4960,
2014-03,3.4870,
2014-04,3.4660,
2014-05,3.4750,
2014-06,3.4380,
2014-07,3.4290,
2014-08,3.5680,
2014-09,3.6950,
2014-10,3.7840,
2014-11,3.8890,
2014-12,3.8890,
2015-01,3.9240,
"","Source: Bank of Israel, Jerusalem.",
