"",BBFB1.M.N.DE.W1.S1.S1.T.LI.FA.P.F._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.LI.FA.P.F._Z._T.M.N_FLAGS
2002-12,194128.218,
2003-01,248836.601,
2003-02,210888.465,
2003-03,261245.452,
2003-04,226780.964,
2003-05,240072.613,
2003-06,285109.811,
2003-07,255856.060,
2003-08,232631.357,
2003-09,263187.241,
2003-10,279504.687,
2003-11,235780.816,
2003-12,206594.034,
2004-01,288797.857,
2004-02,266295.090,
2004-03,318426.867,
2004-04,273405.923,
2004-05,281740.428,
2004-06,276114.282,
2004-07,248419.332,
2004-08,205224.925,
2004-09,240708.142,
2004-10,215826.306,
2004-11,248910.472,
2004-12,233972.120,
2005-01,292041.513,
2005-02,262872.450,
2005-03,286618.352,
2005-04,287007.192,
2005-05,303385.571,
2005-06,385956.393,
2005-07,258162.145,
2005-08,247515.495,
2005-09,290521.573,
2005-10,286666.618,
2005-11,271501.761,
2005-12,265982.181,
2006-01,306998.428,
2006-02,283898.520,
2006-03,352439.700,
2006-04,306631.184,
2006-05,437584.694,
2006-06,408687.826,
2006-07,248287.872,
2006-08,271083.646,
2006-09,315682.519,
2006-10,290821.848,
2006-11,301072.906,
2006-12,321372.614,
2007-01,348259.201,
2007-02,342267.067,
2007-03,437828.229,
2007-04,380921.138,
2007-05,478117.685,
2007-06,482072.649,
2007-07,396483.192,
2007-08,441254.034,
2007-09,381047.215,
2007-10,401978.874,
2007-11,408674.938,
2007-12,341367.168,
2008-01,495657.020,
2008-02,407984.566,
2008-03,411631.677,
2008-04,410868.678,
2008-05,443183.153,
2008-06,475945.992,
2008-07,414195.746,
2008-08,356754.876,
2008-09,435170.969,
2008-10,462626.087,
2008-11,273520.682,
2008-12,266216.002,
2009-01,260719.543,
2009-02,241034.355,
2009-03,278955.704,
2009-04,257954.065,
2009-05,325197.834,
2009-06,271393.967,
2009-07,230551.084,
2009-08,264646.284,
2009-09,297463.118,
2009-10,242044.146,
2009-11,267146.339,
2009-12,265250.892,
2010-01,250456.723,
2010-02,244357.169,
2010-03,298739.723,
2010-04,363178.868,
2010-05,463240.578,
2010-06,354527.619,
2010-07,229638.081,
2010-08,222132.811,
2010-09,289491.144,
2010-10,240092.153,
2010-11,258577.298,
2010-12,245071.824,
2011-01,275866.577,
2011-02,257367.976,
2011-03,295083.573,
2011-04,305386.554,
2011-05,438614.734,
2011-06,307587.315,
2011-07,268011.967,
2011-08,344046.669,
2011-09,294999.334,
2011-10,252542.867,
2011-11,264808.493,
2011-12,236429.630,
2012-01,263636.153,
2012-02,274086.326,
2012-03,297068.458,
2012-04,255897.959,
2012-05,323420.379,
2012-06,280791.082,
2012-07,272548.025,
2012-08,214449.752,
2012-09,259568.148,
2012-10,255097.565,
2012-11,238925.095,
2012-12,202974.852,
2013-01,274717.095,
2013-02,263707.250,
2013-03,277094.971,
2013-04,293840.245,
2013-05,337473.692,
2013-06,296040.770,
2013-07,280943.677,
2013-08,219654.123,
2013-09,252874.831,
2013-10,282997.621,
2013-11,266754.247,
2013-12,224344.049,
2014-01,295260.623,
2014-02,274062.565,Provisional value
2014-03,282136.337,Provisional value
2014-04,274783.108,Provisional value
2014-05,343565.470,Provisional value
2014-06,258580.141,Provisional value
2014-07,246622.959,Provisional value
2014-08,231711.712,Provisional value
2014-09,261554.904,
2014-10,266446.690,
2014-11,241175.272,
2014-12,249899.050,Provisional value
