"",BBFB1.M.Y.DE.W1.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
2006-08,12.02,
2006-09,12.17,
2006-10,12.56,
2006-11,12.36,
2006-12,12.48,
2007-01,12.07,
2007-02,12.30,
2007-03,12.12,
2007-04,12.54,
2007-05,12.86,
2007-06,12.69,
2007-07,13.04,
2007-08,13.37,
2007-09,12.56,
2007-10,13.05,
2007-11,12.54,
2007-12,13.10,
2008-01,13.68,
2008-02,13.98,
2008-03,12.98,
2008-04,13.46,
2008-05,13.88,
2008-06,13.11,
2008-07,14.00,
2008-08,13.66,
2008-09,13.53,
2008-10,14.51,
2008-11,13.91,
2008-12,13.31,
2009-01,13.22,
2009-02,13.61,
2009-03,13.21,
2009-04,13.60,
2009-05,13.27,
2009-06,12.68,
2009-07,13.02,
2009-08,13.13,
2009-09,12.88,
2009-10,12.79,
2009-11,12.95,
2009-12,13.32,
2010-01,13.54,
2010-02,13.29,
2010-03,13.82,
2010-04,14.27,
2010-05,14.11,
2010-06,14.07,
2010-07,14.14,
2010-08,14.61,
2010-09,14.46,
2010-10,14.25,
2010-11,14.79,
2010-12,13.96,
2011-01,14.61,
2011-02,14.30,
2011-03,14.96,
2011-04,14.05,
2011-05,14.76,
2011-06,14.36,
2011-07,14.27,
2011-08,14.59,
2011-09,15.61,
2011-10,15.90,
2011-11,15.12,
2011-12,15.19,
2012-01,14.95,
2012-02,15.61,
2012-03,15.54,
2012-04,15.36,
2012-05,15.44,
2012-06,15.86,
2012-07,15.59,
2012-08,16.20,
2012-09,15.95,
2012-10,15.77,
2012-11,15.42,
2012-12,15.87,
2013-01,16.16,
2013-02,15.54,
2013-03,16.16,
2013-04,16.14,
2013-05,16.14,
2013-06,16.34,
2013-07,16.31,
2013-08,16.33,
2013-09,17.40,
2013-10,15.99,
2013-11,17.08,
2013-12,16.92,
2014-01,16.69,
2014-02,17.16,Provisional value
2014-03,17.16,Provisional value
2014-04,16.71,Provisional value
2014-05,17.14,Provisional value
2014-06,17.59,Provisional value
2014-07,17.18,Provisional value
2014-08,17.19,Provisional value
2014-09,17.28,
2014-10,17.51,
2014-11,17.11,
2014-12,17.27,Provisional value
