"",BBDA1.M.DE.N.IM.S.A.TR.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.TR.A.V.ABA.A_FLAGS
1998-07,498669,
1998-08,477618,
1998-09,457813,
1998-10,486061,
1998-11,465430,
1998-12,458566,
1999-01,403272,
1999-02,420002,
1999-03,550566,
1999-04,428308,
1999-05,409585,
1999-06,485464,
1999-07,506916,
1999-08,439949,
1999-09,477600,
1999-10,490306,
1999-11,540108,
1999-12,512051,
2000-01,459960,
2000-02,526950,
2000-03,508124,
2000-04,451742,
2000-05,544981,
2000-06,481371,
2000-07,526486,
2000-08,539691,
2000-09,519160,
2000-10,542447,
2000-11,548818,
2000-12,551829,
2001-01,508815,
2001-02,535028,
2001-03,521305,
2001-04,508160,
2001-05,576330,
2001-06,556176,
2001-07,563622,
2001-08,594579,
2001-09,497821,
2001-10,627144,
2001-11,628100,
2001-12,458711,
2002-01,556934,
2002-02,531180,
2002-03,526958,
2002-04,610669,
2002-05,537427,
2002-06,553171,
2002-07,585620,
2002-08,594429,
2002-09,563410,
2002-10,692506,
2002-11,636718,
2002-12,539116,
2003-01,648626,
2003-02,529182,
2003-03,605162,
2003-04,622084,
2003-05,586869,
2003-06,553229,
2003-07,615283,
2003-08,547763,
2003-09,575599,
2003-10,692143,
2003-11,671892,
2003-12,600952,
2004-01,589965,
2004-02,563940,
2004-03,648979,
2004-04,696941,
2004-05,569031,
2004-06,646863,
2004-07,680957,
2004-08,703985,
2004-09,747099,
2004-10,717877,
2004-11,740854,
2004-12,675644,
2005-01,685186,
2005-02,601245,
2005-03,649626,
2005-04,717691,
2005-05,663038,
2005-06,601827,
2005-07,704593,
2005-08,785191,
2005-09,685162,
2005-10,752717,
2005-11,775054,
2005-12,778871,
2006-01,741401,
2006-02,688371,
2006-03,817963,
2006-04,838312,
2006-05,762427,
2006-06,749367,
2006-07,716428,
2006-08,748209,
2006-09,771565,
2006-10,817255,
2006-11,822279,
2006-12,757690,
2007-01,767489,
2007-02,927815,
2007-03,851782,
2007-04,831650,
2007-05,753803,
2007-06,753290,
2007-07,811394,
2007-08,854305,
2007-09,768062,
2007-10,862834,
2007-11,885818,
2007-12,775512,
2008-01,859216,
2008-02,858047,
2008-03,833542,
2008-04,883322,
2008-05,818130,
2008-06,821919,
2008-07,857100,
2008-08,720312,
2008-09,800593,
2008-10,835185,
2008-11,808667,
2008-12,639285,
2009-01,772100,
2009-02,761366,
2009-03,734662,
2009-04,691694,
2009-05,582043,
2009-06,692282,
2009-07,696444,
2009-08,650476,
2009-09,689570,
2009-10,723942,
2009-11,741288,
2009-12,602602,
2010-01,735453,
2010-02,722599,
2010-03,853180,
2010-04,763365,
2010-05,774155,
2010-06,855818,
2010-07,830906,
2010-08,873726,
2010-09,832380,
2010-10,941698,
2010-11,918834,
2010-12,914692,
2011-01,974754,
2011-02,927801,
2011-03,1063761,
2011-04,989977,
2011-05,1003478,
2011-06,987569,
2011-07,962051,
2011-08,1055163,
2011-09,875072,
2011-10,1033579,
2011-11,953077,
2011-12,964174,
2012-01,1074818,
2012-02,982570,
2012-03,1080332,
2012-04,1011545,
2012-05,1016997,
2012-06,988230,
2012-07,1055872,
2012-08,973322,
2012-09,921860,
2012-10,1108731,
2012-11,982409,
2012-12,874456,
2013-01,1085082,
2013-02,983204,
2013-03,1002379,
2013-04,1062578,
2013-05,964657,
2013-06,1005712,
2013-07,1138043,
2013-08,928742,
2013-09,1035961,
2013-10,1052901,
2013-11,1063871,
2013-12,975331,
2014-01,1188631,
2014-02,1026723,
2014-03,1122673,
2014-04,1107141,
2014-05,1051470,
2014-06,1114218,
2014-07,1222838,
2014-08,942717,
2014-09,1168106,
2014-10,1145608,
2014-11,1119920,
2014-12,1076359,
