"",BBDE1.M.DE.Y.GUB5.A2P340000.F.V.I10.A,BBDE1.M.DE.Y.GUB5.A2P340000.F.V.I10.A_FLAGS
2014-03,119.1,
2014-04,122.6,
2014-05,121.8,
2014-06,120.2,
2014-07,121.6,
2014-08,123.5,
2014-09,121.9,
2014-10,120.3,
2014-11,120.5,
2014-12,122.6,Provisional value
