"",BBDE1.M.DE.Y.AEA1.A2R240050.F.V.I10.A,BBDE1.M.DE.Y.AEA1.A2R240050.F.V.I10.A_FLAGS
2008-10,96.5,
2008-11,82.8,
2008-12,76.0,
2009-01,69.6,
2009-02,63.8,
2009-03,64.3,
2009-04,68.8,
2009-05,71.3,
2009-06,76.4,
2009-07,76.3,
2009-08,82.2,
2009-09,84.1,
2009-10,81.4,
2009-11,85.7,
2009-12,82.5,
2010-01,85.1,
2010-02,89.3,
2010-03,93.0,
2010-04,103.9,
2010-05,99.4,
2010-06,101.4,
2010-07,100.6,
2010-08,101.5,
2010-09,104.1,
2010-10,104.4,
2010-11,106.7,
2010-12,107.0,
2011-01,114.3,
2011-02,113.9,
2011-03,115.1,
2011-04,112.7,
2011-05,112.5,
2011-06,113.7,
2011-07,112.9,
2011-08,115.6,
2011-09,110.3,
2011-10,110.4,
2011-11,105.6,
2011-12,110.7,
2012-01,109.1,
2012-02,110.4,
2012-03,107.7,
2012-04,108.6,
2012-05,108.7,
2012-06,107.5,
2012-07,105.5,
2012-08,107.5,
2012-09,102.1,
2012-10,105.9,
2012-11,105.4,
2012-12,108.6,
2013-01,103.8,
2013-02,105.3,
2013-03,103.9,
2013-04,104.6,
2013-05,104.2,
2013-06,107.2,
2013-07,104.8,
2013-08,105.5,
2013-09,104.5,
2013-10,105.8,
2013-11,104.3,
2013-12,107.6,
2014-01,105.0,
2014-02,108.3,
2014-03,107.7,
2014-04,106.5,
2014-05,104.0,
2014-06,105.2,
2014-07,106.5,
2014-08,107.6,
2014-09,106.6,
2014-10,108.2,
2014-11,103.9,
2014-12,107.0,Provisional value
