"",BBEX3.D.COP.USD.CA.AC.000,BBEX3.D.COP.USD.CA.AC.000_FLAGS
1995-06-13,.,No value available
1995-06-14,.,No value available
1995-06-15,.,No value available
1995-06-16,872.545,
1995-06-17,.,No value available
1995-06-18,.,No value available
1995-06-19,.,No value available
1995-06-20,.,No value available
1995-06-21,.,No value available
1995-06-22,.,No value available
1995-06-23,.,No value available
1995-06-24,.,No value available
1995-06-25,.,No value available
1995-06-26,.,No value available
1995-06-27,.,No value available
1995-06-28,.,No value available
1995-06-29,.,No value available
1995-06-30,881.235,
1995-07-01,.,No value available
1995-07-02,.,No value available
1995-07-03,.,No value available
1995-07-04,.,No value available
1995-07-05,.,No value available
1995-07-06,.,No value available
1995-07-07,891.285,
1995-07-08,.,No value available
1995-07-09,.,No value available
1995-07-10,.,No value available
1995-07-11,.,No value available
1995-07-12,.,No value available
1995-07-13,.,No value available
1995-07-14,892.820,
1995-07-15,.,No value available
1995-07-16,.,No value available
1995-07-17,.,No value available
1995-07-18,.,No value available
1995-07-19,.,No value available
1995-07-20,.,No value available
1995-07-21,894.495,
1995-07-22,.,No value available
1995-07-23,.,No value available
1995-07-24,.,No value available
1995-07-25,.,No value available
1995-07-26,.,No value available
1995-07-27,.,No value available
1995-07-28,895.560,
1995-07-29,.,No value available
1995-07-30,.,No value available
1995-07-31,897.675,
1995-08-01,.,No value available
1995-08-02,.,No value available
1995-08-03,.,No value available
1995-08-04,917.530,
1995-08-05,.,No value available
1995-08-06,.,No value available
1995-08-07,.,No value available
1995-08-08,.,No value available
1995-08-09,.,No value available
1995-08-10,.,No value available
1995-08-11,917.135,
1995-08-12,.,No value available
1995-08-13,.,No value available
1995-08-14,.,No value available
1995-08-15,.,No value available
1995-08-16,.,No value available
1995-08-17,.,No value available
1995-08-18,947.220,
1995-08-19,.,No value available
1995-08-20,.,No value available
1995-08-21,.,No value available
1995-08-22,.,No value available
1995-08-23,.,No value available
1995-08-24,.,No value available
1995-08-25,962.605,
1995-08-26,.,No value available
1995-08-27,.,No value available
1995-08-28,.,No value available
1995-08-29,.,No value available
1995-08-30,.,No value available
1995-08-31,960.190,
1995-09-01,949.350,
1995-09-02,.,No value available
1995-09-03,.,No value available
1995-09-04,.,No value available
1995-09-05,.,No value available
1995-09-06,.,No value available
1995-09-07,.,No value available
1995-09-08,954.640,
1995-09-09,.,No value available
1995-09-10,.,No value available
1995-09-11,.,No value available
1995-09-12,.,No value available
1995-09-13,.,No value available
1995-09-14,.,No value available
1995-09-15,960.255,
1995-09-16,.,No value available
1995-09-17,.,No value available
1995-09-18,.,No value available
1995-09-19,.,No value available
1995-09-20,.,No value available
1995-09-21,.,No value available
1995-09-22,974.225,
1995-09-23,.,No value available
1995-09-24,.,No value available
1995-09-25,.,No value available
1995-09-26,.,No value available
1995-09-27,.,No value available
1995-09-28,.,No value available
1995-09-29,972.755,
1995-09-30,.,No value available
1995-10-01,.,No value available
1995-10-02,.,No value available
1995-10-03,.,No value available
1995-10-04,.,No value available
1995-10-05,.,No value available
1995-10-06,972.925,
1995-10-07,.,No value available
1995-10-08,.,No value available
1995-10-09,.,No value available
1995-10-10,.,No value available
1995-10-11,.,No value available
1995-10-12,.,No value available
1995-10-13,984.885,
1995-10-14,.,No value available
1995-10-15,.,No value available
1995-10-16,.,No value available
1995-10-17,.,No value available
1995-10-18,.,No value available
1995-10-19,.,No value available
1995-10-20,991.520,
1995-10-21,.,No value available
1995-10-22,.,No value available
1995-10-23,.,No value available
1995-10-24,.,No value available
1995-10-25,.,No value available
1995-10-26,.,No value available
1995-10-27,995.010,
1995-10-28,.,No value available
1995-10-29,.,No value available
1995-10-30,.,No value available
1995-10-31,994.500,
1995-11-01,.,No value available
1995-11-02,.,No value available
1995-11-03,998.180,
1995-11-04,.,No value available
1995-11-05,.,No value available
1995-11-06,.,No value available
1995-11-07,.,No value available
1995-11-08,.,No value available
1995-11-09,.,No value available
1995-11-10,1000.130,
1995-11-11,.,No value available
1995-11-12,.,No value available
1995-11-13,.,No value available
1995-11-14,.,No value available
1995-11-15,.,No value available
1995-11-16,.,No value available
1995-11-17,1002.245,
1995-11-18,.,No value available
1995-11-19,.,No value available
1995-11-20,.,No value available
1995-11-21,.,No value available
1995-11-22,.,No value available
1995-11-23,.,No value available
1995-11-24,1001.225,
1995-11-25,.,No value available
1995-11-26,.,No value available
1995-11-27,.,No value available
1995-11-28,.,No value available
1995-11-29,.,No value available
1995-11-30,998.155,
1995-12-01,998.160,
1995-12-02,.,No value available
1995-12-03,.,No value available
1995-12-04,.,No value available
1995-12-05,.,No value available
1995-12-06,.,No value available
1995-12-07,983.345,
1995-12-08,.,No value available
1995-12-09,.,No value available
1995-12-10,.,No value available
1995-12-11,.,No value available
1995-12-12,.,No value available
1995-12-13,.,No value available
1995-12-14,.,No value available
1995-12-15,992.880,
1995-12-16,.,No value available
1995-12-17,.,No value available
1995-12-18,.,No value available
1995-12-19,.,No value available
1995-12-20,.,No value available
1995-12-21,.,No value available
1995-12-22,984.055,
1995-12-23,.,No value available
1995-12-24,.,No value available
1995-12-25,.,No value available
1995-12-26,.,No value available
1995-12-27,.,No value available
1995-12-28,.,No value available
1995-12-29,987.650,
1995-12-30,.,No value available
1995-12-31,.,No value available
1996-01-01,.,No value available
1996-01-02,.,No value available
1996-01-03,.,No value available
1996-01-04,.,No value available
1996-01-05,998.460,
1996-01-06,.,No value available
1996-01-07,.,No value available
1996-01-08,.,No value available
1996-01-09,.,No value available
1996-01-10,.,No value available
1996-01-11,.,No value available
1996-01-12,1002.590,
1996-01-13,.,No value available
1996-01-14,.,No value available
1996-01-15,.,No value available
1996-01-16,.,No value available
1996-01-17,.,No value available
1996-01-18,.,No value available
1996-01-19,1015.100,
1996-01-20,.,No value available
1996-01-21,.,No value available
1996-01-22,.,No value available
1996-01-23,.,No value available
1996-01-24,.,No value available
1996-01-25,.,No value available
1996-01-26,1026.780,
1996-01-27,.,No value available
1996-01-28,.,No value available
1996-01-29,.,No value available
1996-01-30,.,No value available
1996-01-31,1028.140,
1996-02-01,.,No value available
1996-02-02,1024.885,
1996-02-03,.,No value available
1996-02-04,.,No value available
1996-02-05,.,No value available
1996-02-06,.,No value available
1996-02-07,.,No value available
1996-02-08,.,No value available
1996-02-09,1024.885,
1996-02-10,.,No value available
1996-02-11,.,No value available
1996-02-12,.,No value available
1996-02-13,.,No value available
1996-02-14,.,No value available
1996-02-15,.,No value available
1996-02-16,1030.675,
1996-02-17,.,No value available
1996-02-18,.,No value available
1996-02-19,.,No value available
1996-02-20,.,No value available
1996-02-21,.,No value available
1996-02-22,.,No value available
1996-02-23,1035.035,
1996-02-24,.,No value available
1996-02-25,.,No value available
1996-02-26,.,No value available
1996-02-27,.,No value available
1996-02-28,.,No value available
1996-02-29,1039.810,
1996-03-01,1039.900,
1996-03-02,.,No value available
1996-03-03,.,No value available
1996-03-04,.,No value available
1996-03-05,.,No value available
1996-03-06,.,No value available
1996-03-07,.,No value available
1996-03-08,1042.610,
1996-03-09,.,No value available
1996-03-10,.,No value available
1996-03-11,.,No value available
1996-03-12,.,No value available
1996-03-13,.,No value available
1996-03-14,.,No value available
1996-03-15,1045.435,
1996-03-16,.,No value available
1996-03-17,.,No value available
1996-03-18,.,No value available
1996-03-19,.,No value available
1996-03-20,.,No value available
1996-03-21,.,No value available
1996-03-22,1048.405,
1996-03-23,.,No value available
1996-03-24,.,No value available
1996-03-25,.,No value available
1996-03-26,.,No value available
1996-03-27,.,No value available
1996-03-28,.,No value available
1996-03-29,1048.425,
1996-03-30,.,No value available
1996-03-31,.,No value available
1996-04-01,.,No value available
1996-04-02,.,No value available
1996-04-03,1045.230,
1996-04-04,.,No value available
1996-04-05,.,No value available
1996-04-06,.,No value available
1996-04-07,.,No value available
1996-04-08,.,No value available
1996-04-09,.,No value available
1996-04-10,.,No value available
1996-04-11,.,No value available
1996-04-12,1047.475,
1996-04-13,.,No value available
1996-04-14,.,No value available
1996-04-15,.,No value available
1996-04-16,.,No value available
1996-04-17,.,No value available
1996-04-18,.,No value available
1996-04-19,1052.900,
1996-04-20,.,No value available
1996-04-21,.,No value available
1996-04-22,.,No value available
1996-04-23,.,No value available
1996-04-24,.,No value available
1996-04-25,.,No value available
1996-04-26,1054.290,
1996-04-27,.,No value available
1996-04-28,.,No value available
1996-04-29,.,No value available
1996-04-30,1058.905,
1996-05-01,.,No value available
1996-05-02,.,No value available
1996-05-03,1062.560,
1996-05-04,.,No value available
1996-05-05,.,No value available
1996-05-06,.,No value available
1996-05-07,.,No value available
1996-05-08,.,No value available
1996-05-09,.,No value available
1996-05-10,1061.100,
1996-05-11,.,No value available
1996-05-12,.,No value available
1996-05-13,.,No value available
1996-05-14,.,No value available
1996-05-15,.,No value available
1996-05-16,.,No value available
1996-05-17,1065.885,
1996-05-18,.,No value available
1996-05-19,.,No value available
1996-05-20,.,No value available
1996-05-21,.,No value available
1996-05-22,.,No value available
1996-05-23,.,No value available
1996-05-24,1069.465,
1996-05-25,.,No value available
1996-05-26,.,No value available
1996-05-27,.,No value available
1996-05-28,.,No value available
1996-05-29,.,No value available
1996-05-30,.,No value available
1996-05-31,1073.060,
1996-06-01,.,No value available
1996-06-02,.,No value available
1996-06-03,.,No value available
1996-06-04,.,No value available
1996-06-05,.,No value available
1996-06-06,.,No value available
1996-06-07,1072.950,
1996-06-08,.,No value available
1996-06-09,.,No value available
1996-06-10,.,No value available
1996-06-11,.,No value available
1996-06-12,.,No value available
1996-06-13,.,No value available
1996-06-14,1072.335,
1996-06-15,.,No value available
1996-06-16,.,No value available
1996-06-17,.,No value available
1996-06-18,.,No value available
1996-06-19,.,No value available
1996-06-20,.,No value available
1996-06-21,1070.865,
1996-06-22,.,No value available
1996-06-23,.,No value available
1996-06-24,.,No value available
1996-06-25,.,No value available
1996-06-26,.,No value available
1996-06-27,.,No value available
1996-06-28,1069.735,
1996-06-29,.,No value available
1996-06-30,.,No value available
1996-07-01,.,No value available
1996-07-02,.,No value available
1996-07-03,.,No value available
1996-07-04,.,No value available
1996-07-05,1068.300,
1996-07-06,.,No value available
1996-07-07,.,No value available
1996-07-08,.,No value available
1996-07-09,.,No value available
1996-07-10,.,No value available
1996-07-11,.,No value available
1996-07-12,1061.790,
1996-07-13,.,No value available
1996-07-14,.,No value available
1996-07-15,.,No value available
1996-07-16,.,No value available
1996-07-17,.,No value available
1996-07-18,.,No value available
1996-07-19,1058.920,
1996-07-20,.,No value available
1996-07-21,.,No value available
1996-07-22,.,No value available
1996-07-23,.,No value available
1996-07-24,.,No value available
1996-07-25,.,No value available
1996-07-26,1061.030,
1996-07-27,.,No value available
1996-07-28,.,No value available
1996-07-29,.,No value available
1996-07-30,.,No value available
1996-07-31,1056.740,
1996-08-01,.,No value available
1996-08-02,1054.870,
1996-08-03,.,No value available
1996-08-04,.,No value available
1996-08-05,.,No value available
1996-08-06,.,No value available
1996-08-07,.,No value available
1996-08-08,.,No value available
1996-08-09,1044.900,
1996-08-10,.,No value available
1996-08-11,.,No value available
1996-08-12,.,No value available
1996-08-13,.,No value available
1996-08-14,.,No value available
1996-08-15,.,No value available
1996-08-16,1051.810,
1996-08-17,.,No value available
1996-08-18,.,No value available
1996-08-19,.,No value available
1996-08-20,.,No value available
1996-08-21,.,No value available
1996-08-22,.,No value available
1996-08-23,1040.145,
1996-08-24,.,No value available
1996-08-25,.,No value available
1996-08-26,.,No value available
1996-08-27,.,No value available
1996-08-28,.,No value available
1996-08-29,.,No value available
1996-08-30,1045.015,
1996-08-31,.,No value available
1996-09-01,.,No value available
1996-09-02,.,No value available
1996-09-03,.,No value available
1996-09-04,.,No value available
1996-09-05,.,No value available
1996-09-06,1043.930,
1996-09-07,.,No value available
1996-09-08,.,No value available
1996-09-09,.,No value available
1996-09-10,.,No value available
1996-09-11,.,No value available
1996-09-12,.,No value available
1996-09-13,1047.660,
1996-09-14,.,No value available
1996-09-15,.,No value available
1996-09-16,.,No value available
1996-09-17,.,No value available
1996-09-18,.,No value available
1996-09-19,.,No value available
1996-09-20,1037.595,
1996-09-21,.,No value available
1996-09-22,.,No value available
1996-09-23,.,No value available
1996-09-24,.,No value available
1996-09-25,.,No value available
1996-09-26,.,No value available
1996-09-27,1027.675,
1996-09-28,.,No value available
1996-09-29,.,No value available
1996-09-30,1025.060,
1996-10-01,.,No value available
1996-10-02,.,No value available
1996-10-03,.,No value available
1996-10-04,1015.005,
1996-10-05,.,No value available
1996-10-06,.,No value available
1996-10-07,.,No value available
1996-10-08,.,No value available
1996-10-09,.,No value available
1996-10-10,.,No value available
1996-10-11,1015.070,
1996-10-12,.,No value available
1996-10-13,.,No value available
1996-10-14,.,No value available
1996-10-15,.,No value available
1996-10-16,.,No value available
1996-10-17,.,No value available
1996-10-18,1015.240,
1996-10-19,.,No value available
1996-10-20,.,No value available
1996-10-21,.,No value available
1996-10-22,.,No value available
1996-10-23,.,No value available
1996-10-24,.,No value available
1996-10-25,1015.485,
1996-10-26,.,No value available
1996-10-27,.,No value available
1996-10-28,.,No value available
1996-10-29,.,No value available
1996-10-30,.,No value available
1996-10-31,.,No value available
1996-11-01,1000.145,
1996-11-02,.,No value available
1996-11-03,.,No value available
1996-11-04,.,No value available
1996-11-05,.,No value available
1996-11-06,.,No value available
1996-11-07,.,No value available
1996-11-08,999.585,
1996-11-09,.,No value available
1996-11-10,.,No value available
1996-11-11,.,No value available
1996-11-12,.,No value available
1996-11-13,.,No value available
1996-11-14,.,No value available
1996-11-15,.,No value available
1996-11-16,.,No value available
1996-11-17,.,No value available
1996-11-18,.,No value available
1996-11-19,.,No value available
1996-11-20,.,No value available
1996-11-21,.,No value available
1996-11-22,994.370,
1996-11-23,.,No value available
1996-11-24,.,No value available
1996-11-25,.,No value available
1996-11-26,.,No value available
1996-11-27,.,No value available
1996-11-28,.,No value available
1996-11-29,994.445,
1996-11-30,.,No value available
1996-12-01,.,No value available
1996-12-02,.,No value available
1996-12-03,.,No value available
1996-12-04,.,No value available
1996-12-05,.,No value available
1996-12-06,997.480,
1996-12-07,.,No value available
1996-12-08,.,No value available
1996-12-09,.,No value available
1996-12-10,.,No value available
1996-12-11,.,No value available
1996-12-12,.,No value available
1996-12-13,999.465,
1996-12-14,.,No value available
1996-12-15,.,No value available
1996-12-16,.,No value available
1996-12-17,.,No value available
1996-12-18,.,No value available
1996-12-19,.,No value available
1996-12-20,1001.100,
1996-12-21,.,No value available
1996-12-22,.,No value available
1996-12-23,.,No value available
1996-12-24,.,No value available
1996-12-25,.,No value available
1996-12-26,.,No value available
1996-12-27,1003.490,
1996-12-28,.,No value available
1996-12-29,.,No value available
1996-12-30,.,No value available
1996-12-31,.,No value available
1997-01-01,.,No value available
1997-01-02,.,No value available
