"",BBFN1.M.DE.N.1.L.JP.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.JP.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1982-01,0.074,
1982-02,0.077,
1982-03,0.078,
1982-04,0.079,
1982-05,0.078,
1982-06,0.078,
1982-07,0.084,
1982-08,0.079,
1982-09,0.079,
1982-10,0.067,
1982-11,0.108,
1982-12,0.101,
1983-01,0.093,
1983-02,0.083,
1983-03,0.076,
1983-04,0.089,
1983-05,0.099,
1983-06,0.139,
1983-07,0.116,
1983-08,0.094,
1983-09,0.098,
1983-10,0.084,
1983-11,0.090,
1983-12,0.090,
1984-01,0.084,
1984-02,0.077,
1984-03,0.074,
1984-04,0.087,
1984-05,0.063,
1984-06,0.085,
1984-07,0.114,
1984-08,0.145,
1984-09,0.146,
1984-10,0.130,
1984-11,0.157,
1984-12,0.155,
1985-01,0.123,
1985-02,0.114,
1985-03,0.111,
1985-04,0.092,
1985-05,0.080,
1985-06,0.072,
1985-07,0.068,
1985-08,0.059,
1985-09,0.051,
1985-10,0.048,
1985-11,0.046,
1985-12,0.060,
1986-01,0.050,
1986-02,0.051,
1986-03,0.049,
1986-04,0.058,
1986-05,0.052,
1986-06,0.056,
1986-07,0.067,
1986-08,0.057,
1986-09,0.058,
1986-10,0.059,
1986-11,0.063,
1986-12,0.061,
1987-01,0.058,
1987-02,0.052,
1987-03,0.061,
1987-04,0.058,
1987-05,0.054,
1987-06,0.062,
1987-07,0.060,
1987-08,0.069,
1987-09,0.067,
1987-10,0.084,
1987-11,0.084,
1987-12,0.086,
1988-01,0.130,
1988-02,0.089,
1988-03,0.094,
1988-04,0.105,
1988-05,0.108,
1988-06,0.087,
1988-07,0.077,
1988-08,0.096,
1988-09,0.081,
1988-10,0.066,
1988-11,0.059,
1988-12,0.055,
1989-01,0.063,
1989-02,0.076,
1989-03,0.079,
1989-04,0.071,
1989-05,0.079,
1989-06,0.081,
1989-07,0.086,
1989-08,0.074,
1989-09,0.076,
1989-10,0.082,
1989-11,0.088,
1989-12,0.145,
1990-01,0.101,
1990-02,0.164,
1990-03,0.143,
1990-04,0.115,
1990-05,0.123,
1990-06,0.146,
1990-07,0.172,
1990-08,0.125,
1990-09,0.121,
1990-10,0.114,
1990-11,0.098,
1990-12,0.140,
1991-01,0.128,
1991-02,0.124,
1991-03,0.171,
1991-04,0.148,
1991-05,0.217,
1991-06,0.242,
1991-07,0.174,
1991-08,0.170,
1991-09,0.182,
1991-10,0.187,
1991-11,0.126,
1991-12,0.132,
1992-01,0.131,
1992-02,0.172,
1992-03,0.178,
1992-04,0.274,
1992-05,0.216,
1992-06,0.216,
1992-07,0.183,
1992-08,0.190,
1992-09,0.162,
1992-10,0.224,
1992-11,0.183,
1992-12,0.202,
1993-01,0.195,
1993-02,0.236,
1993-03,0.253,
1993-04,0.252,
1993-05,0.273,
1993-06,0.289,
1993-07,0.303,
1993-08,0.324,
1993-09,0.363,
1993-10,0.325,
1993-11,0.333,
1993-12,0.320,
1994-01,0.357,
1994-02,0.325,
1994-03,0.336,
1994-04,0.334,
1994-05,0.343,
1994-06,0.330,
1994-07,0.323,
1994-08,0.342,
1994-09,0.407,
1994-10,0.396,
1994-11,0.388,
1994-12,0.463,
1995-01,0.474,
1995-02,0.434,
1995-03,0.373,
1995-04,0.377,
1995-05,0.385,
1995-06,0.390,
1995-07,0.412,
1995-08,0.407,
1995-09,0.398,
1995-10,0.393,
1995-11,0.330,
1995-12,0.289,
1996-01,0.266,
1996-02,0.274,
1996-03,0.277,
1996-04,0.344,
1996-05,0.277,
1996-06,0.272,
1996-07,0.336,
1996-08,0.262,
1996-09,0.266,
1996-10,0.360,
1996-11,0.254,
1996-12,0.352,
1997-01,0.255,
1997-02,0.268,
1997-03,0.269,
1997-04,0.253,
1997-05,0.263,
1997-06,0.292,
1997-07,0.313,
1997-08,0.268,
1997-09,0.284,
1997-10,0.362,
1997-11,0.292,
1997-12,0.349,
1998-01,0.325,
1998-02,0.342,
1998-03,0.361,
1998-04,0.404,
1998-05,0.416,
1998-06,0.377,
1998-07,0.225,
1998-08,0.372,
1998-09,0.368,
1998-10,0.371,
1998-11,0.395,
1998-12,0.399,
1999-01,0.327,
1999-02,0.379,
1999-03,0.416,
1999-04,0.444,
1999-05,0.428,
1999-06,0.349,
1999-07,0.381,
1999-08,0.499,
1999-09,0.471,
1999-10,0.511,
1999-11,0.618,
1999-12,0.514,
2000-01,0.520,
2000-02,0.533,
2000-03,0.554,
2000-04,0.555,
2000-05,0.563,
2000-06,0.639,
2000-07,0.531,
2000-08,0.512,
2000-09,0.542,
2000-10,0.525,
2000-11,0.491,
2000-12,0.478,
2001-01,0.500,
2001-02,0.402,
2001-03,0.495,
2001-04,0.482,
2001-05,0.463,
2001-06,0.477,
2001-07,0.441,
2001-08,0.427,
2001-09,0.525,
2001-10,0.592,
2001-11,0.580,
2001-12,0.797,
2002-01,0.777,
2002-02,0.913,
2002-03,0.559,
2002-04,0.537,
2002-05,0.651,
2002-06,0.575,
2002-07,0.601,
2002-08,0.601,
2002-09,0.656,
2002-10,0.884,
2002-11,0.621,
2002-12,0.640,
2003-01,0.585,
2003-02,0.569,
2003-03,0.635,
2003-04,0.900,
2003-05,0.874,
2003-06,0.911,
2003-07,0.874,
2003-08,0.877,
2003-09,0.866,
2003-10,0.760,
2003-11,0.701,
2003-12,0.648,
2004-01,0.561,
2004-02,0.543,
2004-03,0.671,
2004-04,0.616,
2004-05,0.567,
2004-06,0.599,
2004-07,0.530,
2004-08,0.563,
2004-09,0.550,
2004-10,0.578,
2004-11,0.554,
2004-12,0.531,
2005-01,0.547,
2005-02,0.570,
2005-03,0.664,
2005-04,0.605,
2005-05,0.529,
2005-06,0.603,
2005-07,0.522,
2005-08,0.560,
2005-09,0.580,
2005-10,0.533,
2005-11,0.544,
2005-12,0.561,
2006-01,0.559,
2006-02,0.449,
2006-03,0.506,
2006-04,0.511,
2006-05,0.571,
2006-06,0.551,
2006-07,0.616,
2006-08,0.658,
2006-09,0.634,
2006-10,0.721,
2006-11,0.602,
2006-12,0.661,
2007-01,0.851,
2007-02,0.925,
2007-03,1.559,
2007-04,1.547,
2007-05,1.593,
2007-06,1.665,
2007-07,1.754,
2007-08,1.680,
2007-09,1.751,
2007-10,1.726,
2007-11,1.573,
2007-12,1.689,
2008-01,1.609,
2008-02,1.680,
2008-03,1.650,
2008-04,1.637,
2008-05,1.640,
2008-06,1.667,
2008-07,1.655,
2008-08,1.549,
2008-09,1.630,
2008-10,1.831,
2008-11,1.906,
2008-12,1.286,
2009-01,1.292,
2009-02,1.303,
2009-03,1.347,
2009-04,1.440,
2009-05,1.765,
2009-06,1.705,
2009-07,1.763,
2009-08,1.826,
2009-09,1.823,
2009-10,1.832,
2009-11,1.955,
2009-12,1.586,
2010-01,1.732,
2010-02,1.821,
2010-03,1.532,
2010-04,2.075,
2010-05,2.507,
2010-06,2.614,
2010-07,2.479,
2010-08,2.588,
2010-09,2.549,
2010-10,2.192,
2010-11,2.334,
2010-12,2.258,
2011-01,2.234,
2011-02,2.150,
2011-03,2.011,
2011-04,2.057,
2011-05,2.297,
2011-06,2.056,
2011-07,2.049,
2011-08,2.091,
2011-09,2.148,
2011-10,2.283,
2011-11,2.392,
2011-12,2.644,
2012-01,2.725,
2012-02,2.636,
2012-03,2.575,
2012-04,2.397,
2012-05,2.609,
2012-06,2.684,
2012-07,2.980,
2012-08,2.934,
2012-09,2.841,
2012-10,2.831,
2012-11,2.781,
2012-12,2.746,
2013-01,2.737,
2013-02,2.830,
2013-03,2.777,
2013-04,2.799,
2013-05,2.689,
2013-06,2.747,
2013-07,2.722,
2013-08,2.718,
2013-09,2.848,
2013-10,2.927,
2013-11,3.205,
2013-12,3.149,
2014-01,2.874,
2014-02,4.092,
2014-03,3.077,
2014-04,3.141,
2014-05,3.383,
2014-06,3.545,
2014-07,3.548,
2014-08,3.570,
2014-09,3.672,
2014-10,3.866,
2014-11,3.655,
2014-12,4.269,
