"",BBDA1.M.DE.N.EX.S.A.ESXES1.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.ESXES1.A.V.ABA.A_FLAGS
2011-04,2806746,
2011-05,3133434,
2011-06,3056515,
2011-07,2839877,
2011-08,2369223,
2011-09,3053224,
2011-10,2904694,
2011-11,3074689,
2011-12,2376434,
2012-01,2741687,
2012-02,2823021,
2012-03,2900736,
2012-04,2534951,
2012-05,2742037,
2012-06,2704343,
2012-07,2557465,
2012-08,2088062,
2012-09,2456194,
2012-10,2715148,
2012-11,2645384,
2012-12,2138422,
2013-01,2695253,
2013-02,2584910,
2013-03,2638438,
2013-04,2576021,
2013-05,2785005,
2013-06,2784038,
2013-07,2652223,
2013-08,2020794,
2013-09,2624994,
2013-10,2939539,
2013-11,2738887,
2013-12,2308735,
2014-01,2937175,
2014-02,2972515,
2014-03,2875717,
2014-04,2793354,
2014-05,2967754,
2014-06,2972889,
2014-07,2956305,
2014-08,2269383,
2014-09,3028794,
2014-10,3294595,
2014-11,3021180,
2014-12,2845473,
