"",BBDA1.M.DE.N.IM.S.A.W1.A.V.ABA.L,BBDA1.M.DE.N.IM.S.A.W1.A.V.ABA.L_FLAGS
1965-02,2.55,
1965-03,3.05,
1965-04,2.85,
1965-05,3.03,
1965-06,3.04,
1965-07,3.09,
1965-08,2.81,
1965-09,3.15,
1965-10,3.20,
1965-11,3.24,
1965-12,3.28,
1966-01,2.96,
1966-02,2.86,
1966-03,3.45,
1966-04,3.02,
1966-05,3.15,
1966-06,3.16,
1966-07,3.02,
1966-08,2.96,
1966-09,3.03,
1966-10,3.29,
1966-11,3.13,
1966-12,3.13,
1967-01,2.85,
1967-02,2.61,
1967-03,2.95,
1967-04,2.87,
1967-05,2.87,
1967-06,3.19,
1967-07,2.87,
1967-08,2.88,
1967-09,2.89,
1967-10,3.23,
1967-11,3.30,
1967-12,3.38,
1968-01,3.18,
1968-02,3.14,
1968-03,3.39,
1968-04,3.37,
1968-05,3.46,
1968-06,3.09,
1968-07,3.75,
1968-08,3.31,
1968-09,3.43,
1968-10,4.01,
1968-11,3.68,
1968-12,3.69,
1969-01,3.97,
1969-02,3.50,
1969-03,4.20,
1969-04,4.25,
1969-05,4.14,
1969-06,4.18,
1969-07,4.39,
1969-08,3.82,
1969-09,4.35,
1969-10,4.87,
1969-11,4.17,
1969-12,4.25,
1970-01,4.40,
1970-02,4.14,
1970-03,4.63,
1970-04,4.93,
1970-05,4.40,
1970-06,4.89,
1970-07,4.75,
1970-08,4.13,
1970-09,4.71,
1970-10,5.03,
1970-11,4.98,
1970-12,5.05,
1971-01,4.45,
1971-02,5.00,
1971-03,5.62,
1971-04,5.25,
1971-05,4.96,
1971-06,5.39,
1971-07,5.32,
1971-08,4.60,
1971-09,5.00,
1971-10,5.26,
1971-11,5.17,
1971-12,5.39,
1972-01,4.77,
1972-02,5.18,
1972-03,5.75,
1972-04,5.29,
1972-05,5.71,
1972-06,5.73,
1972-07,5.12,
1972-08,5.13,
1972-09,5.36,
1972-10,6.03,
1972-11,5.97,
1972-12,5.79,
1973-01,5.99,
1973-02,6.03,
1973-03,6.31,
1973-04,5.94,
1973-05,6.67,
1973-06,6.15,
1973-07,5.92,
1973-08,5.52,
1973-09,5.69,
1973-10,7.14,
1973-11,6.85,
1973-12,6.15,
1974-01,7.13,
1974-02,6.32,
1974-03,7.72,
1974-04,7.55,
1974-05,8.22,
1974-06,7.33,
1974-07,8.16,
1974-08,7.69,
1974-09,7.54,
1974-10,8.57,
1974-11,8.05,
1974-12,7.60,
1975-01,7.05,
1975-02,7.29,
1975-03,7.20,
1975-04,8.63,
1975-05,7.28,
1975-06,7.87,
1975-07,7.84,
1975-08,7.02,
1975-09,8.02,
1975-10,9.02,
1975-11,8.14,
1975-12,8.87,
1976-01,8.18,
1976-02,8.68,
1976-03,9.71,
1976-04,9.53,
1976-05,9.24,
1976-06,9.52,
1976-07,9.61,
1976-08,9.24,
1976-09,9.42,
1976-10,9.88,
1976-11,9.84,
1976-12,10.76,
1977-01,9.11,
1977-02,9.34,
1977-03,11.06,
1977-04,9.70,
1977-05,9.78,
1977-06,10.45,
1977-07,9.93,
1977-08,9.41,
1977-09,9.99,
1977-10,10.19,
1977-11,10.43,
1977-12,10.84,
1978-01,9.91,
1978-02,9.57,
1978-03,10.41,
1978-04,10.57,
1978-05,9.94,
1978-06,11.07,
1978-07,10.05,
1978-08,9.63,
1978-09,10.28,
1978-10,11.18,
1978-11,11.17,
1978-12,10.83,
1979-01,10.76,
1979-02,10.65,
1979-03,12.57,
1979-04,11.56,
1979-05,12.78,
1979-06,12.29,
1979-07,13.24,
1979-08,12.13,
1979-09,11.90,
1979-10,14.39,
1979-11,13.91,
1979-12,13.16,
1980-01,14.13,
1980-02,14.90,
1980-03,14.98,
1980-04,14.85,
1980-05,14.63,
1980-06,14.42,
1980-07,14.92,
1980-08,12.46,
1980-09,14.25,
1980-10,15.51,
1980-11,14.54,
1980-12,14.96,
1981-01,14.41,
1981-02,14.97,
1981-03,17.34,
1981-04,15.48,
1981-05,15.18,
1981-06,15.66,
1981-07,16.66,
1981-08,14.41,
1981-09,15.81,
1981-10,16.60,
1981-11,16.48,
1981-12,15.75,
1982-01,15.49,
1982-02,15.76,
1982-03,18.07,
1982-04,16.90,
1982-05,15.63,
1982-06,16.06,
1982-07,15.72,
1982-08,14.31,
1982-09,15.83,
1982-10,16.30,
1982-11,16.25,
1982-12,16.17,
1983-01,15.15,
1983-02,15.04,
1983-03,17.70,
1983-04,15.92,
1983-05,16.29,
1983-06,16.83,
1983-07,15.86,
1983-08,15.28,
1983-09,17.48,
1983-10,17.08,
1983-11,18.09,
1983-12,18.78,
1984-01,17.71,
1984-02,18.57,
1984-03,19.33,
1984-04,18.24,
1984-05,18.75,
1984-06,17.46,
1984-07,18.65,
1984-08,17.47,
1984-09,18.01,
1984-10,19.96,
1984-11,19.43,
1984-12,18.46,
1985-01,20.22,
1985-02,19.52,
1985-03,21.73,
1985-04,20.20,
1985-05,20.16,
1985-06,18.71,
1985-07,21.02,
1985-08,18.21,
1985-09,18.65,
1985-10,20.75,
1985-11,19.01,
1985-12,18.96,
1986-01,18.78,
1986-02,18.28,
1986-03,18.03,
1986-04,20.40,
1986-05,16.61,
1986-06,17.63,
1986-07,17.63,
1986-08,14.31,
1986-09,17.40,
1986-10,19.19,
1986-11,16.36,
1986-12,16.92,
1987-01,15.56,
1987-02,16.42,
1987-03,18.88,
1987-04,18.02,
1987-05,16.75,
1987-06,17.27,
1987-07,18.21,
1987-08,15.14,
1987-09,17.53,
1987-10,19.77,
1987-11,17.75,
1987-12,18.15,
1988-01,14.20,
1988-02,17.23,
1988-03,21.20,
1988-04,17.30,
1988-05,19.05,
1988-06,18.45,
1988-07,18.42,
1988-08,17.85,
1988-09,18.52,
1988-10,21.78,
1988-11,19.48,
1988-12,21.28,
1989-01,19.74,
1989-02,20.07,
1989-03,21.62,
1989-04,22.28,
1989-05,20.68,
1989-06,23.98,
1989-07,20.98,
1989-08,19.71,
1989-09,20.72,
1989-10,24.54,
1989-11,22.72,
1989-12,21.90,
1990-01,22.03,
1990-02,21.17,
1990-03,24.31,
1990-04,22.92,
1990-05,22.36,
1990-06,21.66,
1990-07,23.83,
1990-08,22.76,
1990-09,22.83,
1990-10,27.68,
1990-11,28.16,
1990-12,24.91,
1991-01,28.43,
1991-02,25.43,
1991-03,27.26,
1991-04,28.16,
1991-05,28.24,
1991-06,27.16,
1991-07,29.91,
1991-08,24.82,
1991-09,26.34,
1991-10,29.81,
1991-11,27.90,
1991-12,25.78,
1992-01,27.78,
1992-02,26.97,
1992-03,29.64,
1992-04,29.68,
1992-05,26.02,
1992-06,25.31,
1992-07,29.94,
1992-08,22.00,
1992-09,25.61,
1992-10,28.50,
1992-11,26.54,
1992-12,27.99,
1993-01,22.07,
1993-02,24.43,
1993-03,25.51,
1993-04,25.17,
1993-05,23.25,
1993-06,24.19,
1993-07,24.13,
1993-08,22.75,
1993-09,24.56,
1993-10,24.94,
1993-11,25.41,
1993-12,26.01,
1994-01,23.00,
1994-02,24.34,
1994-03,28.68,
1994-04,25.29,
1994-05,27.03,
1994-06,26.89,
1994-07,26.07,
1994-08,24.71,
1994-09,27.24,
1994-10,27.29,
1994-11,27.70,
1994-12,30.27,
1995-01,25.63,
1995-02,27.53,
1995-03,31.58,
1995-04,26.73,
1995-05,28.78,
1995-06,29.51,
1995-07,27.66,
1995-08,25.56,
1995-09,28.73,
1995-10,29.62,
1995-11,29.14,
1995-12,29.17,
1996-01,29.30,
1996-02,27.88,
1996-03,30.32,
1996-04,29.59,
1996-05,28.49,
1996-06,29.11,
1996-07,30.17,
1996-08,26.06,
1996-09,28.88,
1996-10,32.36,
1996-11,30.65,
1996-12,30.19,
1997-01,30.83,
1997-02,30.66,
1997-03,31.52,
1997-04,32.73,
1997-05,31.89,
1997-06,33.63,
1997-07,34.77,
1997-08,29.99,
1997-09,33.55,
1997-10,36.87,
1997-11,34.73,
1997-12,33.64,
1998-01,35.11,
1998-02,33.76,
1998-03,36.61,
1998-04,37.59,
1998-05,32.85,
1998-06,36.96,
1998-07,37.00,
1998-08,31.62,
1998-09,34.04,
1998-10,37.15,
1998-11,34.66,
1998-12,36.10,
1999-01,31.69,
1999-02,33.76,
1999-03,38.12,
1999-04,36.16,
1999-05,36.68,
1999-06,37.99,
1999-07,37.36,
1999-08,35.73,
1999-09,37.41,
1999-10,39.04,
1999-11,41.25,
1999-12,39.60,
2000-01,38.92,
2000-02,39.32,
2000-03,46.03,
2000-04,39.97,
2000-05,47.69,
2000-06,43.00,
2000-07,43.85,
2000-08,44.30,
2000-09,44.74,
2000-10,50.02,
2000-11,52.09,
2000-12,48.37,
2001-01,46.22,
2001-02,44.91,
2001-03,46.42,
2001-04,46.70,
2001-05,46.45,
2001-06,45.96,
2001-07,45.92,
2001-08,42.59,
2001-09,42.57,
2001-10,47.59,
2001-11,47.52,
2001-12,39.93,
2002-01,39.81,
2002-02,41.26,
2002-03,42.32,
2002-04,46.01,
2002-05,40.07,
2002-06,45.37,
2002-07,42.63,
2002-08,41.27,
2002-09,43.35,
2002-10,47.37,
2002-11,46.61,
2002-12,42.46,
2003-01,44.29,
2003-02,43.31,
2003-03,46.08,
2003-04,44.77,
2003-05,44.09,
2003-06,43.95,
2003-07,44.13,
2003-08,39.70,
2003-09,44.05,
2003-10,47.42,
2003-11,48.63,
2003-12,44.12,
2004-01,42.98,
2004-02,44.26,
2004-03,48.21,
2004-04,47.22,
2004-05,46.37,
2004-06,47.88,
2004-07,48.63,
2004-08,45.03,
2004-09,49.62,
2004-10,51.67,
2004-11,54.71,
2004-12,48.87,
2005-01,47.24,
2005-02,46.14,
2005-03,48.95,
2005-04,52.13,
2005-05,51.63,
2005-06,52.42,
2005-07,50.96,
2005-08,51.03,
2005-09,54.49,
2005-10,56.80,
2005-11,58.57,
2005-12,57.72,
2006-01,55.90,
2006-02,57.15,
2006-03,62.29,
2006-04,58.80,
2006-05,60.22,
2006-06,61.11,
2006-07,60.20,
2006-08,58.14,
2006-09,63.93,
2006-10,66.70,
2006-11,66.93,
2006-12,62.62,
2007-01,60.90,
2007-02,63.35,
2007-03,65.40,
2007-04,63.63,
2007-05,61.68,
2007-06,65.02,
2007-07,63.31,
2007-08,63.22,
2007-09,63.26,
2007-10,69.63,
2007-11,67.96,
2007-12,62.53,
2008-01,66.26,
2008-02,66.41,
2008-03,65.99,
2008-04,69.72,
2008-05,65.36,
2008-06,67.60,
2008-07,71.93,
2008-08,64.05,
2008-09,71.00,
2008-10,72.04,
2008-11,66.12,
2008-12,59.37,
2009-01,56.15,
2009-02,55.02,
2009-03,58.76,
2009-04,54.34,
2009-05,50.33,
2009-06,53.17,
2009-07,54.99,
2009-08,51.09,
2009-09,59.41,
2009-10,59.99,
2009-11,56.33,
2009-12,55.03,
2010-01,55.08,
2010-02,56.77,
2010-03,69.34,
2010-04,62.19,
2010-05,66.05,
2010-06,71.20,
2010-07,68.38,
2010-08,64.94,
2010-09,69.50,
2010-10,71.48,
2010-11,73.74,
2010-12,68.43,
2011-01,69.39,
2011-02,72.45,
2011-03,79.79,
2011-04,73.67,
2011-05,77.52,
2011-06,75.19,
2011-07,75.02,
2011-08,73.52,
2011-09,77.65,
2011-10,78.05,
2011-11,77.99,
2011-12,72.29,
2012-01,72.59,
2012-02,75.81,
2012-03,81.45,
2012-04,72.88,
2012-05,76.96,
2012-06,76.26,
2012-07,76.16,
2012-08,73.41,
2012-09,74.50,
2012-10,82.47,
2012-11,76.81,
2012-12,66.64,
2013-01,75.09,
2013-02,71.90,
2013-03,75.83,
2013-04,76.06,
2013-05,74.69,
2013-06,75.38,
2013-07,76.90,
2013-08,71.73,
2013-09,74.36,
2013-10,81.24,
2013-11,76.66,
2013-12,68.32,
2014-01,75.77,
2014-02,75.92,
2014-03,78.92,
2014-04,76.16,
2014-05,74.14,
2014-06,77.00,
2014-07,77.34,
2014-08,70.01,
2014-09,80.28,
2014-10,81.86,
2014-11,78.09,
2014-12,71.15,
