"",BBFB1.M.N.DE.W1.S12T.S1.T.A.FA.O.F2.T._T.N.N,BBFB1.M.N.DE.W1.S12T.S1.T.A.FA.O.F2.T._T.N.N_FLAGS
2005-11,1265.325,
2005-12,-58933.430,
2006-01,32764.891,
2006-02,20570.868,
2006-03,30349.031,
2006-04,-15161.186,
2006-05,1332.034,
2006-06,39081.063,
2006-07,-33730.603,
2006-08,-7693.191,
2006-09,18073.604,
2006-10,-17444.741,
2006-11,11603.692,
2006-12,29361.553,
2007-01,-12485.455,
2007-02,19268.472,
2007-03,2331.815,
2007-04,29309.942,
2007-05,-2656.292,
2007-06,22529.905,
2007-07,911.230,
2007-08,-7821.470,
2007-09,40401.782,
2007-10,-15482.594,
2007-11,9331.276,
2007-12,-13056.427,
2008-01,11544.472,
2008-02,-7568.946,
2008-03,13675.467,
2008-04,15993.786,
2008-05,-24543.565,
2008-06,-10366.361,
2008-07,-25051.841,
2008-08,-21386.325,
2008-09,53260.244,
2008-10,20057.025,
2008-11,-46306.487,
2008-12,-21635.574,
2009-01,-37813.190,
2009-02,-12043.688,
2009-03,-37850.650,
2009-04,25600.828,
2009-05,-14740.424,
2009-06,-38796.453,
2009-07,-12694.548,
2009-08,9396.887,
2009-09,-35798.906,
2009-10,30055.788,
2009-11,1954.843,
2009-12,692.349,
2010-01,-644.765,
2010-02,-9337.585,
2010-03,-1895.132,
2010-04,39206.272,
2010-05,34847.676,
2010-06,-49240.367,
2010-07,6964.987,
2010-08,25959.279,
2010-09,-33028.680,
2010-10,-59997.870,
2010-11,7924.866,
2010-12,-10358.644,
2011-01,3845.308,
2011-02,4108.293,
2011-03,-39125.371,
2011-04,48948.994,
2011-05,-2234.458,
2011-06,-36568.499,
2011-07,-6160.470,
2011-08,28872.450,
2011-09,-9166.853,
2011-10,-16608.645,
2011-11,579.635,
2011-12,-27287.614,
2012-01,28809.817,
2012-02,7032.552,
2012-03,-20718.837,
2012-04,5864.290,
2012-05,442.487,
2012-06,-32617.539,
2012-07,13951.662,
2012-08,544.672,
2012-09,6074.934,
2012-10,-3757.053,
2012-11,-17781.384,
2012-12,-14921.629,
2013-01,-4964.284,
2013-02,16055.242,
2013-03,-16487.461,
2013-04,7263.628,
2013-05,-2468.929,
2013-06,6769.542,
2013-07,-21505.775,
2013-08,-7472.531,
2013-09,-6681.492,
2013-10,24036.290,
2013-11,15670.640,
2013-12,-36871.493,
2014-01,36704.816,
2014-02,93.779,Provisional value
2014-03,-14882.904,Provisional value
2014-04,8157.505,Provisional value
2014-05,21443.031,Provisional value
2014-06,8293.016,Provisional value
2014-07,32779.529,Provisional value
2014-08,-10858.252,Provisional value
2014-09,-16749.914,
2014-10,21013.258,
2014-11,29447.311,
2014-12,-31305.339,Provisional value
