"",BBFB1.M.N.DE.W1.S1.S1.T.B.D4P___.O.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.D4P___.O.F._Z._T._X.N_FLAGS
2003-01,-73.124,
2003-02,-133.694,
2003-03,-143.114,
2003-04,-173.725,
2003-05,-184.942,
2003-06,-201.775,
2003-07,-199.253,
2003-08,-199.891,
2003-09,-280.289,
2003-10,-270.133,
2003-11,-274.601,
2003-12,-140.966,
2004-01,40.953,
2004-02,69.797,
2004-03,49.041,
2004-04,136.721,
2004-05,147.614,
2004-06,240.202,
2004-07,272.218,
2004-08,341.483,
2004-09,342.539,
2004-10,402.417,
2004-11,473.831,
2004-12,405.144,
2005-01,362.348,
2005-02,443.918,
2005-03,506.271,
2005-04,497.249,
2005-05,526.542,
2005-06,491.712,
2005-07,601.526,
2005-08,551.986,
2005-09,639.388,
2005-10,776.673,
2005-11,855.086,
2005-12,1008.513,
2006-01,936.363,
2006-02,951.683,
2006-03,988.038,
2006-04,1035.640,
2006-05,1128.483,
2006-06,1184.384,
2006-07,1241.058,
2006-08,1313.898,
2006-09,1337.666,
2006-10,1348.489,
2006-11,1449.551,
2006-12,1476.703,
2007-01,1759.420,
2007-02,1863.197,
2007-03,1935.643,
2007-04,1844.117,
2007-05,1903.946,
2007-06,1964.517,
2007-07,1988.896,
2007-08,1988.818,
2007-09,1997.297,
2007-10,1991.741,
2007-11,2035.192,
2007-12,2178.736,
2008-01,2157.486,
2008-02,2171.887,
2008-03,2148.725,
2008-04,2265.318,
2008-05,2272.085,
2008-06,2204.016,
2008-07,2131.272,
2008-08,2105.308,
2008-09,2044.589,
2008-10,1822.921,
2008-11,1662.610,
2008-12,1509.170,
2009-01,1233.801,
2009-02,1061.072,
2009-03,1005.155,
2009-04,1071.472,
2009-05,986.677,
2009-06,964.595,
2009-07,947.638,
2009-08,927.534,
2009-09,939.565,
2009-10,984.103,
2009-11,976.380,
2009-12,1006.904,
2010-01,1095.252,
2010-02,1111.414,
2010-03,1114.114,
2010-04,1051.289,
2010-05,1010.131,
2010-06,1003.095,
2010-07,944.404,
2010-08,965.436,
2010-09,1011.555,
2010-10,1107.555,
2010-11,1164.618,
2010-12,1189.272,
2011-01,1249.944,
2011-02,1347.370,
2011-03,1386.689,
2011-04,1432.043,
2011-05,1507.302,
2011-06,1524.930,
2011-07,1477.377,
2011-08,1496.314,
2011-09,1560.748,
2011-10,1576.394,
2011-11,1642.970,
2011-12,1652.873,
2012-01,1819.971,
2012-02,1740.181,
2012-03,1731.446,
2012-04,1763.053,
2012-05,1795.906,
2012-06,1797.400,
2012-07,1852.744,
2012-08,1831.314,
2012-09,1753.574,
2012-10,1772.977,
2012-11,1737.293,
2012-12,1712.777,
2013-01,1487.221,
2013-02,1467.948,
2013-03,1407.464,
2013-04,1355.880,
2013-05,1309.466,
2013-06,1212.848,
2013-07,1145.790,
2013-08,1135.721,
2013-09,1120.968,
2013-10,1100.652,
2013-11,1096.339,
2013-12,943.331,
2014-01,1159.757,
2014-02,1191.642,Provisional value
2014-03,1169.717,Provisional value
2014-04,1205.213,Provisional value
2014-05,1164.032,Provisional value
2014-06,1149.339,Provisional value
2014-07,999.291,Provisional value
2014-08,940.266,Provisional value
2014-09,974.618,
2014-10,1170.937,
2014-11,1166.585,
2014-12,1154.343,Provisional value
