"",BBEX3.D.JPY.USD.CA.AA.000,BBEX3.D.JPY.USD.CA.AA.000_FLAGS
1981-06-27,.,No value available
1981-06-28,.,No value available
1981-06-29,224.00,
1981-06-30,225.60,
1981-07-01,226.90,
1981-07-02,226.70,
1981-07-03,225.70,
1981-07-04,.,No value available
1981-07-05,.,No value available
1981-07-06,227.75,
1981-07-07,228.85,
1981-07-08,228.20,
1981-07-09,228.90,
1981-07-10,227.55,
1981-07-11,.,No value available
1981-07-12,.,No value available
1981-07-13,227.10,
1981-07-14,228.60,
1981-07-15,229.35,
1981-07-16,230.45,
1981-07-17,231.20,
1981-07-18,.,No value available
1981-07-19,.,No value available
1981-07-20,232.95,
1981-07-21,232.80,
1981-07-22,233.80,
1981-07-23,234.00,
1981-07-24,234.55,
1981-07-25,.,No value available
1981-07-26,.,No value available
1981-07-27,232.50,
1981-07-28,235.65,
1981-07-29,237.50,
1981-07-30,237.60,
1981-07-31,238.40,
1981-08-01,.,No value available
1981-08-02,.,No value available
1981-08-03,240.70,
1981-08-04,246.40,
1981-08-05,243.70,
1981-08-06,239.10,
1981-08-07,238.00,
1981-08-08,.,No value available
1981-08-09,.,No value available
1981-08-10,235.70,
1981-08-11,235.75,
1981-08-12,234.80,
1981-08-13,229.80,
1981-08-14,232.50,
1981-08-15,.,No value available
1981-08-16,.,No value available
1981-08-17,235.00,
1981-08-18,227.60,
1981-08-19,229.55,
1981-08-20,229.10,
1981-08-21,228.60,
1981-08-22,.,No value available
1981-08-23,.,No value available
1981-08-24,226.00,
1981-08-25,227.90,
1981-08-26,228.90,
1981-08-27,228.90,
1981-08-28,229.45,
1981-08-29,.,No value available
1981-08-30,.,No value available
1981-08-31,227.10,
1981-09-01,230.30,
1981-09-02,229.35,
1981-09-03,228.85,
1981-09-04,228.90,
1981-09-05,.,No value available
1981-09-06,.,No value available
1981-09-07,229.55,
1981-09-08,230.55,
1981-09-09,232.00,
1981-09-10,232.80,
1981-09-11,230.65,
1981-09-12,.,No value available
1981-09-13,.,No value available
1981-09-14,231.05,
1981-09-15,.,No value available
1981-09-16,226.45,
1981-09-17,226.75,
1981-09-18,226.75,
1981-09-19,.,No value available
1981-09-20,.,No value available
1981-09-21,226.35,
1981-09-22,224.60,
1981-09-23,.,No value available
1981-09-24,227.60,
1981-09-25,227.80,
1981-09-26,.,No value available
1981-09-27,.,No value available
1981-09-28,230.05,
1981-09-29,229.80,
1981-09-30,231.70,
1981-10-01,232.40,
1981-10-02,231.80,
1981-10-03,.,No value available
1981-10-04,.,No value available
1981-10-05,227.05,
1981-10-06,227.05,
1981-10-07,229.85,
1981-10-08,228.00,
1981-10-09,227.70,
1981-10-10,.,No value available
1981-10-11,.,No value available
1981-10-12,225.55,
1981-10-13,227.50,
1981-10-14,228.30,
1981-10-15,227.80,
1981-10-16,230.00,
1981-10-17,.,No value available
1981-10-18,.,No value available
1981-10-19,230.65,
1981-10-20,231.50,
1981-10-21,231.85,
1981-10-22,233.05,
1981-10-23,232.50,
1981-10-24,.,No value available
1981-10-25,.,No value available
1981-10-26,232.65,
1981-10-27,235.10,
1981-10-28,234.25,
1981-10-29,234.55,
1981-10-30,233.35,
1981-10-31,.,No value available
1981-11-01,.,No value available
1981-11-02,229.80,
1981-11-03,.,No value available
1981-11-04,227.95,
1981-11-05,226.05,
1981-11-06,228.35,
1981-11-07,.,No value available
1981-11-08,.,No value available
1981-11-09,225.85,
1981-11-10,226.90,
1981-11-11,228.35,
1981-11-12,227.05,
1981-11-13,226.30,
1981-11-14,.,No value available
1981-11-15,.,No value available
1981-11-16,226.10,
1981-11-17,225.20,
1981-11-18,223.30,
1981-11-19,220.55,
1981-11-20,219.95,
1981-11-21,.,No value available
1981-11-22,.,No value available
1981-11-23,.,No value available
1981-11-24,216.00,
1981-11-25,214.25,
1981-11-26,215.35,
1981-11-27,215.50,
1981-11-28,.,No value available
1981-11-29,.,No value available
1981-11-30,214.80,
1981-12-01,213.30,
1981-12-02,214.90,
1981-12-03,214.10,
1981-12-04,214.45,
1981-12-05,.,No value available
1981-12-06,.,No value available
1981-12-07,215.75,
1981-12-08,216.40,
1981-12-09,217.25,
1981-12-10,218.00,
1981-12-11,217.50,
1981-12-12,.,No value available
1981-12-13,.,No value available
1981-12-14,221.90,
1981-12-15,219.15,
1981-12-16,217.15,
1981-12-17,216.80,
1981-12-18,218.60,
1981-12-19,.,No value available
1981-12-20,.,No value available
1981-12-21,219.50,
1981-12-22,219.25,
1981-12-23,218.60,
1981-12-24,221.00,
1981-12-25,220.35,
1981-12-26,.,No value available
1981-12-27,.,No value available
1981-12-28,220.95,
1981-12-29,221.15,
1981-12-30,220.05,
1981-12-31,219.10,
1982-01-01,.,No value available
1982-01-02,.,No value available
1982-01-03,.,No value available
1982-01-04,217.90,
1982-01-05,217.95,
1982-01-06,217.55,
1982-01-07,219.45,
1982-01-08,221.00,
1982-01-09,.,No value available
1982-01-10,.,No value available
1982-01-11,220.80,
1982-01-12,223.40,
1982-01-13,221.40,
1982-01-14,224.00,
1982-01-15,.,No value available
1982-01-16,.,No value available
1982-01-17,.,No value available
1982-01-18,225.50,
1982-01-19,223.65,
1982-01-20,225.35,
1982-01-21,224.40,
1982-01-22,225.15,
1982-01-23,.,No value available
1982-01-24,.,No value available
1982-01-25,227.85,
1982-01-26,228.15,
1982-01-27,227.35,
1982-01-28,229.00,
1982-01-29,229.70,
1982-01-30,.,No value available
1982-01-31,.,No value available
1982-02-01,230.45,
1982-02-02,232.30,
1982-02-03,232.15,
1982-02-04,233.45,
1982-02-05,231.95,
1982-02-06,.,No value available
1982-02-07,.,No value available
1982-02-08,233.50,
1982-02-09,234.25,
1982-02-10,235.00,
1982-02-11,.,No value available
1982-02-12,235.00,
1982-02-13,.,No value available
1982-02-14,.,No value available
1982-02-15,238.60,
1982-02-16,240.35,
1982-02-17,238.80,
1982-02-18,238.95,
1982-02-19,232.65,
1982-02-20,.,No value available
1982-02-21,.,No value available
1982-02-22,228.60,
1982-02-23,230.75,
1982-02-24,232.90,
1982-02-25,233.95,
1982-02-26,236.40,
1982-02-27,.,No value available
1982-02-28,.,No value available
1982-03-01,239.10,
1982-03-02,236.70,
1982-03-03,235.70,
1982-03-04,236.45,
1982-03-05,233.90,
1982-03-06,.,No value available
1982-03-07,.,No value available
1982-03-08,232.40,
1982-03-09,234.85,
1982-03-10,236.85,
1982-03-11,236.35,
1982-03-12,238.95,
1982-03-13,.,No value available
1982-03-14,.,No value available
1982-03-15,238.30,
1982-03-16,239.20,
1982-03-17,240.35,
1982-03-18,240.80,
1982-03-19,242.70,
1982-03-20,.,No value available
1982-03-21,.,No value available
1982-03-22,.,No value available
1982-03-23,244.90,
1982-03-24,242.50,
1982-03-25,243.40,
1982-03-26,244.45,
1982-03-27,.,No value available
1982-03-28,.,No value available
1982-03-29,246.40,
1982-03-30,246.10,
1982-03-31,245.60,
1982-04-01,246.75,
1982-04-02,245.20,
1982-04-03,.,No value available
1982-04-04,.,No value available
1982-04-05,246.55,
1982-04-06,247.85,
1982-04-07,246.55,
1982-04-08,245.60,
1982-04-09,247.60,
1982-04-10,.,No value available
1982-04-11,.,No value available
1982-04-12,247.45,
1982-04-13,246.15,
1982-04-14,246.10,
1982-04-15,246.50,
1982-04-16,247.55,
1982-04-17,.,No value available
1982-04-18,.,No value available
1982-04-19,245.90,
1982-04-20,243.50,
1982-04-21,242.05,
1982-04-22,242.25,
1982-04-23,242.65,
1982-04-24,.,No value available
1982-04-25,.,No value available
1982-04-26,239.05,
1982-04-27,237.40,
1982-04-28,236.00,
1982-04-29,.,No value available
1982-04-30,234.75,
1982-05-01,.,No value available
1982-05-02,.,No value available
1982-05-03,.,No value available
1982-05-04,236.65,
1982-05-05,.,No value available
1982-05-06,233.20,
1982-05-07,231.20,
1982-05-08,.,No value available
1982-05-09,.,No value available
1982-05-10,232.45,
1982-05-11,233.20,
1982-05-12,231.00,
1982-05-13,233.65,
1982-05-14,235.20,
1982-05-15,.,No value available
1982-05-16,.,No value available
1982-05-17,233.15,
1982-05-18,236.55,
1982-05-19,236.50,
1982-05-20,238.25,
1982-05-21,236.20,
1982-05-22,.,No value available
1982-05-23,.,No value available
1982-05-24,237.10,
1982-05-25,237.45,
1982-05-26,239.50,
1982-05-27,240.35,
1982-05-28,241.65,
1982-05-29,.,No value available
1982-05-30,.,No value available
1982-05-31,242.50,
1982-06-01,243.00,
1982-06-02,243.00,
1982-06-03,242.10,
1982-06-04,242.45,
1982-06-05,.,No value available
1982-06-06,.,No value available
1982-06-07,245.40,
1982-06-08,244.60,
1982-06-09,247.15,
1982-06-10,247.35,
1982-06-11,246.90,
1982-06-12,.,No value available
1982-06-13,.,No value available
1982-06-14,248.25,
1982-06-15,249.65,
1982-06-16,250.40,
1982-06-17,253.45,
1982-06-18,255.75,
1982-06-19,.,No value available
1982-06-20,.,No value available
1982-06-21,256.65,
1982-06-22,254.85,
1982-06-23,254.75,
1982-06-24,252.75,
1982-06-25,256.25,
1982-06-26,.,No value available
1982-06-27,.,No value available
1982-06-28,256.55,
1982-06-29,257.05,
1982-06-30,253.60,
1982-07-01,256.70,
1982-07-02,254.30,
1982-07-03,.,No value available
1982-07-04,.,No value available
1982-07-05,254.45,
1982-07-06,255.80,
1982-07-07,257.55,
1982-07-08,257.80,
1982-07-09,255.70,
1982-07-10,.,No value available
1982-07-11,.,No value available
1982-07-12,252.30,
1982-07-13,254.55,
1982-07-14,256.45,
1982-07-15,255.25,
1982-07-16,255.50,
1982-07-17,.,No value available
1982-07-18,.,No value available
1982-07-19,251.60,
1982-07-20,253.60,
1982-07-21,253.15,
1982-07-22,252.30,
1982-07-23,250.75,
1982-07-24,.,No value available
1982-07-25,.,No value available
1982-07-26,249.05,
1982-07-27,251.45,
1982-07-28,251.70,
1982-07-29,254.95,
1982-07-30,257.05,
1982-07-31,.,No value available
1982-08-01,.,No value available
1982-08-02,254.85,
1982-08-03,254.50,
1982-08-04,257.15,
1982-08-05,258.10,
1982-08-06,258.85,
1982-08-07,.,No value available
1982-08-08,.,No value available
1982-08-09,260.25,
1982-08-10,261.15,
1982-08-11,263.05,
1982-08-12,262.20,
1982-08-13,261.30,
1982-08-14,.,No value available
1982-08-15,.,No value available
1982-08-16,261.30,
1982-08-17,262.70,
1982-08-18,261.50,
1982-08-19,259.55,
1982-08-20,254.05,
1982-08-21,.,No value available
1982-08-22,.,No value available
1982-08-23,253.20,
1982-08-24,253.10,
1982-08-25,251.55,
1982-08-26,252.40,
1982-08-27,253.70,
1982-08-28,.,No value available
1982-08-29,.,No value available
1982-08-30,257.40,
1982-08-31,260.60,
1982-09-01,259.15,
1982-09-02,257.55,
1982-09-03,254.90,
1982-09-04,.,No value available
1982-09-05,.,No value available
1982-09-06,257.35,
1982-09-07,257.55,
1982-09-08,.,No value available
1982-09-09,257.80,
1982-09-10,258.95,
1982-09-11,.,No value available
1982-09-12,.,No value available
1982-09-13,262.85,
1982-09-14,262.15,
1982-09-15,.,No value available
1982-09-16,263.60,
1982-09-17,261.85,
1982-09-18,.,No value available
1982-09-19,.,No value available
1982-09-20,262.60,
1982-09-21,263.75,
1982-09-22,263.55,
1982-09-23,.,No value available
1982-09-24,264.50,
1982-09-25,.,No value available
1982-09-26,.,No value available
1982-09-27,266.05,
1982-09-28,268.55,
1982-09-29,267.00,
1982-09-30,268.55,
1982-10-01,268.40,
1982-10-02,.,No value available
1982-10-03,.,No value available
1982-10-04,270.85,
1982-10-05,273.50,
1982-10-06,272.75,
1982-10-07,274.40,
1982-10-08,268.40,
1982-10-09,.,No value available
1982-10-10,.,No value available
1982-10-11,.,No value available
1982-10-12,263.45,
1982-10-13,264.45,
1982-10-14,264.80,
1982-10-15,268.75,
1982-10-16,.,No value available
1982-10-17,.,No value available
1982-10-18,266.70,
1982-10-19,267.80,
1982-10-20,267.85,
1982-10-21,270.15,
1982-10-22,271.20,
1982-10-23,.,No value available
1982-10-24,.,No value available
1982-10-25,274.80,
1982-10-26,275.70,
1982-10-27,273.40,
1982-10-28,274.80,
1982-10-29,276.70,
1982-10-30,.,No value available
1982-10-31,.,No value available
1982-11-01,276.75,
1982-11-02,275.05,
1982-11-03,.,No value available
1982-11-04,276.70,
1982-11-05,276.20,
1982-11-06,.,No value available
1982-11-07,.,No value available
1982-11-08,275.95,
1982-11-09,273.70,
1982-11-10,268.30,
1982-11-11,267.30,
1982-11-12,265.65,
1982-11-13,.,No value available
1982-11-14,.,No value available
1982-11-15,267.75,
1982-11-16,267.80,
1982-11-17,262.55,
1982-11-18,262.60,
1982-11-19,259.45,
1982-11-20,.,No value available
1982-11-21,.,No value available
1982-11-22,256.05,
1982-11-23,.,No value available
1982-11-24,255.60,
1982-11-25,246.90,
1982-11-26,248.55,
1982-11-27,.,No value available
1982-11-28,.,No value available
1982-11-29,247.80,
1982-11-30,251.35,
1982-12-01,248.30,
1982-12-02,249.90,
1982-12-03,246.55,
1982-12-04,.,No value available
1982-12-05,.,No value available
1982-12-06,246.40,
1982-12-07,242.55,
1982-12-08,240.60,
1982-12-09,241.80,
1982-12-10,242.95,
1982-12-11,.,No value available
1982-12-12,.,No value available
1982-12-13,244.00,
1982-12-14,244.90,
1982-12-15,244.25,
1982-12-16,243.95,
1982-12-17,242.80,
1982-12-18,.,No value available
1982-12-19,.,No value available
1982-12-20,244.40,
1982-12-21,244.00,
1982-12-22,240.50,
1982-12-23,239.45,
1982-12-24,237.35,
1982-12-25,.,No value available
1982-12-26,.,No value available
1982-12-27,237.35,
1982-12-28,235.85,
1982-12-29,232.65,
1982-12-30,232.70,
1982-12-31,234.75,
1983-01-01,.,No value available
1983-01-02,.,No value available
1983-01-03,.,No value available
1983-01-04,228.60,
1983-01-05,227.80,
1983-01-06,228.10,
1983-01-07,230.05,
1983-01-08,.,No value available
1983-01-09,.,No value available
1983-01-10,228.10,
1983-01-11,226.35,
1983-01-12,229.70,
1983-01-13,227.55,
1983-01-14,229.40,
1983-01-15,.,No value available
1983-01-16,.,No value available
1983-01-17,230.40,
1983-01-18,229.95,
1983-01-19,231.75,
1983-01-20,236.00,
1983-01-21,233.25,
1983-01-22,.,No value available
1983-01-23,.,No value available
1983-01-24,238.10,
1983-01-25,238.65,
1983-01-26,235.15,
1983-01-27,237.00,
1983-01-28,236.40,
1983-01-29,.,No value available
1983-01-30,.,No value available
1983-01-31,237.00,
1983-02-01,240.20,
1983-02-02,239.55,
1983-02-03,238.20,
1983-02-04,239.25,
1983-02-05,.,No value available
1983-02-06,.,No value available
1983-02-07,239.80,
1983-02-08,236.50,
1983-02-09,237.30,
1983-02-10,235.25,
1983-02-11,.,No value available
1983-02-12,.,No value available
1983-02-13,.,No value available
1983-02-14,234.70,
1983-02-15,233.00,
1983-02-16,232.95,
1983-02-17,230.65,
1983-02-18,232.35,
1983-02-19,.,No value available
1983-02-20,.,No value available
1983-02-21,231.60,
1983-02-22,231.45,
1983-02-23,234.25,
1983-02-24,233.75,
1983-02-25,234.60,
1983-02-26,.,No value available
1983-02-27,.,No value available
1983-02-28,234.40,
1983-03-01,238.00,
1983-03-02,237.25,
1983-03-03,235.50,
1983-03-04,235.25,
1983-03-05,.,No value available
1983-03-06,.,No value available
1983-03-07,233.95,
1983-03-08,234.90,
1983-03-09,238.30,
1983-03-10,236.35,
1983-03-11,236.25,
1983-03-12,.,No value available
1983-03-13,.,No value available
1983-03-14,238.35,
1983-03-15,235.30,
1983-03-16,236.75,
1983-03-17,235.65,
1983-03-18,237.95,
1983-03-19,.,No value available
1983-03-20,.,No value available
1983-03-21,.,No value available
1983-03-22,240.00,
1983-03-23,238.40,
1983-03-24,236.45,
1983-03-25,235.90,
1983-03-26,.,No value available
1983-03-27,.,No value available
1983-03-28,238.00,
1983-03-29,238.55,
1983-03-30,238.95,
1983-03-31,239.15,
1983-04-01,237.95,
1983-04-02,.,No value available
1983-04-03,.,No value available
1983-04-04,238.40,
1983-04-05,237.75,
1983-04-06,236.50,
1983-04-07,236.70,
1983-04-08,237.35,
1983-04-09,.,No value available
1983-04-10,.,No value available
1983-04-11,238.40,
1983-04-12,236.70,
1983-04-13,237.25,
1983-04-14,237.30,
1983-04-15,237.20,
1983-04-16,.,No value available
1983-04-17,.,No value available
1983-04-18,236.45,
1983-04-19,236.95,
1983-04-20,236.30,
1983-04-21,236.10,
1983-04-22,235.65,
1983-04-23,.,No value available
1983-04-24,.,No value available
1983-04-25,235.00,
1983-04-26,235.35,
1983-04-27,236.05,
1983-04-28,236.15,
1983-04-29,.,No value available
1983-04-30,.,No value available
1983-05-01,.,No value available
1983-05-02,237.20,
1983-05-03,.,No value available
1983-05-04,236.00,
1983-05-05,.,No value available
1983-05-06,234.15,
1983-05-07,.,No value available
1983-05-08,.,No value available
1983-05-09,232.80,
1983-05-10,230.80,
1983-05-11,229.80,
1983-05-12,230.20,
1983-05-13,231.40,
1983-05-14,.,No value available
1983-05-15,.,No value available
1983-05-16,233.15,
1983-05-17,232.10,
1983-05-18,231.55,
1983-05-19,233.05,
1983-05-20,233.60,
1983-05-21,.,No value available
1983-05-22,.,No value available
1983-05-23,235.05,
1983-05-24,234.05,
1983-05-25,235.25,
1983-05-26,235.25,
1983-05-27,236.10,
1983-05-28,.,No value available
1983-05-29,.,No value available
1983-05-30,236.65,
1983-05-31,237.40,
1983-06-01,238.60,
1983-06-02,238.80,
1983-06-03,237.40,
1983-06-04,.,No value available
1983-06-05,.,No value available
1983-06-06,239.10,
1983-06-07,238.90,
1983-06-08,240.75,
1983-06-09,241.30,
1983-06-10,242.35,
1983-06-11,.,No value available
1983-06-12,.,No value available
1983-06-13,239.90,
1983-06-14,241.85,
1983-06-15,241.85,
1983-06-16,241.75,
1983-06-17,239.10,
1983-06-18,.,No value available
1983-06-19,.,No value available
1983-06-20,240.25,
1983-06-21,238.35,
1983-06-22,236.35,
1983-06-23,237.50,
1983-06-24,237.25,
1983-06-25,.,No value available
1983-06-26,.,No value available
1983-06-27,235.85,
1983-06-28,238.20,
1983-06-29,238.05,
1983-06-30,238.90,
1983-07-01,238.30,
1983-07-02,.,No value available
1983-07-03,.,No value available
1983-07-04,239.45,
1983-07-05,239.40,
1983-07-06,239.30,
1983-07-07,238.05,
1983-07-08,239.60,
1983-07-09,.,No value available
1983-07-10,.,No value available
1983-07-11,240.55,
1983-07-12,240.55,
1983-07-13,239.70,
1983-07-14,238.75,
1983-07-15,240.25,
1983-07-16,.,No value available
1983-07-17,.,No value available
1983-07-18,239.65,
1983-07-19,239.55,
1983-07-20,238.95,
1983-07-21,237.95,
1983-07-22,238.95,
1983-07-23,.,No value available
1983-07-24,.,No value available
1983-07-25,240.30,
1983-07-26,239.10,
1983-07-27,239.80,
1983-07-28,239.90,
1983-07-29,240.80,
1983-07-30,.,No value available
1983-07-31,.,No value available
1983-08-01,242.45,
1983-08-02,241.40,
1983-08-03,241.40,
1983-08-04,241.80,
1983-08-05,243.40,
1983-08-06,.,No value available
1983-08-07,.,No value available
1983-08-08,243.75,
1983-08-09,243.20,
1983-08-10,244.05,
1983-08-11,244.65,
1983-08-12,245.50,
1983-08-13,.,No value available
1983-08-14,.,No value available
1983-08-15,244.60,
1983-08-16,244.35,
1983-08-17,243.25,
1983-08-18,241.35,
1983-08-19,243.15,
1983-08-20,.,No value available
1983-08-21,.,No value available
1983-08-22,241.95,
1983-08-23,241.40,
1983-08-24,242.75,
1983-08-25,241.95,
1983-08-26,243.35,
1983-08-27,.,No value available
1983-08-28,.,No value available
1983-08-29,245.70,
1983-08-30,245.20,
1983-08-31,245.65,
1983-09-01,245.15,
1983-09-02,246.10,
1983-09-03,.,No value available
1983-09-04,.,No value available
1983-09-05,244.90,
1983-09-06,245.20,
1983-09-07,245.40,
1983-09-08,244.55,
1983-09-09,244.05,
1983-09-10,.,No value available
1983-09-11,.,No value available
1983-09-12,242.10,
1983-09-13,242.70,
1983-09-14,243.25,
1983-09-15,.,No value available
1983-09-16,243.80,
1983-09-17,.,No value available
1983-09-18,.,No value available
1983-09-19,242.10,
1983-09-20,241.15,
1983-09-21,241.35,
1983-09-22,241.75,
1983-09-23,.,No value available
1983-09-24,.,No value available
1983-09-25,.,No value available
1983-09-26,238.00,
1983-09-27,237.10,
1983-09-28,236.00,
1983-09-29,236.30,
1983-09-30,235.75,
1983-10-01,.,No value available
1983-10-02,.,No value available
1983-10-03,233.80,
1983-10-04,232.95,
1983-10-05,230.45,
1983-10-06,231.50,
1983-10-07,232.00,
1983-10-08,.,No value available
1983-10-09,.,No value available
1983-10-10,.,No value available
1983-10-11,231.30,
1983-10-12,232.95,
1983-10-13,233.20,
1983-10-14,232.15,
1983-10-15,.,No value available
1983-10-16,.,No value available
1983-10-17,230.90,
1983-10-18,231.30,
1983-10-19,231.80,
1983-10-20,232.30,
1983-10-21,231.00,
1983-10-22,.,No value available
1983-10-23,.,No value available
1983-10-24,232.95,
1983-10-25,231.90,
1983-10-26,231.30,
1983-10-27,231.65,
1983-10-28,231.90,
1983-10-29,.,No value available
1983-10-30,.,No value available
1983-10-31,232.35,
1983-11-01,233.45,
1983-11-02,233.50,
1983-11-03,.,No value available
1983-11-04,233.70,
1983-11-05,.,No value available
1983-11-06,.,No value available
1983-11-07,235.35,
1983-11-08,235.40,
1983-11-09,235.55,
1983-11-10,234.65,
1983-11-11,233.25,
1983-11-12,.,No value available
1983-11-13,.,No value available
1983-11-14,234.65,
1983-11-15,233.60,
1983-11-16,233.45,
1983-11-17,234.70,
1983-11-18,234.85,
1983-11-19,.,No value available
1983-11-20,.,No value available
1983-11-21,235.25,
1983-11-22,234.25,
1983-11-23,.,No value available
1983-11-24,234.25,
1983-11-25,234.25,
1983-11-26,.,No value available
1983-11-27,.,No value available
1983-11-28,234.30,
1983-11-29,234.20,
1983-11-30,232.95,
1983-12-01,231.65,
1983-12-02,232.35,
1983-12-03,.,No value available
1983-12-04,.,No value available
1983-12-05,233.20,
1983-12-06,233.55,
1983-12-07,232.55,
1983-12-08,232.45,
1983-12-09,233.35,
1983-12-10,.,No value available
1983-12-11,.,No value available
1983-12-12,234.75,
1983-12-13,235.30,
1983-12-14,234.70,
1983-12-15,234.15,
1983-12-16,233.80,
1983-12-17,.,No value available
1983-12-18,.,No value available
1983-12-19,235.00,
1983-12-20,234.70,
1983-12-21,233.70,
1983-12-22,233.55,
1983-12-23,232.80,
1983-12-24,.,No value available
1983-12-25,.,No value available
1983-12-26,232.90,
1983-12-27,232.95,
1983-12-28,232.80,
1983-12-29,232.35,
1983-12-30,231.45,
1983-12-31,.,No value available
1984-01-01,.,No value available
1984-01-02,.,No value available
1984-01-03,.,No value available
1984-01-04,232.50,
1984-01-05,232.20,
1984-01-06,232.40,
1984-01-07,.,No value available
1984-01-08,.,No value available
1984-01-09,231.95,
1984-01-10,232.60,
1984-01-11,233.05,
1984-01-12,233.65,
1984-01-13,233.85,
1984-01-14,.,No value available
1984-01-15,.,No value available
1984-01-16,.,No value available
1984-01-17,232.25,
1984-01-18,233.15,
1984-01-19,232.75,
1984-01-20,232.50,
1984-01-21,.,No value available
1984-01-22,.,No value available
1984-01-23,233.30,
1984-01-24,233.05,
1984-01-25,233.25,
1984-01-26,233.05,
1984-01-27,233.35,
1984-01-28,.,No value available
1984-01-29,.,No value available
1984-01-30,233.30,
