"",BBFB1.M.N.DE.W1.S1.S1.T.LD.FA.P.F3.S._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.LD.FA.P.F3.S._T._X.N_FLAGS
2006-05,38346.211,
2006-06,64753.640,
2006-07,39850.012,
2006-08,51407.358,
2006-09,46534.174,
2006-10,35067.400,
2006-11,34801.296,
2006-12,56534.579,
2007-01,31304.842,
2007-02,36261.628,
2007-03,40685.092,
2007-04,36676.652,
2007-05,38281.272,
2007-06,51460.033,
2007-07,42369.592,
2007-08,45524.753,
2007-09,46896.763,
2007-10,51319.423,
2007-11,43589.300,
2007-12,43252.269,
2008-01,53328.959,
2008-02,56390.103,
2008-03,53969.503,
2008-04,60024.829,
2008-05,63361.463,
2008-06,63419.322,
2008-07,65247.124,
2008-08,52356.416,
2008-09,66013.319,
2008-10,83085.451,
2008-11,58039.594,
2008-12,61670.723,
2009-01,67969.551,
2009-02,59517.384,
2009-03,56814.080,
2009-04,51075.059,
2009-05,43900.499,
2009-06,48555.725,
2009-07,52633.505,
2009-08,106861.837,
2009-09,81618.039,
2009-10,51686.693,
2009-11,96698.210,
2009-12,75496.195,
2010-01,49798.824,
2010-02,50783.002,
2010-03,61977.635,
2010-04,51890.808,
2010-05,61220.808,
2010-06,126409.647,
2010-07,50587.385,
2010-08,58901.270,
2010-09,72650.287,
2010-10,41167.023,
2010-11,47229.358,
2010-12,88807.082,
2011-01,46934.783,
2011-02,42925.979,
2011-03,59972.724,
2011-04,51706.490,
2011-05,59738.195,
2011-06,82047.204,
2011-07,54542.323,
2011-08,75346.983,
2011-09,81158.025,
2011-10,68668.819,
2011-11,84958.130,
2011-12,74918.956,
2012-01,71858.822,
2012-02,66707.308,
2012-03,63483.666,
2012-04,62657.243,
2012-05,61860.154,
2012-06,64836.499,
2012-07,76029.726,
2012-08,70901.571,
2012-09,70954.918,
2012-10,70042.988,
2012-11,68213.264,
2012-12,60319.592,
2013-01,73666.110,
2013-02,74614.579,
2013-03,78946.611,
2013-04,90478.474,
2013-05,84867.761,
2013-06,88147.861,
2013-07,101935.041,
2013-08,85403.373,
2013-09,76464.264,
2013-10,90646.601,
2013-11,99337.090,
2013-12,91462.393,
2014-01,75242.543,
2014-02,83119.400,Provisional value
2014-03,82424.363,Provisional value
2014-04,75457.860,Provisional value
2014-05,78794.654,Provisional value
2014-06,66900.620,Provisional value
2014-07,68394.274,Provisional value
2014-08,79267.527,Provisional value
2014-09,70317.573,
2014-10,47820.597,
2014-11,79072.339,
2014-12,76404.947,Provisional value
