"",BBEX3.M.ISK.USD.CA.AA.A01,BBEX3.M.ISK.USD.CA.AA.A01_FLAGS
1996-02,65.930,
1996-03,66.030,
1996-04,66.990,
1996-05,67.190,
1996-06,66.940,
1996-07,65.720,
1996-08,66.020,
1996-09,67.090,
1996-10,66.180,
1996-11,66.470,
1996-12,66.710,
1997-01,69.340,
1997-02,70.560,
1997-03,70.710,
1997-04,71.280,
1997-05,69.960,
1997-06,70.400,
1997-07,71.800,
1997-08,71.530,
1997-09,71.060,
1997-10,70.910,
1997-11,71.190,
1997-12,71.980,
1998-01,73.110,
1998-02,71.770,
1998-03,72.660,
1998-04,71.400,
1998-05,71.350,
1998-06,71.600,
1998-07,71.280,
1998-08,71.490,
1998-09,69.260,
1998-10,68.930,
1998-11,70.420,
1998-12,69.320,
1999-01,69.710,
1999-02,72.000,
1999-03,72.560,
1999-04,73.340,
1999-05,74.280,
1999-06,74.320,
1999-07,72.670,
1999-08,72.770,
1999-09,71.410,
1999-10,71.140,
1999-11,72.480,
1999-12,72.350,
2000-01,73.400,
2000-02,72.940,
2000-03,73.490,
2000-04,75.400,
2000-05,75.560,
2000-06,76.250,
2000-07,78.410,
2000-08,80.520,
2000-09,82.850,
2000-10,86.890,
2000-11,87.120,
2000-12,84.470,
2001-01,85.540,
2001-02,86.160,
2001-03,91.130,
2001-04,96.380,
2001-05,104.730,
2001-06,104.460,
2001-07,100.050,
2001-08,98.190,
2001-09,101.070,
2001-10,103.440,
2001-11,107.480,
2001-12,102.950,
2002-01,102.890,
2002-02,100.300,
2002-03,99.480,
2002-04,93.800,
2002-05,91.110,
2002-06,86.190,
2002-07,85.390,
2002-08,87.620,
2002-09,86.580,
2002-10,87.260,
2002-11,85.840,
2002-12,80.580,
2003-01,76.800,
2003-02,77.600,
2003-03,76.480,
2003-04,74.990,
2003-05,71.340,
2003-06,76.380,
2003-07,77.430,
2003-08,80.160,
2003-09,75.890,
2003-10,76.130,
2003-11,74.330,
2003-12,71.480,
2004-01,69.480,
2004-02,69.680,
2004-03,72.160,
2004-04,73.560,
2004-05,71.380,
2004-06,72.490,
2004-07,71.430,
2004-08,72.190,
2004-09,70.850,
2004-10,68.920,
2004-11,64.830,
2004-12,61.040,
2005-01,62.170,
2005-02,60.370,
2005-03,60.580,
2005-04,63.120,
2005-05,64.560,
2005-06,65.020,
2005-07,64.650,
2005-08,63.080,
2005-09,61.550,
2005-10,60.900,
2005-11,63.200,
2005-12,62.980,
2006-01,62.280,
2006-02,65.310,
2006-03,70.700,
2006-04,74.540,
2006-05,71.550,
2006-06,76.420,
2006-07,72.580,
2006-08,68.840,
2006-09,69.910,
2006-10,68.080,
2006-11,67.970,
2006-12,71.660,
2007-01,68.240,
2007-02,67.170,
2007-03,65.690,
2007-04,63.990,
2007-05,61.540,
2007-06,62.090,
2007-07,60.860,
2007-08,63.040,
2007-09,61.730,
2007-10,59.780,
2007-11,60.800,
2007-12,61.850,
2008-01,64.890,
2008-02,65.470,
2008-03,76.490,
2008-04,74.380,
2008-05,74.390,
2008-06,79.070,
2008-07,79.120,
2008-08,82.700,
2008-09,101.200,
2008-10,120.050,
2008-11,141.510,
2008-12,120.580,
2009-01,113.600,
2009-02,112.690,
2009-03,122.060,
2009-04,126.950,
2009-05,122.970,
2009-06,126.710,
2009-07,127.750,
2009-08,125.300,
2009-09,123.580,
2009-10,124.010,
2009-11,121.790,
2009-12,124.600,
2010-01,127.370,
2010-02,128.010,
2010-03,127.810,
2010-04,127.370,
2010-05,128.820,
2010-06,127.320,
2010-07,120.210,
2010-08,120.530,
2010-09,113.090,
2010-10,111.840,
2010-11,117.070,
2010-12,114.780,
2011-01,115.810,
2011-02,115.670,
2011-03,113.800,
2011-04,110.600,
2011-05,114.580,
2011-06,114.220,
2011-07,115.730,
2011-08,113.120,
2011-09,117.830,
2011-10,113.510,
2011-11,119.830,
2011-12,122.420,
2012-01,122.550,
2012-02,124.370,
2012-03,126.170,
2012-04,125.550,
2012-05,130.440,
2012-06,125.440,
2012-07,120.740,
2012-08,121.630,
2012-09,123.370,
2012-10,126.690,
2012-11,125.320,
2012-12,128.430,
2013-01,126.450,
2013-02,125.540,
2013-03,124.350,
2013-04,116.710,
2013-05,122.470,
2013-06,123.000,
2013-07,118.990,
2013-08,119.580,
2013-09,120.780,
2013-10,120.040,
2013-11,119.300,
2013-12,114.760,
2014-01,115.580,
2014-02,112.230,
2014-03,112.430,
2014-04,112.000,
2014-05,112.710,
2014-06,112.590,
2014-07,114.890,
2014-08,116.310,
2014-09,120.950,
2014-10,121.590,
2014-11,123.410,
2014-12,126.600,
2015-01,132.620,
"","General: Collapse of banking system and introduction of capital controls in October 2008, see Deutsche Bundesbank, Monthly Report, July 2010, pp 52-53. www.bundesbank.de/Redaktion/EN/Downloads/Publications/Monthly_Report/2010/2010_07_monthly_report.pdf?__blob=publicationFile",
"","Source: Sedlabanki Islands, Reykjavik.",
