"",BBFB1.M.N.DE.W1.S1.S1.T.B.D4P._T.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.D4P._T.F._Z._T._X.N_FLAGS
2007-11,4191.547,
2007-12,5010.794,
2008-01,2337.914,
2008-02,3566.035,
2008-03,3782.337,
2008-04,-1620.717,
2008-05,-3671.824,
2008-06,2730.821,
2008-07,2870.982,
2008-08,3423.583,
2008-09,3918.630,
2008-10,3451.217,
2008-11,3738.820,
2008-12,3589.382,
2009-01,4164.611,
2009-02,5305.292,
2009-03,5779.696,
2009-04,1044.859,
2009-05,-1297.178,
2009-06,5833.886,
2009-07,6030.404,
2009-08,5634.581,
2009-09,5717.598,
2009-10,5824.727,
2009-11,5627.904,
2009-12,5708.501,
2010-01,4825.560,
2010-02,4833.361,
2010-03,5095.410,
2010-04,1344.265,
2010-05,-1721.454,
2010-06,4759.440,
2010-07,4873.662,
2010-08,4718.489,
2010-09,5036.869,
2010-10,4992.432,
2010-11,5427.963,
2010-12,6709.580,
2011-01,4641.674,
2011-02,6266.703,
2011-03,6619.385,
2011-04,3589.630,
2011-05,-3857.908,
2011-06,6738.919,
2011-07,6812.706,
2011-08,6926.966,
2011-09,7163.883,
2011-10,7261.171,
2011-11,6905.939,
2011-12,7266.868,
2012-01,5562.014,
2012-02,6873.399,
2012-03,7103.034,
2012-04,2272.600,
2012-05,158.699,
2012-06,6516.381,
2012-07,6836.120,
2012-08,6854.367,
2012-09,7189.476,
2012-10,7266.631,
2012-11,7063.966,
2012-12,7424.024,
2013-01,5969.381,
2013-02,6664.338,
2013-03,6977.735,
2013-04,2057.202,
2013-05,3141.780,
2013-06,5722.026,
2013-07,6485.320,
2013-08,6290.012,
2013-09,5807.819,
2013-10,6709.951,
2013-11,7098.537,
2013-12,8274.687,
2014-01,5198.040,
2014-02,6300.563,
2014-03,7115.092,
2014-04,4101.423,
2014-05,-1708.157,
2014-06,5189.865,
2014-07,6019.616,
2014-08,6259.557,
2014-09,7583.875,
2014-10,7169.271,
2014-11,7134.142,
2014-12,7048.517,Provisional value
