"",BBK01.TVM303,BBK01.TVM303_FLAGS
1993-01,7.6,
1993-02,7.9,
1993-03,7.9,
1993-04,7.7,
1993-05,7.3,
1993-06,7.0,
1993-07,6.8,
1993-08,6.3,
1993-09,6.1,
1993-10,5.9,
1993-11,6.2,
1993-12,6.3,
1994-01,6.4,
1994-02,6.0,
1994-03,5.6,
1994-04,5.1,
1994-05,4.9,
1994-06,4.8,
1994-07,4.7,
1994-08,4.4,
1994-09,4.0,
1994-10,3.6,
1994-11,3.1,
1994-12,2.6,
1995-01,2.5,
1995-02,2.4,
1995-03,2.3,
1995-04,2.3,
1995-05,2.6,
1995-06,2.9,
1995-07,3.1,
1995-08,3.5,
1995-09,4.0,
1995-10,4.3,
1995-11,4.8,
1995-12,5.3,
1996-01,5.7,
1996-02,5.8,
1996-03,5.9,
1996-04,5.9,
1996-05,5.6,
1996-06,5.4,
1996-07,5.3,
1996-08,5.3,
1996-09,5.1,
1996-10,4.9,
1996-11,4.5,
1996-12,4.2,
1997-01,3.9,
1997-02,3.7,
1997-03,3.6,
1997-04,3.7,
1997-05,4.0,
1997-06,4.4,
1997-07,4.4,
1997-08,4.3,
1997-09,4.3,
1997-10,4.5,
1997-11,4.5,
1997-12,4.7,
1998-01,4.7,
1998-02,4.9,
1998-03,5.2,
1998-04,5.3,
1998-05,5.3,
1998-06,5.1,
1998-07,5.1,
1998-08,5.1,
1998-09,5.1,
1998-10,5.0,
1998-11,5.1,
1998-12,5.4,
1999-01,5.6,
1999-02,5.8,
1999-03,5.5,
1999-04,5.6,
1999-05,5.6,
1999-06,5.7,
1999-07,5.8,
1999-08,5.9,
1999-09,5.7,
1999-10,5.7,
1999-11,5.6,
1999-12,5.5,
2000-01,5.5,
2000-02,5.6,
2000-03,5.9,
2000-04,5.7,
2000-05,5.3,
2000-06,4.7,
2000-07,4.5,
2000-08,4.3,
2000-09,4.3,
2000-10,4.0,
2000-11,4.0,
2000-12,3.9,
2001-01,3.9,
2001-02,3.8,
2001-03,3.8,
2001-04,4.0,
2001-05,4.6,
2001-06,5.2,
2001-07,5.7,
2001-08,6.1,
2001-09,6.7,
2001-10,7.3,
2001-11,7.7,
2001-12,7.9,
2002-01,7.8,
2002-02,7.6,
2002-03,7.4,
2002-04,7.5,
2002-05,7.4,
2002-06,7.3,
2002-07,7.1,
2002-08,7.1,
2002-09,7.0,
2002-10,7.1,
2002-11,7.0,
2002-12,7.2,
2003-01,7.5,
2003-02,7.9,
2003-03,8.5,
2003-04,8.6,
2003-05,8.7,
2003-06,8.7,
2003-07,8.6,
2003-08,8.3,
2003-09,8.0,
2003-10,7.6,
2003-11,7.5,
2003-12,7.0,
2004-01,6.6,
2004-02,6.3,
2004-03,5.9,
2004-04,5.5,
2004-05,5.2,
2004-06,5.2,
2004-07,5.4,
2004-08,5.5,
2004-09,5.7,
2004-10,5.9,
2004-11,6.1,
2004-12,6.5,
2005-01,6.7,
2005-02,6.7,
2005-03,6.6,
2005-04,6.9,
2005-05,7.2,
2005-06,7.6,
2005-07,7.9,
2005-08,8.1,
2005-09,8.1,
2005-10,7.9,
2005-11,7.6,
2005-12,7.4,
2006-01,7.5,
2006-02,7.9,
2006-03,8.3,
2006-04,8.7,
2006-05,8.7,
2006-06,8.3,
2006-07,8.0,
2006-08,8.1,
2006-09,8.3,
2006-10,8.7,
2006-11,9.3,
2006-12,9.9,
2007-01,10.2,
2007-02,10.5,
2007-03,10.5,
2007-04,10.6,
2007-05,10.6,
2007-06,11.2,
2007-07,11.5,
2007-08,11.6,
2007-09,11.8,
2007-10,12.1,
2007-11,12.1,
2007-12,11.9,
2008-01,11.6,
2008-02,11.1,
2008-03,10.7,
2008-04,10.3,
2008-05,10.2,
2008-06,9.7,
2008-07,9.3,
2008-08,8.9,
2008-09,8.7,
2008-10,8.3,
2008-11,8.0,
2008-12,7.1,
2009-01,6.4,
2009-02,5.6,
2009-03,5.2,
2009-04,4.6,
2009-05,4.1,
2009-06,3.5,
2009-07,2.9,
2009-08,2.3,
2009-09,1.5,
2009-10,0.6,
2009-11,0.0,
2009-12,-0.1,
2010-01,-0.1,
2010-02,-0.1,
2010-03,-0.3,
2010-04,-0.2,
2010-05,-0.1,
2010-06,0.0,
2010-07,0.4,
2010-08,0.6,
2010-09,0.9,
2010-10,1.1,
2010-11,1.2,
2010-12,1.3,
2011-01,1.3,
2011-02,1.6,
2011-03,1.6,
2011-04,1.6,
2011-05,1.4,
2011-06,1.4,
2011-07,1.4,
2011-08,1.6,
2011-09,1.6,
2011-10,1.5,
2011-11,1.5,
2011-12,1.7,
2012-01,2.0,
2012-02,2.4,
2012-03,2.6,
2012-04,2.7,
2012-05,2.8,
2012-06,3.1,
2012-07,3.1,
2012-08,3.0,
2012-09,3.1,
2012-10,3.5,
2012-11,3.7,
2012-12,3.6,
2013-01,3.3,
2013-02,3.0,
2013-03,2.9,
2013-04,2.8,
2013-05,2.8,
2013-06,2.5,
2013-07,2.3,
2013-08,2.1,
2013-09,1.9,
2013-10,1.6,
2013-11,1.3,
2013-12,1.2,
2014-01,1.2,
2014-02,1.2,
2014-03,1.1,
2014-04,1.0,
2014-05,1.2,
2014-06,1.5,
2014-07,1.8,
2014-08,2.1,
2014-09,2.3,
2014-10,2.7,
2014-11,3.1,Provisional value
2014-12,.,Value available later
