"",BBFN1.M.DE.N.1.L.W1.S1P.F0.L.BN00.EUR.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.F0.L.BN00.EUR.BGA.X001.D_FLAGS
1990-09,26.746,
1990-10,26.713,
1990-11,26.992,
1990-12,26.782,
1991-01,26.847,
1991-02,27.865,
1991-03,27.997,
1991-04,28.371,
1991-05,28.494,
1991-06,28.870,
1991-07,29.297,
1991-08,29.052,
1991-09,29.256,
1991-10,29.498,
1991-11,29.829,
1991-12,29.991,
1992-01,30.670,
1992-02,30.615,
1992-03,31.043,
1992-04,31.542,
1992-05,31.674,
1992-06,32.120,
1992-07,32.346,
1992-08,32.341,
1992-09,32.942,
1992-10,33.507,
1992-11,34.065,
1992-12,34.930,
1993-01,35.385,
1993-02,36.793,
1993-03,36.857,
1993-04,37.043,
1993-05,37.780,
1993-06,37.886,
1993-07,38.243,
1993-08,38.424,
1993-09,37.980,
1993-10,37.349,
1993-11,37.611,
1993-12,38.253,
1994-01,38.550,
1994-02,38.976,
1994-03,39.853,
1994-04,40.067,
1994-05,40.456,
1994-06,40.441,
1994-07,41.504,
1994-08,42.384,
1994-09,42.537,
1994-10,41.623,
1994-11,41.640,
1994-12,42.907,
1995-01,39.006,
1995-02,38.671,
1995-03,38.525,
1995-04,38.791,
1995-05,39.079,
1995-06,39.455,
1995-07,40.066,
1995-08,40.385,
1995-09,40.920,
1995-10,41.421,
1995-11,41.516,
1995-12,40.283,
1996-01,40.049,
1996-02,40.320,
1996-03,40.077,
1996-04,40.211,
1996-05,40.374,
1996-06,40.102,
1996-07,40.506,
1996-08,40.732,
1996-09,41.587,
1996-10,41.597,
1996-11,41.725,
1996-12,40.477,
1997-01,41.241,
1997-02,41.527,
1997-03,41.379,
1997-04,41.154,
1997-05,40.961,
1997-06,41.042,
1997-07,42.429,
1997-08,42.905,
1997-09,43.754,
1997-10,43.652,
1997-11,43.888,
1997-12,44.176,
1998-01,45.249,
1998-02,47.249,
1998-03,48.077,
1998-04,48.391,
1998-05,48.907,
1998-06,51.655,
1998-07,53.682,
1998-08,54.286,
1998-09,54.220,
1998-10,55.450,
1998-11,55.022,
1998-12,57.317,
1999-01,59.890,
1999-02,60.509,
1999-03,60.930,
1999-04,61.825,
1999-05,66.522,
1999-06,67.517,
1999-07,72.685,
1999-08,74.255,
1999-09,77.288,
1999-10,81.843,
1999-11,83.051,
1999-12,84.749,
2000-01,90.492,
2000-02,90.571,
2000-03,91.061,
2000-04,90.952,
2000-05,93.003,
2000-06,94.661,
2000-07,98.357,
2000-08,97.019,
2000-09,98.202,
2000-10,99.185,
2000-11,102.565,
2000-12,146.718,
2001-01,151.413,
2001-02,155.677,
2001-03,156.543,
2001-04,159.560,
2001-05,161.222,
2001-06,164.936,
2001-07,175.369,
2001-08,184.085,
2001-09,188.965,
2001-10,191.358,
2001-11,195.359,
2001-12,196.428,
2002-01,209.071,
2002-02,210.893,
2002-03,203.501,
2002-04,213.741,
2002-05,231.526,
2002-06,228.044,
2002-07,230.635,
2002-08,233.186,
2002-09,234.913,
2002-10,237.253,
2002-11,243.190,
2002-12,248.664,
2003-01,248.835,
2003-02,252.511,
2003-03,248.499,
2003-04,253.640,
2003-05,255.320,
2003-06,259.404,
2003-07,259.138,
2003-08,260.928,
2003-09,261.682,
2003-10,260.666,
2003-11,261.435,
2003-12,244.395,
2004-01,242.330,
2004-02,219.352,
2004-03,218.000,
2004-04,221.119,
2004-05,224.167,
2004-06,226.876,
2004-07,225.429,
2004-08,224.390,
2004-09,222.150,
2004-10,217.502,
2004-11,212.565,
2004-12,210.232,
2005-01,213.454,
2005-02,218.328,
2005-03,217.776,
2005-04,217.472,
2005-05,219.656,
2005-06,219.449,
2005-07,215.399,
2005-08,215.681,
2005-09,218.614,
2005-10,223.150,
2005-11,224.441,
2005-12,221.219,
2006-01,225.410,
2006-02,229.146,
2006-03,231.375,
2006-04,232.762,
2006-05,234.616,
2006-06,242.046,
2006-07,242.883,
2006-08,243.602,
2006-09,241.455,
2006-10,242.524,
2006-11,246.329,
2006-12,244.797,
2007-01,247.232,
2007-02,244.655,
2007-03,244.419,
2007-04,246.495,
2007-05,244.842,
2007-06,244.714,
2007-07,243.818,
2007-08,248.375,
2007-09,248.817,
2007-10,251.641,
2007-11,249.539,
2007-12,248.369,
2008-01,253.061,
2008-02,259.887,
2008-03,263.519,
2008-04,268.021,
2008-05,272.993,
2008-06,271.575,
2008-07,273.025,
2008-08,274.198,
2008-09,280.462,
2008-10,284.247,
2008-11,288.688,
2008-12,294.627,
2009-01,304.513,
2009-02,316.274,
2009-03,314.362,
2009-04,316.285,
2009-05,322.335,
2009-06,322.647,
2009-07,326.143,
2009-08,332.357,
2009-09,328.544,
2009-10,327.625,
2009-11,328.694,
2009-12,331.803,
2010-01,336.747,
2010-02,336.923,
2010-03,340.828,
2010-04,343.067,
2010-05,345.790,
2010-06,344.267,
2010-07,350.636,
2010-08,351.034,
2010-09,350.989,
2010-10,350.578,
2010-11,352.646,
2010-12,364.595,
2011-01,364.765,
2011-02,362.420,
2011-03,367.414,
2011-04,365.189,
2011-05,368.434,
2011-06,365.471,
2011-07,368.487,
2011-08,368.462,
2011-09,366.264,
2011-10,366.573,
2011-11,362.528,
2011-12,362.072,
2012-01,363.567,
2012-02,363.515,
2012-03,365.736,
2012-04,369.690,
2012-05,369.235,
2012-06,372.541,
2012-07,371.321,
2012-08,374.493,
2012-09,374.034,
2012-10,371.250,
2012-11,375.369,
2012-12,365.553,
2013-01,369.224,
2013-02,367.254,
2013-03,372.863,
2013-04,385.772,
2013-05,385.747,
2013-06,383.123,
2013-07,386.405,
2013-08,386.229,
2013-09,393.976,
2013-10,398.699,
2013-11,394.919,
2013-12,395.325,
2014-01,383.153,
2014-02,384.109,
2014-03,387.639,
2014-04,388.545,
2014-05,390.937,
2014-06,395.560,
2014-07,395.710,
2014-08,395.052,
2014-09,392.745,
2014-10,392.747,
2014-11,395.377,
2014-12,390.485,
"","General: From January 1999, including national currencies of the euro-area member states.",
