"",BBDE1.M.DE.W.AEA1.A2P300000.F.V.I10.A,BBDE1.M.DE.W.AEA1.A2P300000.F.V.I10.A_FLAGS
1999-05,65.7,
1999-06,70.2,
1999-07,69.9,
1999-08,67.1,
1999-09,74.4,
1999-10,73.6,
1999-11,74.9,
1999-12,69.9,
2000-01,71.8,
2000-02,76.4,
2000-03,85.5,
2000-04,78.8,
2000-05,77.9,
2000-06,82.5,
2000-07,81.7,
2000-08,75.5,
2000-09,84.5,
2000-10,83.9,
2000-11,84.0,
2000-12,79.7,
2001-01,80.8,
2001-02,81.9,
2001-03,88.4,
2001-04,77.9,
2001-05,78.7,
2001-06,81.9,
2001-07,78.6,
2001-08,72.7,
2001-09,78.6,
2001-10,76.5,
2001-11,76.4,
2001-12,75.4,
2002-01,77.2,
2002-02,77.2,
2002-03,85.8,
2002-04,78.4,
2002-05,79.3,
2002-06,81.3,
2002-07,79.3,
2002-08,74.1,
2002-09,82.0,
2002-10,80.5,
2002-11,81.8,
2002-12,73.9,
2003-01,80.4,
2003-02,80.8,
2003-03,85.6,
2003-04,78.4,
2003-05,75.3,
2003-06,80.8,
2003-07,78.9,
2003-08,72.3,
2003-09,82.7,
2003-10,82.5,
2003-11,82.9,
2003-12,79.7,
2004-01,82.1,
2004-02,82.9,
2004-03,91.7,
2004-04,85.0,
2004-05,84.4,
2004-06,86.2,
2004-07,86.3,
2004-08,77.5,
2004-09,88.1,
2004-10,87.3,
2004-11,85.9,
2004-12,87.8,
2005-01,87.4,
2005-02,86.4,
2005-03,96.0,
2005-04,85.9,
2005-05,85.9,
2005-06,92.8,
2005-07,92.6,
2005-08,82.8,
2005-09,95.6,
2005-10,95.8,
2005-11,98.2,
2005-12,92.7,
2006-01,96.4,
2006-02,97.4,
2006-03,105.2,
2006-04,98.1,
2006-05,98.6,
2006-06,101.6,
2006-07,102.1,
2006-08,96.3,
2006-09,105.6,
2006-10,104.5,
2006-11,106.3,
2006-12,101.0,
2007-01,106.3,
2007-02,109.8,
2007-03,119.5,
2007-04,107.1,
2007-05,110.7,
2007-06,119.5,
2007-07,110.7,
2007-08,101.9,
2007-09,112.4,
2007-10,116.4,
2007-11,120.8,
2007-12,112.7,
2008-01,114.3,
2008-02,115.5,
2008-03,123.5,
2008-04,113.3,
2008-05,110.8,
2008-06,111.2,
2008-07,108.0,
2008-08,101.2,
2008-09,104.0,
2008-10,96.2,
2008-11,89.9,
2008-12,78.0,
2009-01,74.1,
2009-02,72.2,
2009-03,81.4,
2009-04,72.8,
2009-05,75.7,
2009-06,82.0,
2009-07,82.3,
2009-08,76.5,
2009-09,87.0,
2009-10,83.9,
2009-11,88.3,
2009-12,81.7,
2010-01,88.9,
2010-02,89.4,
2010-03,103.0,
2010-04,96.9,
2010-05,97.4,
2010-06,104.8,
2010-07,100.6,
2010-08,94.8,
2010-09,103.2,
2010-10,103.1,
2010-11,110.8,
2010-12,101.6,
2011-01,110.2,
2011-02,111.9,
2011-03,118.8,
2011-04,109.4,
2011-05,112.5,
2011-06,117.5,
2011-07,111.2,
2011-08,101.1,
2011-09,107.3,
2011-10,108.4,
2011-11,107.1,
2011-12,102.9,
2012-01,105.3,
2012-02,106.4,
2012-03,119.5,
2012-04,106.5,
2012-05,107.4,
2012-06,110.3,
2012-07,107.2,
2012-08,97.7,
2012-09,104.7,
2012-10,108.1,
2012-11,107.2,
2012-12,102.1,
2013-01,104.8,
2013-02,106.7,
2013-03,119.8,
2013-04,106.1,
2013-05,105.2,
2013-06,115.9,
2013-07,108.9,
2013-08,99.8,
2013-09,112.3,
2013-10,111.2,
2013-11,114.6,
2013-12,107.7,
2014-01,111.4,
2014-02,113.0,
2014-03,120.3,
2014-04,112.4,
2014-05,110.5,
2014-06,113.3,
2014-07,115.4,
2014-08,100.7,
2014-09,111.8,
2014-10,114.6,
2014-11,114.7,
2014-12,112.3,Provisional value
