"",BBSF2.M.1.P.00000.REN01.I.F.ATU.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.REN01.I.F.ATU.Z5.00000.000000.Z01.00_FLAGS
1991-06,2137740,
1991-07,2133728,
1991-08,2138963,
1991-09,2137943,
1991-10,2139786,
1991-11,2161898,
1991-12,2175107,
1992-01,2195449,comment
1992-02,2216805,
1992-03,2231123,
1992-04,2230132,
1992-05,2227088,
1992-06,2208095,
1992-07,2166673,
1992-08,2111422,
1992-09,2050608,
1992-10,1997922,
1992-11,1938286,
1992-12,1869854,
1993-01,1853977,
1993-02,1848975,
1993-03,1842557,
1993-04,1836363,
1993-05,1832941,
1993-06,1817965,
1993-07,1780137,
1993-08,1783564,
1993-09,1768491,
1993-10,1761480,
1993-11,1780463,
1993-12,1801955,
1994-01,1836256,
1994-02,1882776,
1994-03,1902291,
1994-04,1912157,
1994-05,1928022,
1994-06,1935088,
1994-07,1948894,
1994-08,1969504,
1994-09,1975825,
1994-10,1975341,
1994-11,2004793,
1994-12,2015301,
1995-01,2019740,
1995-02,2038285,
1995-03,2032738,
1995-04,2025114,
1995-05,2017271,
1995-06,2013864,
1995-07,2013527,
1995-08,2012191,
1995-09,2013395,
1995-10,2006385,
1995-11,2046925,
1995-12,2058748,
1996-01,2073230,
1996-02,2067468,
1996-03,2075418,
1996-04,2093179,
1996-05,2100347,
1996-06,2094275,
1996-07,2081736,
1996-08,2084434,
1996-09,2081047,
1996-10,2076290,
1996-11,2098665,
1996-12,2100312,
1997-01,2119180,
1997-02,2139412,
1997-03,2130294,
1997-04,2134350,
1997-05,2137807,
1997-06,2140767,
1997-07,2131442,
1997-08,2122529,
1997-09,2121559,
1997-10,2109866,
1997-11,2126205,
1997-12,2149016,
1998-01,2160070,
1998-02,2190855,
1998-03,2215279,
1998-04,2220989,
1998-05,2215196,
1998-06,2215461,
1998-07,2205247,
1998-08,2208776,
1998-09,2145567,
1998-10,2084733,
1998-11,2110793,
1998-12,2117442,
1999-01,2147360,
1999-02,2177590,
1999-03,2186962,
1999-04,2204441,
1999-05,2213872,
1999-06,2206426,
1999-07,2208572,
1999-08,2212290,
1999-09,2214015,
1999-10,2202590,
1999-11,2180557,
1999-12,2173063,
2000-01,2169351,
2000-02,2129636,
2000-03,2146113,
2000-04,2131815,
2000-05,2075901,
2000-06,2073469,
2000-07,2059835,
2000-08,2042266,
2000-09,1995597,
2000-10,1953663,
2000-11,1955210,
2000-12,1948365,
2001-01,1951220,
2001-02,1956783,
2001-03,1936506,
2001-04,1920022,
2001-05,1889442,
2001-06,1876881,
2001-07,1884484,
2001-08,1902718,
2001-09,1887260,
2001-10,1916873,
2001-11,1941260,
2001-12,1944194,
2002-01,1948315,
2002-02,1981791,
2002-03,1978313,
2002-04,1975050,
2002-05,1962972,
2002-06,1950965,
2002-07,1966989,
2002-08,1994794,
2002-09,1987629,
2002-10,1980508,
2002-11,1988985,
2002-12,1998606,
2003-01,2017476,
2003-02,2051651,
2003-03,2062285,
2003-04,2069985,
2003-05,2057030,
2003-06,2064992,
2003-07,2062656,
2003-08,2079699,
2003-09,2073831,
2003-10,2059396,
2003-11,2057107,
2003-12,2067615,
2004-01,2040239,
2004-02,2073205,
2004-03,2115687,
2004-04,2103456,
2004-05,2113833,
2004-06,2113137,
2004-07,2086452,
2004-08,2086680,
2004-09,2086829,
2004-10,2069974,
2004-11,2067937,
2004-12,2075456,
2005-01,2091581,
2005-02,2094362,
2005-03,2133769,
2005-04,2136705,
2005-05,2151618,
2005-06,2146481,
2005-07,2159047,
2005-08,2174019,
2005-09,2171951,
2005-10,2168564,
2005-11,2150559,
2005-12,2139877,
2006-01,2134215,
2006-02,2145071,
2006-03,2121507,
2006-04,2116851,
2006-05,2085913,
2006-06,2061363,
2006-07,2048812,
2006-08,2030814,
2006-09,2011311,
2006-10,1960364,
2006-11,1938683,
2006-12,1939216,
2007-01,1852319,
2007-02,1808035,
2007-03,1770849,
2007-04,1750255,
2007-05,1715467,
2007-06,1658764,
2007-07,1626971,
2007-08,1591728,
2007-09,1569338,
2007-10,1540383,
2007-11,1523716,
2007-12,1488721,
2008-01,1473150,
2008-02,1460648,
2008-03,1442466,
2008-04,1432652,
2008-05,1416245,
2008-06,1391465,
2008-07,1342888,
2008-08,1312270,
2008-09,1280844,
2008-10,1183611,
2008-11,1169723,
2008-12,1144818,
2009-01,1148717,
2009-02,1158167,
2009-03,1147033,
2009-04,1162754,
2009-05,1162131,
2009-06,1161753,
2009-07,1169709,
2009-08,1161106,
2009-09,1173510,
2009-10,1168227,
2009-11,1201419,
2009-12,1188780,
2010-01,1193332,
2010-02,1197543,
2010-03,1206451,
2010-04,1201468,
2010-05,1207785,
2010-06,1209916,
2010-07,1217557,
2010-08,1215277,
2010-09,1213996,
2010-10,1185568,
2010-11,1181286,
2010-12,1173146,
2011-01,1170305,
2011-02,1162760,
2011-03,1148666,
2011-04,1138702,
2011-05,1128843,
2011-06,1128553,
2011-07,1164831,
2011-08,1157546,
2011-09,1167061,
2011-10,1168758,
2011-11,1157647,
2011-12,1165080,
2012-01,1166444,
2012-02,1167664,
2012-03,1161587,
2012-04,1161017,
2012-05,1140972,
2012-06,1131017,
2012-07,1138913,
2012-08,1138019,
2012-09,1135554,
2012-10,1136764,
2012-11,1151452,
2012-12,1170331,
2013-01,1170743,
2013-02,1186776,
2013-03,1186429,
2013-04,1190336,
2013-05,1191945,
2013-06,1186880,
2013-07,1194775,
2013-08,1190774,
2013-09,1185236,
2013-10,1181838,
2013-11,1175716,
2013-12,1180150,
2014-01,1172177,
2014-02,1182997,
2014-03,1178944,
2014-04,1175954,
2014-05,1173367,
2014-06,1180039,
2014-07,1179746,
2014-08,1191253,
2014-09,1202209,
2014-10,1212905,
2014-11,1216394,
