"",BBFB1.M.N.DE.W1.S1W.S1.T.LD.FA.P.F3.L._T.M.N,BBFB1.M.N.DE.W1.S1W.S1.T.LD.FA.P.F3.L._T.M.N_FLAGS
2007-09,37238.832,
2007-10,37029.803,
2007-11,36572.531,
2007-12,37008.432,
2008-01,48854.292,
2008-02,48725.395,
2008-03,37828.591,
2008-04,37851.773,
2008-05,28717.654,
2008-06,43415.118,
2008-07,32613.969,
2008-08,29972.117,
2008-09,47454.940,
2008-10,40483.981,
2008-11,36689.793,
2008-12,49896.378,
2009-01,50796.556,
2009-02,53031.751,
2009-03,60220.564,
2009-04,35211.359,
2009-05,33277.338,
2009-06,45725.825,
2009-07,40126.212,
2009-08,20306.902,
2009-09,45357.307,
2009-10,35350.685,
2009-11,27669.369,
2009-12,37179.653,
2010-01,40619.707,
2010-02,37598.449,
2010-03,35140.434,
2010-04,28618.846,
2010-05,22006.424,
2010-06,43805.815,
2010-07,42946.999,
2010-08,23044.487,
2010-09,34169.630,
2010-10,32638.336,
2010-11,19604.730,
2010-12,40345.902,
2011-01,37207.750,
2011-02,30803.837,
2011-03,38653.007,
2011-04,31487.843,
2011-05,30333.711,
2011-06,43474.529,
2011-07,31133.765,
2011-08,26792.524,
2011-09,31331.906,
2011-10,38304.093,
2011-11,26113.999,
2011-12,33555.457,
2012-01,54668.358,
2012-02,27110.556,
2012-03,46532.400,
2012-04,25258.976,
2012-05,40002.209,
2012-06,38131.840,
2012-07,34070.550,
2012-08,18432.813,
2012-09,28147.956,
2012-10,29116.429,
2012-11,18894.949,
2012-12,24829.218,
2013-01,45643.117,
2013-02,28432.055,
2013-03,37791.013,
2013-04,27497.137,
2013-05,34142.904,
2013-06,46801.048,
2013-07,39455.527,
2013-08,21818.544,
2013-09,19738.167,
2013-10,34577.841,
2013-11,22045.161,
2013-12,21298.113,
2014-01,45940.558,
2014-02,32299.936,Provisional value
2014-03,37472.439,Provisional value
2014-04,33979.735,Provisional value
2014-05,24859.127,Provisional value
2014-06,27973.462,Provisional value
2014-07,32295.136,Provisional value
2014-08,18879.871,Provisional value
2014-09,28110.172,
2014-10,35897.269,
2014-11,22894.565,
2014-12,24211.704,Provisional value
