"",BBDE1.M.DE.Y.AEA1.P2XF13010.B2.V.I10.A,BBDE1.M.DE.Y.AEA1.P2XF13010.B2.V.I10.A_FLAGS
1998-01,126.0,
1998-02,116.1,
1998-03,117.7,
1998-04,116.1,
1998-05,117.4,
1998-06,128.2,
1998-07,125.9,
1998-08,117.3,
1998-09,127.3,
1998-10,108.1,
1998-11,125.1,
1998-12,109.9,
1999-01,125.3,
1999-02,118.2,
1999-03,119.6,
1999-04,120.7,
1999-05,121.7,
1999-06,112.8,
1999-07,121.2,
1999-08,114.7,
1999-09,110.6,
1999-10,113.4,
1999-11,104.0,
1999-12,122.2,
2000-01,114.5,
2000-02,109.2,
2000-03,114.6,
2000-04,115.0,
2000-05,110.5,
2000-06,108.0,
2000-07,104.6,
2000-08,103.1,
2000-09,102.0,
2000-10,108.2,
2000-11,106.6,
2000-12,122.0,
2001-01,96.8,
2001-02,118.7,
2001-03,103.8,
2001-04,108.4,
2001-05,114.6,
2001-06,118.6,
2001-07,101.9,
2001-08,108.4,
2001-09,100.5,
2001-10,108.6,
2001-11,108.7,
2001-12,105.3,
2002-01,108.9,
2002-02,112.0,
2002-03,111.1,
2002-04,106.4,
2002-05,102.9,
2002-06,106.5,
2002-07,99.7,
2002-08,101.1,
2002-09,107.3,
2002-10,99.8,
2002-11,105.7,
2002-12,96.6,
2003-01,103.0,
2003-02,104.7,
2003-03,97.4,
2003-04,93.6,
2003-05,90.3,
2003-06,93.8,
2003-07,99.6,
2003-08,95.0,
2003-09,93.2,
2003-10,96.4,
2003-11,92.1,
2003-12,94.3,
2004-01,85.2,
2004-02,94.7,
2004-03,97.9,
2004-04,93.5,
2004-05,91.3,
2004-06,92.8,
2004-07,90.2,
2004-08,91.2,
2004-09,91.9,
2004-10,94.0,
2004-11,90.6,
2004-12,89.4,
2005-01,83.9,
2005-02,82.4,
2005-03,83.2,
2005-04,82.6,
2005-05,93.2,
2005-06,90.7,
2005-07,95.6,
2005-08,97.7,
2005-09,95.1,
2005-10,93.0,
2005-11,93.1,
2005-12,99.8,
2006-01,91.1,
2006-02,91.6,
2006-03,90.1,
2006-04,92.1,
2006-05,93.0,
2006-06,98.9,
2006-07,94.1,
2006-08,95.1,
2006-09,92.8,
2006-10,87.1,
2006-11,98.1,
2006-12,86.2,
2007-01,105.4,
2007-02,91.7,
2007-03,101.8,
2007-04,98.9,
2007-05,100.0,
2007-06,93.1,
2007-07,94.7,
2007-08,100.2,
2007-09,103.9,
2007-10,134.0,
2007-11,120.9,
2007-12,109.9,
2008-01,115.0,
2008-02,100.9,
2008-03,113.1,
2008-04,97.1,
2008-05,100.8,
2008-06,100.2,
2008-07,111.9,
2008-08,96.5,
2008-09,100.1,
2008-10,97.1,
2008-11,93.7,
2008-12,96.8,
2009-01,108.0,
2009-02,96.6,
2009-03,99.0,
2009-04,107.3,
2009-05,104.2,
2009-06,110.2,
2009-07,107.0,
2009-08,106.5,
2009-09,105.6,
2009-10,104.6,
2009-11,98.7,
2009-12,116.9,
2010-01,101.4,
2010-02,117.0,
2010-03,102.4,
2010-04,100.9,
2010-05,99.5,
2010-06,95.4,
2010-07,95.2,
2010-08,97.0,
2010-09,100.7,
2010-10,99.6,
2010-11,99.4,
2010-12,94.5,
2011-01,86.3,
2011-02,87.2,
2011-03,92.7,
2011-04,94.8,
2011-05,96.2,
2011-06,100.9,
2011-07,108.9,
2011-08,92.6,
2011-09,97.7,
2011-10,87.4,
2011-11,102.7,
2011-12,99.5,
2012-01,98.7,
2012-02,112.5,
2012-03,107.4,
2012-04,106.5,
2012-05,99.6,
2012-06,98.4,
2012-07,98.6,
2012-08,102.5,
2012-09,95.0,
2012-10,131.1,
2012-11,98.2,
2012-12,90.6,
2013-01,112.8,
2013-02,112.1,
2013-03,105.9,
2013-04,107.7,
2013-05,103.0,
2013-06,103.0,
2013-07,117.1,
2013-08,109.9,
2013-09,100.8,
2013-10,105.3,
2013-11,106.2,
2013-12,112.3,
2014-01,106.8,
2014-02,112.0,
2014-03,106.7,
2014-04,113.7,
2014-05,108.6,
2014-06,98.9,
2014-07,103.8,
2014-08,107.0,
2014-09,101.1,
2014-10,97.8,
2014-11,98.7,
2014-12,94.9,
