"",BBFB1.M.N.DE.W1.S1.S1.T.L.FA.P.F3.S._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.P.F3.S._T.M.N_FLAGS
2007-07,6635.667,
2007-08,4761.225,
2007-09,5457.913,
2007-10,3220.031,
2007-11,10000.786,
2007-12,316.034,
2008-01,8957.229,
2008-02,-1302.464,
2008-03,8905.548,
2008-04,476.035,
2008-05,2832.867,
2008-06,5150.219,
2008-07,4557.600,
2008-08,5041.944,
2008-09,2149.900,
2008-10,2208.300,
2008-11,-392.385,
2008-12,171.870,
2009-01,5604.234,
2009-02,664.102,
2009-03,8397.850,
2009-04,13245.551,
2009-05,16789.103,
2009-06,1025.247,
2009-07,7434.812,
2009-08,5340.737,
2009-09,-3210.745,
2009-10,-874.158,
2009-11,-43.321,
2009-12,-3721.362,
2010-01,-5302.535,
2010-02,2119.648,
2010-03,-3067.969,
2010-04,7409.688,
2010-05,-9207.718,
2010-06,-17693.235,
2010-07,3702.722,
2010-08,4601.981,
2010-09,425.282,
2010-10,14945.059,
2010-11,22556.842,
2010-12,-30474.392,
2011-01,2276.939,
2011-02,6318.625,
2011-03,-2176.313,
2011-04,-755.469,
2011-05,11014.452,
2011-06,-12524.095,
2011-07,9470.478,
2011-08,11933.417,
2011-09,-8397.045,
2011-10,-4048.699,
2011-11,-1592.347,
2011-12,-8797.120,
2012-01,-807.473,
2012-02,3660.318,
2012-03,-1303.841,
2012-04,-7402.449,
2012-05,11022.321,
2012-06,3927.504,
2012-07,5755.977,
2012-08,-7145.743,
2012-09,-12916.046,
2012-10,1416.319,
2012-11,7652.252,
2012-12,-8297.334,
2013-01,416.890,
2013-02,5698.339,
2013-03,3713.553,
2013-04,2216.079,
2013-05,3812.184,
2013-06,-2451.232,
2013-07,2103.546,
2013-08,-2948.024,
2013-09,-4800.056,
2013-10,-2376.751,
2013-11,-9498.429,
2013-12,-18925.966,
2014-01,15144.632,
2014-02,-684.318,Provisional value
2014-03,-7635.496,Provisional value
2014-04,-3966.259,Provisional value
2014-05,3642.748,Provisional value
2014-06,-321.825,Provisional value
2014-07,6151.873,Provisional value
2014-08,8427.176,Provisional value
2014-09,-5951.820,
2014-10,-2115.490,
2014-11,-8906.872,
2014-12,-5581.208,Provisional value
