"",BBEX3.M.BRL.USD.CA.AB.A01,BBEX3.M.BRL.USD.CA.AB.A01_FLAGS
2008-09,1.9143,
2008-10,2.1153,
2008-11,2.3331,
2008-12,2.3370,
2009-01,2.3162,
2009-02,2.3784,
2009-03,2.3152,
2009-04,2.1783,
2009-05,1.9730,
2009-06,1.9516,
2009-07,1.8726,
2009-08,1.8864,
2009-09,1.7781,
2009-10,1.7440,
2009-11,1.7505,
2009-12,1.7412,
2010-01,1.8748,
2010-02,1.8110,
2010-03,1.7810,
2010-04,1.7306,
2010-05,1.8167,
2010-06,1.8015,
2010-07,1.7572,
2010-08,1.7560,
2010-09,1.6942,
2010-10,1.7014,
2010-11,1.7161,
2010-12,1.6662,
2011-01,1.6734,
2011-02,1.6612,
2011-03,1.6287,
2011-04,1.5733,
2011-05,1.5799,
2011-06,1.5611,
2011-07,1.5563,
2011-08,1.5872,
2011-09,1.8544,
2011-10,1.6885,
2011-11,1.8109,
2011-12,1.8758,
2012-01,1.7391,
2012-02,1.7092,
2012-03,1.8221,
2012-04,1.8918,
2012-05,2.0223,
2012-06,2.0213,
2012-07,2.0499,
2012-08,2.0372,
2012-09,2.0306,
2012-10,2.0313,
2012-11,2.1074,
2012-12,2.0435,
2013-01,1.9883,
2013-02,1.9754,
2013-03,2.0138,
2013-04,2.0017,
2013-05,2.1319,
2013-06,2.2156,
2013-07,2.2903,
2013-08,2.3725,
2013-09,2.2300,
2013-10,2.2026,
2013-11,2.3249,
2013-12,2.3426,
2014-01,2.4263,
2014-02,2.3334,
2014-03,2.2630,
2014-04,2.2360,
2014-05,2.2390,
2014-06,2.2025,
2014-07,2.2674,
2014-08,2.2396,
2014-09,2.4510,
2014-10,2.4442,
2014-11,2.5601,
2014-12,2.6562,
2015-01,2.6623,
"","General: Currency conversion on 1 July 1994 at the rate of 2,750 cruzeiro real (BRR) = 1 real (BRL).  * Commercial banks' rate until the end of January 1999; for free market rates, see BBEX2:M:BRL:USD:CA:AB:B01.  Exchange rate used until 31 January 1999:  Commercial banks' rate (taxa comercial): for all foreign exchange transactions not settled at the freemarket rate.  Free market rate (taxa flutuante): for all unrequited transfers (including pension and remittance payments), for certain services (including the provision of foreign exchange for travel purposes and currency exchange for foreign tourists, also via international credit cards), as well as for certain overdue loan redemptions; also for certain capital transfers by Brazilians based abroad.  The multiple exchange rate system was standardised on 1 February 1999.",
"","Source: Since April 2000: Banco Central do Brasil, Brasilia. July 1994 - March 2000: Dresdner Bank Lateinamerika AG, Hamburg (formerly: Deutsch-Südamerikanische Bank AG).",
"","Comment on 1999-01: Owing to increasing exchange rate pressures, the central bank expanded the range against the US dollar on 13 January 1999 and switched to an independent floating rate two days later.",
