"",BBFB1.M.Y.DE.W1.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
2010-02,14.43,
2010-03,12.15,
2010-04,13.41,
2010-05,11.42,
2010-06,12.35,
2010-07,13.14,
2010-08,12.27,
2010-09,14.87,
2010-10,15.30,
2010-11,13.38,
2010-12,14.33,
2011-01,13.02,
2011-02,12.61,
2011-03,15.08,
2011-04,12.02,
2011-05,13.20,
2011-06,12.62,
2011-07,12.24,
2011-08,14.12,
2011-09,14.78,
2011-10,12.32,
2011-11,15.29,
2011-12,13.22,
2012-01,16.81,
2012-02,15.88,
2012-03,14.90,
2012-04,15.92,
2012-05,16.31,
2012-06,17.27,
2012-07,17.39,
2012-08,19.21,
2012-09,16.65,
2012-10,15.67,
2012-11,15.71,
2012-12,16.80,
2013-01,16.87,
2013-02,16.12,
2013-03,20.07,
2013-04,18.92,
2013-05,17.51,
2013-06,17.64,
2013-07,14.88,
2013-08,15.66,
2013-09,18.02,
2013-10,18.56,
2013-11,17.88,
2013-12,17.71,
2014-01,18.45,
2014-02,17.07,
2014-03,17.94,
2014-04,18.56,
2014-05,18.13,
2014-06,17.97,
2014-07,21.80,
2014-08,18.69,
2014-09,19.90,
2014-10,22.66,
2014-11,18.23,
2014-12,22.03,
