"",BBEX3.M.KRW.USD.CA.AB.A01,BBEX3.M.KRW.USD.CA.AB.A01_FLAGS
1986-03,887.40,
1986-04,887.40,
1986-05,892.10,
1986-06,888.90,
1986-07,889.00,
1986-08,885.10,
1986-09,881.00,
1986-10,877.20,
1986-11,870.30,
1986-12,865.30,
1987-01,861.10,
1987-02,858.70,
1987-03,850.80,
1987-04,837.90,
1987-05,826.50,
1987-06,812.60,
1987-07,811.70,
1987-08,811.40,
1987-09,809.50,
1987-10,805.10,
1987-11,800.00,
1987-12,795.90,
1988-01,785.20,
1988-02,764.30,
1988-03,749.60,
1988-04,743.30,
1988-05,736.20,
1988-06,731.60,
1988-07,726.70,
1988-08,724.90,
1988-09,721.90,
1988-10,704.30,
1988-11,690.30,
1988-12,686.90,
1989-01,683.40,
1989-02,675.80,
1989-03,674.60,
1989-04,668.90,
1989-05,669.40,
1989-06,669.90,
1989-07,670.10,
1989-08,671.90,
1989-09,672.60,
1989-10,674.20,
1989-11,675.30,
1989-12,682.30,
1990-01,689.00,
1990-02,696.70,
1990-03,703.70,
1990-04,709.80,
1990-05,715.10,
1990-06,719.00,
1990-07,717.90,
1990-08,716.80,
1990-09,715.70,
1990-10,716.60,
1990-11,715.90,
1990-12,719.20,
1991-01,721.80,
1991-02,727.20,
1991-03,727.50,
1991-04,728.00,
1991-05,725.80,
1991-06,727.40,
1991-07,729.00,
1991-08,738.50,
1991-09,745.90,
1991-10,754.80,
1991-11,759.00,
1991-12,765.30,
1992-01,766.50,
1992-02,772.80,
1992-03,779.70,
1992-04,783.40,
1992-05,788.20,
1992-06,794.90,
1992-07,791.20,
1992-08,790.70,
1992-09,789.70,
1992-10,785.50,
1992-11,788.20,
1992-12,791.50,
1993-01,797.10,
1993-02,798.00,
1993-03,797.10,
1993-04,799.00,
1993-05,804.30,
1993-06,806.90,
1993-07,809.80,
1993-08,811.60,
1993-09,812.00,
1993-10,811.40,
1993-11,810.80,
1993-12,811.30,
1994-01,811.30,
1994-02,811.20,
1994-03,809.70,
1994-04,810.50,
1994-05,809.30,
1994-06,808.70,
1994-07,805.50,
1994-08,804.30,
1994-09,802.00,
1994-10,800.00,
1994-11,797.40,
1994-12,791.80,
1995-01,789.80,
1995-02,789.10,
1995-03,774.50,
1995-04,763.90,
1995-05,763.10,
1995-06,761.10,
1995-07,759.50,
1995-08,780.20,
1995-09,771.50,
1995-10,768.50,
1995-11,772.20,
1995-12,777.70,
1996-01,787.40,
1996-02,783.80,
1996-03,785.80,
1996-04,781.80,
1996-05,791.00,
1996-06,813.80,
1996-07,816.50,
1996-08,822.40,
1996-09,827.20,
1996-10,834.60,
1996-11,832.10,
1996-12,847.50,
1997-01,864.70,
1997-02,867.30,
1997-03,900.60,
1997-04,895.60,
1997-05,895.30,
1997-06,891.60,
1997-07,895.50,
1997-08,904.40,
1997-09,918.40,
1997-10,968.90,
1997-11,1203.60,
1997-12,1764.00,
1998-01,1555.30,
1998-02,1678.90,
1998-03,1402.80,
1998-04,1355.30,
1998-05,1423.40,
1998-06,1387.50,
1998-07,1254.50,
1998-08,1368.20,
1998-09,1407.70,
1998-10,1336.70,
1998-11,1264.60,
1998-12,1221.00,
1999-01,1192.90,
1999-02,1240.80,
1999-03,1243.00,
1999-04,1204.60,
1999-05,1202.90,
1999-06,1169.00,
1999-07,1216.00,
1999-08,1196.70,
1999-09,1228.60,
1999-10,1210.90,
1999-11,1170.30,
1999-12,1145.60,
2000-01,1134.00,
2000-02,1142.00,
2000-03,1116.50,
2000-04,1119.80,
2000-05,1140.40,
2000-06,1125.80,
2000-07,1127.60,
2000-08,1119.60,
2000-09,1125.90,
2000-10,1150.10,
2000-11,1226.20,
2000-12,1277.30,
2001-01,1271.30,
2001-02,1263.00,
2001-03,1342.00,
2001-04,1332.90,
2001-05,1295.20,
2001-06,1310.20,
2001-07,1312.70,
2001-08,1289.80,
2001-09,1321.80,
2001-10,1308.80,
2001-11,1285.40,
2001-12,1335.90,
2002-01,1327.20,
2002-02,1336.70,
2002-03,1338.80,
2002-04,1306.30,
2002-05,1238.00,
2002-06,1213.00,
2002-07,1199.60,
2002-08,1213.20,
2002-09,1239.80,
2002-10,1233.40,
2002-11,1220.30,
2002-12,1197.90,
2003-01,1181.40,
2003-02,1205.30,
2003-03,1266.80,
2003-04,1227.20,
2003-05,1217.90,
2003-06,1204.70,
2003-07,1191.20,
2003-08,1190.50,
2003-09,1161.40,
2003-10,1194.60,
2003-11,1213.70,
2003-12,1204.20,
2004-01,1185.10,
2004-02,1187.70,
2004-03,1157.80,
2004-04,1184.70,
2004-05,1171.40,
2004-06,1166.80,
2004-07,1181.40,
2004-08,1164.20,
2004-09,1163.00,
2004-10,1130.50,
2004-11,1058.20,
2004-12,1045.10,
2005-01,1035.50,
2005-02,1015.80,
2005-03,1025.40,
2005-04,1006.80,
2005-05,1017.70,
2005-06,1035.40,
2005-07,1036.80,
2005-08,1048.50,
2005-09,1051.20,
2005-10,1050.30,
2005-11,1043.60,
2005-12,1014.30,
2006-01,974.00,
2006-02,980.40,
2006-03,981.10,
2006-04,952.60,
2006-05,954.80,
2006-06,958.10,
2006-07,964.50,
2006-08,970.90,
2006-09,955.40,
2006-10,951.50,
2006-11,938.60,
2006-12,937.70,
2007-01,950.10,
2007-02,951.00,
2007-03,950.10,
2007-04,939.90,
2007-05,936.70,
2007-06,932.80,
2007-07,928.30,
2007-08,947.40,
2007-09,924.10,
2007-10,909.80,
2007-11,930.10,
2007-12,941.10,
2008-01,953.10,
2008-02,948.20,
2008-03,1000.10,
2008-04,1013.30,
2008-05,1040.10,
2008-06,1056.20,
2008-07,1022.00,
2008-08,1100.60,
2008-09,1218.80,
2008-10,1310.70,
2008-11,1477.30,
2008-12,1322.80,
2009-01,1393.00,
2009-02,1548.00,
2009-03,1381.40,
2009-04,1302.60,
2009-05,1265.20,
2009-06,1284.40,
2009-07,1241.50,
2009-08,1261.70,
2009-09,1189.50,
2009-10,1195.60,
2009-11,1172.30,
2009-12,1170.30,
2010-01,1168.30,
2010-02,1170.30,
2010-03,1140.00,
2010-04,1117.80,
2010-05,1214.20,
2010-06,1230.90,
2010-07,1196.10,
2010-08,1209.80,
2010-09,1147.60,
2010-10,1136.00,
2010-11,1170.80,
2010-12,1130.90,
2011-01,1132.40,
2011-02,1139.00,
2011-03,1107.20,
2011-04,1079.40,
2011-05,1089.00,
2011-06,1077.90,
2011-07,1064.30,
2011-08,1076.40,
2011-09,1190.50,
2011-10,1117.80,
2011-11,1156.70,
2011-12,1170.30,
2012-01,1132.90,
2012-02,1126.90,
2012-03,1143.00,
2012-04,1139.50,
2012-05,1189.00,
2012-06,1157.70,
2012-07,1139.50,
2012-08,1145.10,
2012-09,1122.80,
2012-10,1100.60,
2012-11,1093.10,
2012-12,1073.40,
2013-01,1097.60,
2013-02,1093.60,
2013-03,1123.60,
2013-04,1111.90,
2013-05,1140.70,
2013-06,1153.10,
2013-07,1134.50,
2013-08,1120.80,
2013-09,1085.20,
2013-10,1071.00,
2013-11,1068.50,
2013-12,1058.70,
2014-01,1080.80,
2014-02,1077.80,
2014-03,1075.10,
2014-04,1043.30,
2014-05,1030.00,
2014-06,1021.70,
2014-07,1037.90,
2014-08,1023.50,
2014-09,1065.50,
2014-10,1076.40,
2014-11,1118.70,
2014-12,1101.60,
2015-01,1104.20,
"","Source: Korea Exchange Bank, Seoul",
"","Comment on 1971-06: On 28 June 1971, the exchange rates were adjusted more sharply. The following exchange rates (buying/selling rate) were recorded:  26 June 1971: USD 1 = KRW 327.40/328.90  28 June 1971: USD 1 = KRW 370.00/371.60  Calculated devaluation: 11.5%.",
"","Comment on 1974-12: On 7 December 1974, the exchange rates (buying/selling rate) were changed from USD 1 = KRW 398.00/400.00 to USD 1 = KRW 483,00/485,00. Calculated devaluation: 17.6% (middle rate).",
"","Comment on 1980-01: On 12 January 1980, the exchange rates (buying/selling rate) were changed from USD 1 = KRW 483.00/485.00 to USD 1 = KRW 577.10/582.90. Calculated devaluation: 16.6% (middle rate).",
