"",BBDG1.M.HWWI.N.EURO.TOTNXNGY.INDBEU.HE.A,BBDG1.M.HWWI.N.EURO.TOTNXNGY.INDBEU.HE.A_FLAGS
1993-09,48.2,
1993-10,47.8,
1993-11,50.5,
1993-12,52.3,
1994-01,54.0,
1994-02,54.8,
1994-03,54.0,
1994-04,54.4,
1994-05,56.1,
1994-06,57.7,
1994-07,58.8,
1994-08,58.2,
1994-09,60.9,
1994-10,60.2,
1994-11,62.6,
1994-12,63.5,
1995-01,64.2,
1995-02,62.2,
1995-03,60.3,
1995-04,59.1,
1995-05,58.7,
1995-06,58.9,
1995-07,59.2,
1995-08,60.6,
1995-09,60.5,
1995-10,59.2,
1995-11,60.0,
1995-12,59.9,
1996-01,59.2,
1996-02,58.6,
1996-03,58.2,
1996-04,60.3,
1996-05,61.9,
1996-06,58.2,
1996-07,56.7,
1996-08,56.4,
1996-09,56.1,
1996-10,54.4,
1996-11,54.5,
1996-12,55.4,
1997-01,58.5,
1997-02,62.7,
1997-03,66.4,
1997-04,66.6,
1997-05,69.1,
1997-06,67.2,
1997-07,66.3,
1997-08,68.9,
1997-09,66.3,
1997-10,64.0,
1997-11,62.7,
1997-12,62.7,
1998-01,62.1,
1998-02,61.8,
1998-03,60.9,
1998-04,59.6,
1998-05,57.8,
1998-06,56.3,
1998-07,56.0,
1998-08,54.0,
1998-09,51.1,
1998-10,48.5,
1998-11,50.1,
1998-12,48.8,
1999-01,48.2,
1999-02,48.5,
1999-03,49.3,
1999-04,50.9,
1999-05,51.4,
1999-06,52.2,
1999-07,52.1,
1999-08,52.4,
1999-09,54.0,
1999-10,52.9,
1999-11,55.3,
1999-12,57.8,
2000-01,59.6,
2000-02,61.0,
2000-03,61.7,
2000-04,61.9,
2000-05,65.3,
2000-06,61.2,
2000-07,61.3,
2000-08,62.8,
2000-09,66.9,
2000-10,66.5,
2000-11,66.1,
2000-12,64.9,
2001-01,62.2,
2001-02,61.8,
2001-03,60.8,
2001-04,60.8,
2001-05,62.3,
2001-06,62.4,
2001-07,61.6,
2001-08,57.8,
2001-09,55.5,
2001-10,54.4,
2001-11,56.7,
2001-12,56.2,
2002-01,57.5,
2002-02,58.7,
2002-03,60.2,
2002-04,59.5,
2002-05,57.6,
2002-06,57.0,
2002-07,56.8,
2002-08,57.3,
2002-09,58.4,
2002-10,58.2,
2002-11,57.7,
2002-12,56.8,
2003-01,55.3,
2003-02,56.3,
2003-03,55.3,
2003-04,54.9,
2003-05,52.7,
2003-06,51.1,
2003-07,51.7,
2003-08,53.6,
2003-09,54.7,
2003-10,55.8,
2003-11,57.2,
2003-12,55.9,
2004-01,57.6,
2004-02,60.2,
2004-03,65.4,
2004-04,67.1,
2004-05,64.6,
2004-06,62.6,
2004-07,61.1,
2004-08,58.9,
2004-09,58.8,
2004-10,57.8,
2004-11,57.5,
2004-12,56.0,
2005-01,58.7,
2005-02,60.9,
2005-03,63.4,
2005-04,63.0,
2005-05,61.5,
2005-06,63.9,
2005-07,65.1,
2005-08,64.7,
2005-09,64.6,
2005-10,66.0,
2005-11,68.5,
2005-12,71.3,
2006-01,73.4,
2006-02,76.2,
2006-03,75.9,
2006-04,79.7,
2006-05,83.3,
2006-06,79.7,
2006-07,82.7,
2006-08,81.3,
2006-09,81.2,
2006-10,85.6,
2006-11,85.3,
2006-12,84.3,
2007-01,85.3,
2007-02,86.8,
2007-03,88.1,
2007-04,89.9,
2007-05,90.5,
2007-06,90.1,
2007-07,89.2,
2007-08,86.4,
2007-09,87.1,
2007-10,87.6,
2007-11,84.2,
2007-12,85.3,
2008-01,93.5,
2008-02,100.1,
2008-03,99.2,
2008-04,97.7,
2008-05,99.0,
2008-06,102.0,
2008-07,100.3,
2008-08,96.1,
2008-09,91.2,
2008-10,78.9,
2008-11,75.5,
2008-12,67.4,
2009-01,69.1,
2009-02,69.6,
2009-03,68.4,
2009-04,72.3,
2009-05,74.6,
2009-06,76.2,
2009-07,74.1,
2009-08,78.6,
2009-09,74.9,
2009-10,75.8,
2009-11,77.9,
2009-12,82.8,
2010-01,85.7,
2010-02,85.7,
2010-03,89.5,
2010-04,97.2,
2010-05,98.9,
2010-06,100.4,
2010-07,101.2,
2010-08,104.8,
2010-09,106.6,
2010-10,104.1,
2010-11,108.1,
2010-12,116.1,
2011-01,121.4,
2011-02,122.8,
2011-03,117.7,
2011-04,117.8,
2011-05,115.7,
2011-06,114.0,
2011-07,115.0,
2011-08,112.9,
2011-09,114.1,
2011-10,105.1,
2011-11,103.0,
2011-12,103.7,
2012-01,109.4,
2012-02,109.3,
2012-03,110.5,
2012-04,110.2,
2012-05,110.1,
2012-06,108.9,
2012-07,116.8,
2012-08,114.2,
2012-09,111.9,
2012-10,108.7,
2012-11,107.0,
2012-12,106.5,
2013-01,106.2,
2013-02,106.9,
2013-03,107.7,
2013-04,104.0,
2013-05,103.3,
2013-06,100.7,
2013-07,99.9,
2013-08,98.1,
2013-09,97.3,
2013-10,95.3,
2013-11,96.3,
2013-12,96.6,
2014-01,96.0,
2014-02,97.2,
2014-03,96.9,
2014-04,99.3,
2014-05,98.9,
2014-06,97.4,
2014-07,95.6,
2014-08,96.3,
2014-09,95.0,
2014-10,95.5,
2014-11,97.5,
2014-12,96.0,
2015-01,97.7,
