"",BBFB1.M.Y.DE.W1.S1.S1.T.C.G2._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.C.G2._Z._Z._Z._T._X.N_FLAGS
2007-05,0.61,
2007-06,0.58,
2007-07,0.35,
2007-08,0.67,
2007-09,1.05,
2007-10,0.06,
2007-11,1.11,
2007-12,0.67,
2008-01,0.76,
2008-02,0.88,
2008-03,0.96,
2008-04,0.89,
2008-05,0.37,
2008-06,0.85,
2008-07,0.49,
2008-08,0.70,
2008-09,0.86,
2008-10,1.02,
2008-11,0.52,
2008-12,1.93,
2009-01,0.61,
2009-02,0.36,
2009-03,0.69,
2009-04,0.97,
2009-05,0.44,
2009-06,0.68,
2009-07,0.68,
2009-08,0.76,
2009-09,0.67,
2009-10,1.04,
2009-11,0.45,
2009-12,2.29,
2010-01,0.64,
2010-02,1.19,
2010-03,0.60,
2010-04,1.05,
2010-05,0.96,
2010-06,0.99,
2010-07,1.16,
2010-08,0.96,
2010-09,1.15,
2010-10,1.13,
2010-11,1.51,
2010-12,1.30,
2011-01,1.22,
2011-02,0.92,
2011-03,1.12,
2011-04,1.07,
2011-05,1.08,
2011-06,0.92,
2011-07,1.69,
2011-08,1.26,
2011-09,1.11,
2011-10,0.58,
2011-11,1.13,
2011-12,1.30,
2012-01,1.25,
2012-02,1.78,
2012-03,1.32,
2012-04,1.10,
2012-05,1.55,
2012-06,1.68,
2012-07,1.59,
2012-08,1.38,
2012-09,1.21,
2012-10,1.27,
2012-11,1.38,
2012-12,1.58,
2013-01,1.39,
2013-02,1.24,
2013-03,1.76,
2013-04,1.77,
2013-05,1.27,
2013-06,2.17,
2013-07,1.36,
2013-08,1.59,
2013-09,1.51,
2013-10,2.10,
2013-11,1.56,
2013-12,1.47,
2014-01,1.80,
2014-02,1.47,Provisional value
2014-03,1.41,Provisional value
2014-04,1.83,Provisional value
2014-05,1.75,Provisional value
2014-06,1.39,Provisional value
2014-07,1.53,Provisional value
2014-08,1.68,Provisional value
2014-09,1.61,
2014-10,2.43,
2014-11,1.53,
2014-12,1.87,Provisional value
