"",BBFB1.M.N.DE.W1.S13.S1.T.D.D4P.O.F._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.D.D4P.O.F._Z._T._X.N_FLAGS
2006-10,122.441,
2006-11,129.049,
2006-12,134.377,
2007-01,158.979,
2007-02,160.522,
2007-03,163.071,
2007-04,168.144,
2007-05,176.024,
2007-06,189.029,
2007-07,195.584,
2007-08,214.087,
2007-09,229.076,
2007-10,246.927,
2007-11,264.997,
2007-12,285.067,
2008-01,308.933,
2008-02,329.189,
2008-03,344.930,
2008-04,353.729,
2008-05,360.760,
2008-06,359.257,
2008-07,362.557,
2008-08,356.139,
2008-09,349.107,
2008-10,344.708,
2008-11,334.116,
2008-12,322.523,
2009-01,302.233,
2009-02,299.266,
2009-03,294.539,
2009-04,282.984,
2009-05,272.446,
2009-06,260.580,
2009-07,245.972,
2009-08,231.349,
2009-09,217.408,
2009-10,205.349,
2009-11,219.485,
2009-12,244.781,
2010-01,299.988,
2010-02,277.639,
2010-03,269.488,
2010-04,288.500,
2010-05,307.132,
2010-06,313.472,
2010-07,318.925,
2010-08,323.556,
2010-09,329.458,
2010-10,285.007,
2010-11,256.710,
2010-12,216.329,
2011-01,160.044,
2011-02,165.441,
2011-03,177.746,
2011-04,186.089,
2011-05,183.459,
2011-06,188.563,
2011-07,182.905,
2011-08,179.049,
2011-09,174.113,
2011-10,153.553,
2011-11,143.269,
2011-12,122.113,
2012-01,94.991,
2012-02,88.994,
2012-03,84.614,
2012-04,91.979,
2012-05,90.875,
2012-06,86.959,
2012-07,89.582,
2012-08,91.122,
2012-09,93.087,
2012-10,96.283,
2012-11,100.229,
2012-12,103.203,
2013-01,158.379,
2013-02,135.053,
2013-03,149.965,
2013-04,136.375,
2013-05,137.794,
2013-06,143.227,
2013-07,151.459,
2013-08,127.573,
2013-09,128.891,
2013-10,162.016,
2013-11,150.030,
2013-12,247.592,
2014-01,129.968,
2014-02,129.410,Provisional value
2014-03,122.006,Provisional value
2014-04,144.988,Provisional value
2014-05,128.722,Provisional value
2014-06,101.809,Provisional value
2014-07,88.644,Provisional value
2014-08,100.487,Provisional value
2014-09,85.677,
2014-10,92.669,
2014-11,84.499,
2014-12,77.407,Provisional value
