"",BBK01.TVS302J,BBK01.TVS302J_FLAGS
1997-02,4.9,
1997-03,4.7,
1997-04,4.1,
1997-05,4.4,
1997-06,4.5,
1997-07,4.5,
1997-08,4.3,
1997-09,4.0,
1997-10,4.5,
1997-11,4.2,
1997-12,3.4,
1998-01,4.1,
1998-02,4.3,
1998-03,4.5,
1998-04,5.4,
1998-05,5.2,
1998-06,5.2,
1998-07,4.6,
1998-08,4.7,
1998-09,4.7,
1998-10,4.6,
1998-11,5.2,
1998-12,6.4,
1999-01,8.0,
1999-02,6.7,
1999-03,7.0,
1999-04,6.5,
1999-05,6.7,
1999-06,6.5,
1999-07,7.8,
1999-08,7.3,
1999-09,7.1,
1999-10,7.1,
1999-11,6.5,
1999-12,5.4,
2000-01,4.4,
2000-02,5.5,
2000-03,5.1,
2000-04,5.2,
2000-05,4.7,
2000-06,4.3,
2000-07,3.6,
2000-08,4.2,
2000-09,4.0,
2000-10,3.8,
2000-11,3.7,
2000-12,3.6,
2001-01,2.9,
2001-02,3.0,
2001-03,3.2,
2001-04,3.4,
2001-05,3.6,
2001-06,4.4,
2001-07,4.5,
2001-08,4.5,
2001-09,5.3,
2001-10,5.6,
2001-11,6.1,
2001-12,6.6,
2002-01,6.9,
2002-02,6.5,
2002-03,6.4,
2002-04,6.5,
2002-05,6.8,
2002-06,6.5,
2002-07,6.5,
2002-08,6.5,
2002-09,6.5,
2002-10,6.8,
2002-11,6.9,
2002-12,6.6,
2003-01,6.6,
2003-02,7.4,
2003-03,8.1,
2003-04,8.2,
2003-05,8.6,
2003-06,8.5,
2003-07,8.6,
2003-08,8.7,
2003-09,8.2,
2003-10,8.0,
2003-11,7.7,
2003-12,7.7,
2004-01,7.4,
2004-02,6.9,
2004-03,6.7,
2004-04,6.1,
2004-05,5.6,
2004-06,5.7,
2004-07,5.7,
2004-08,5.6,
2004-09,6.2,
2004-10,6.3,
2004-11,6.5,
2004-12,6.6,
2005-01,7.2,
2005-02,7.3,
2005-03,7.1,
2005-04,7.3,
2005-05,7.6,
2005-06,8.0,
2005-07,8.5,
2005-08,8.6,
2005-09,8.6,
2005-10,8.5,
2005-11,8.2,
2005-12,8.5,
2006-01,8.2,
2006-02,8.5,
2006-03,8.8,
2006-04,9.6,
2006-05,9.3,
2006-06,8.9,
2006-07,8.1,
2006-08,8.2,
2006-09,8.3,
2006-10,8.1,
2006-11,8.8,
2006-12,9.6,
2007-01,9.2,
2007-02,9.0,
2007-03,9.6,
2007-04,8.7,
2007-05,9.4,
2007-06,9.6,
2007-07,10.6,
2007-08,10.4,
2007-09,10.4,
2007-10,11.2,
2007-11,10.9,
2007-12,10.2,
2008-01,10.4,
2008-02,10.7,
2008-03,10.0,
2008-04,10.5,
2008-05,10.2,
2008-06,9.8,
2008-07,9.2,
2008-08,9.0,
2008-09,8.9,
2008-10,9.1,
2008-11,8.8,
2008-12,8.4,
2009-01,7.5,
2009-02,6.9,
2009-03,6.3,
2009-04,5.9,
2009-05,5.2,
2009-06,5.0,
2009-07,4.5,
2009-08,4.4,
2009-09,3.6,
2009-10,2.3,
2009-11,1.8,
2009-12,1.6,
2010-01,2.0,
2010-02,1.6,
2010-03,1.6,
2010-04,1.3,
2010-05,1.5,
2010-06,1.4,
2010-07,1.4,
2010-08,1.9,
2010-09,1.9,
2010-10,2.1,
2010-11,2.3,
2010-12,2.2,
2011-01,2.3,
2011-02,2.3,
2011-03,2.7,
2011-04,2.4,
2011-05,2.4,
2011-06,2.4,
2011-07,2.3,
2011-08,2.4,
2011-09,2.4,
2011-10,1.9,
2011-11,2.1,
2011-12,1.9,
2012-01,2.3,
2012-02,2.8,
2012-03,2.8,
2012-04,2.5,
2012-05,2.8,
2012-06,2.9,
2012-07,3.4,
2012-08,3.0,
2012-09,3.1,
2012-10,4.3,
2012-11,4.4,
2012-12,4.5,
2013-01,4.4,
2013-02,4.2,
2013-03,4.1,
2013-04,4.8,
2013-05,4.6,
2013-06,4.3,
2013-07,4.1,
2013-08,4.0,
2013-09,3.8,
2013-10,3.2,
2013-11,3.0,
2013-12,2.5,
2014-01,2.4,
2014-02,2.4,
2014-03,2.2,
2014-04,2.0,
2014-05,2.1,
2014-06,2.4,
2014-07,2.5,
2014-08,2.7,
2014-09,3.0,
2014-10,2.7,
2014-11,3.3,
2014-12,3.5,Provisional value
