"",BBDE1.M.DE.Y.GUA1.P2XF13020.BA.V.ABA.A,BBDE1.M.DE.Y.GUA1.P2XF13020.BA.V.ABA.A_FLAGS
2002-02,2.43,
2002-03,2.37,
2002-04,2.37,
2002-05,2.28,
2002-06,2.19,
2002-07,2.22,
2002-08,2.14,
2002-09,2.13,
2002-10,2.11,
2002-11,2.15,
2002-12,2.06,
2003-01,2.05,
2003-02,2.02,
2003-03,2.21,
2003-04,2.46,
2003-05,2.11,
2003-06,2.16,
2003-07,2.16,
2003-08,2.20,
2003-09,2.07,
2003-10,2.13,
2003-11,2.14,
2003-12,2.01,
2004-01,2.04,
2004-02,2.09,
2004-03,2.05,
2004-04,2.01,
2004-05,2.01,
2004-06,2.01,
2004-07,2.00,
2004-08,1.96,
2004-09,2.03,
2004-10,1.97,
2004-11,1.94,
2004-12,2.03,
2005-01,1.99,
2005-02,1.76,
2005-03,1.58,
2005-04,1.85,
2005-05,1.92,
2005-06,1.94,
2005-07,1.99,
2005-08,1.94,
2005-09,2.00,
2005-10,1.97,
2005-11,1.93,
2005-12,1.92,
2006-01,1.93,
2006-02,1.69,
2006-03,1.56,
2006-04,1.89,
2006-05,2.06,
2006-06,1.98,
2006-07,2.03,
2006-08,2.07,
2006-09,2.09,
2006-10,2.06,
2006-11,2.13,
2006-12,2.33,
2007-01,2.12,
2007-02,2.18,
2007-03,2.05,
2007-04,2.05,
2007-05,2.00,
2007-06,2.01,
2007-07,1.96,
2007-08,2.03,
2007-09,2.06,
2007-10,2.06,
2007-11,2.10,
2007-12,2.12,
2008-01,2.36,
2008-02,2.74,
2008-03,2.30,
2008-04,2.11,
2008-05,2.14,
2008-06,2.12,
2008-07,2.11,
2008-08,2.16,
2008-09,2.07,
2008-10,2.07,
2008-11,2.10,
2008-12,2.02,
2009-01,1.98,
2009-02,2.15,
2009-03,2.13,
2009-04,2.21,
2009-05,2.23,
2009-06,2.23,
2009-07,2.25,
2009-08,2.31,
2009-09,2.30,
2009-10,2.27,
2009-11,2.19,
2009-12,2.17,
2010-01,1.79,
2010-02,1.68,
2010-03,2.03,
2010-04,2.29,
2010-05,2.28,
2010-06,2.26,
2010-07,2.28,
2010-08,2.23,
2010-09,2.24,
2010-10,2.27,
2010-11,2.21,
2010-12,1.92,
2011-01,2.19,
2011-02,2.40,
2011-03,2.50,
2011-04,2.38,
2011-05,2.41,
2011-06,2.24,
2011-07,2.26,
2011-08,2.23,
2011-09,2.23,
2011-10,2.26,
2011-11,2.27,
2011-12,2.33,
2012-01,2.27,
2012-02,1.94,
2012-03,2.26,
2012-04,2.19,
2012-05,2.20,
2012-06,2.21,
2012-07,2.23,
2012-08,2.22,
2012-09,2.20,
2012-10,2.19,
2012-11,2.17,
2012-12,1.95,
2013-01,1.90,
2013-02,1.97,
2013-03,1.90,
2013-04,2.17,
2013-05,2.24,
2013-06,2.34,
2013-07,2.43,
2013-08,2.41,
2013-09,2.37,
2013-10,2.32,
2013-11,2.34,
2013-12,2.35,
2014-01,2.54,
2014-02,2.59,
2014-03,2.61,
2014-04,2.42,
2014-05,2.33,
2014-06,2.27,
2014-07,2.26,
2014-08,2.23,
2014-09,2.24,
2014-10,2.29,
2014-11,2.29,
2014-12,2.32,
