"",BBDE1.M.DE.Y.BAA1.A2R100050.G.C.I10.A,BBDE1.M.DE.Y.BAA1.A2R100050.G.C.I10.A_FLAGS
2005-06,97.9,
2005-07,98.8,
2005-08,97.9,
2005-09,98.8,
2005-10,100.4,
2005-11,100.6,
2005-12,97.5,
2006-01,95.8,
2006-02,98.4,
2006-03,98.2,
2006-04,99.4,
2006-05,100.7,
2006-06,101.3,
2006-07,99.8,
2006-08,100.2,
2006-09,99.2,
2006-10,98.8,
2006-11,101.0,
2006-12,100.5,
2007-01,99.6,
2007-02,101.5,
2007-03,102.3,
2007-04,101.0,
2007-05,102.6,
2007-06,100.5,
2007-07,100.9,
2007-08,101.6,
2007-09,102.8,
2007-10,102.2,
2007-11,100.7,
2007-12,100.2,
2008-01,103.1,
2008-02,101.5,
2008-03,99.9,
2008-04,98.3,
2008-05,99.8,
2008-06,97.2,
2008-07,100.1,
2008-08,99.1,
2008-09,99.1,
2008-10,98.9,
2008-11,97.6,
2008-12,101.1,
2009-01,100.3,
2009-02,98.6,
2009-03,97.4,
2009-04,100.0,
2009-05,97.5,
2009-06,97.5,
2009-07,98.2,
2009-08,98.2,
2009-09,100.6,
2009-10,97.0,
2009-11,96.9,
2009-12,101.0,
2010-01,101.6,
2010-02,99.1,
2010-03,100.5,
2010-04,98.8,
2010-05,98.9,
2010-06,100.2,
2010-07,99.9,
2010-08,98.8,
2010-09,100.7,
2010-10,98.4,
2010-11,101.0,
2010-12,97.0,
2011-01,98.2,
2011-02,100.2,
2011-03,101.0,
2011-04,102.5,
2011-05,98.7,
2011-06,101.8,
2011-07,100.6,
2011-08,99.9,
2011-09,102.3,
2011-10,100.4,
2011-11,101.3,
2011-12,99.2,
2012-01,99.1,
2012-02,100.2,
2012-03,102.4,
2012-04,97.7,
2012-05,100.6,
2012-06,100.8,
2012-07,98.9,
2012-08,101.4,
2012-09,101.5,
2012-10,101.6,
2012-11,100.9,
2012-12,100.9,
2013-01,102.4,
2013-02,100.3,
2013-03,101.2,
2013-04,98.8,
2013-05,100.8,
2013-06,98.4,
2013-07,100.9,
2013-08,100.7,
2013-09,98.9,
2013-10,100.7,
2013-11,101.4,
2013-12,101.7,
2014-01,100.9,
2014-02,101.3,
2014-03,101.3,
2014-04,102.9,
2014-05,99.2,
2014-06,101.5,
2014-07,101.3,
2014-08,99.5,
2014-09,99.9,
2014-10,101.0,Provisional value
2014-11,99.5,Provisional value
2014-12,102.9,Provisional value
