"",BBDP1.M.DE.Y.EPG.G.GP09SA000000.I10.A,BBDP1.M.DE.Y.EPG.G.GP09SA000000.I10.A_FLAGS
2009-09,97.1,
2009-10,97.1,
2009-11,97.5,
2009-12,97.6,
2010-01,98.0,
2010-02,97.9,
2010-03,98.3,
2010-04,99.1,
2010-05,99.6,
2010-06,100.2,
2010-07,100.6,
2010-08,100.6,
2010-09,100.9,
2010-10,101.1,
2010-11,101.5,
2010-12,102.1,
2011-01,103.2,
2011-02,103.8,
2011-03,104.4,
2011-04,105.2,
2011-05,105.2,
2011-06,105.3,
2011-07,105.9,
2011-08,105.8,
2011-09,106.0,
2011-10,106.2,
2011-11,106.2,
2011-12,105.7,
2012-01,106.2,
2012-02,106.5,
2012-03,107.1,
2012-04,107.2,
2012-05,106.9,
2012-06,106.6,
2012-07,106.5,
2012-08,107.0,
2012-09,107.3,
2012-10,107.4,
2012-11,107.5,
2012-12,107.2,
2013-01,107.8,
2013-02,107.5,
2013-03,107.2,
2013-04,107.0,
2013-05,106.8,
2013-06,106.6,
2013-07,106.5,
2013-08,106.5,
2013-09,106.8,
2013-10,106.6,
2013-11,106.6,
2013-12,106.7,
2014-01,106.6,
2014-02,106.5,
2014-03,106.2,
2014-04,106.0,
2014-05,105.8,
2014-06,105.8,
2014-07,105.7,
2014-08,105.7,
2014-09,105.7,
2014-10,105.5,
2014-11,105.6,
2014-12,105.0,
2015-01,104.3,
