"",BBFB1.M.N.DE.W1.S12T.S1.T.A.FA.O.F4.L._T.N.N,BBFB1.M.N.DE.W1.S12T.S1.T.A.FA.O.F4.L._T.N.N_FLAGS
2005-11,-1604.292,
2005-12,16128.360,
2006-01,659.660,
2006-02,5048.823,
2006-03,9536.558,
2006-04,1355.348,
2006-05,4960.476,
2006-06,10749.458,
2006-07,3210.047,
2006-08,3226.099,
2006-09,7841.722,
2006-10,4897.826,
2006-11,9834.842,
2006-12,10169.203,
2007-01,5466.973,
2007-02,3089.819,
2007-03,4820.139,
2007-04,6813.451,
2007-05,7671.688,
2007-06,9537.783,
2007-07,4009.905,
2007-08,15338.224,
2007-09,15001.823,
2007-10,12989.969,
2007-11,6503.424,
2007-12,5339.207,
2008-01,774.174,
2008-02,13120.297,
2008-03,11299.260,
2008-04,10455.088,
2008-05,10482.911,
2008-06,27398.101,
2008-07,15950.331,
2008-08,11125.060,
2008-09,24147.309,
2008-10,7432.076,
2008-11,6078.580,
2008-12,5735.279,
2009-01,1361.753,
2009-02,-1648.470,
2009-03,341.075,
2009-04,-1863.233,
2009-05,1875.733,
2009-06,15968.598,
2009-07,-3631.324,
2009-08,-6363.000,
2009-09,-8245.000,
2009-10,-9829.000,
2009-11,-7260.000,
2009-12,-6587.000,
2010-01,-6732.000,
2010-02,-2012.000,
2010-03,-2889.000,
2010-04,-2569.000,
2010-05,2606.000,
2010-06,-10229.000,
2010-07,-25814.000,
2010-08,-1234.000,
2010-09,-2330.000,
2010-10,-12131.000,
2010-11,-2534.000,
2010-12,-11812.000,
2011-01,-4771.000,
2011-02,2456.000,
2011-03,-2762.000,
2011-04,428.000,
2011-05,-2556.000,
2011-06,-4.000,
2011-07,7873.000,
2011-08,1560.000,
2011-09,467.000,
2011-10,2312.000,
2011-11,-1290.000,
2011-12,9198.000,
2012-01,-3466.000,
2012-02,-5737.000,
2012-03,-5974.000,
2012-04,-3715.000,
2012-05,-3601.000,
2012-06,-3218.000,
2012-07,-4699.000,
2012-08,-1907.000,
2012-09,-504.000,
2012-10,-3975.000,
2012-11,-2268.173,
2012-12,-8756.822,
2013-01,-1466.362,
2013-02,-1527.661,
2013-03,-2036.003,
2013-04,-1056.596,
2013-05,-3585.199,
2013-06,-2053.797,
2013-07,-1063.610,
2013-08,-4347.068,
2013-09,-1706.131,
2013-10,-1007.969,
2013-11,-2336.304,
2013-12,-2759.308,
2014-01,491.699,
2014-02,133.623,Provisional value
2014-03,624.085,Provisional value
2014-04,-266.242,Provisional value
2014-05,175.790,Provisional value
2014-06,-230.593,Provisional value
2014-07,1586.784,Provisional value
2014-08,1507.150,Provisional value
2014-09,1440.821,
2014-10,684.855,
2014-11,822.440,
2014-12,-2563.662,Provisional value
