"",BBFB1.M.N.DE.W1.S1.S1.T.C.D4P___.O.F._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.D4P___.O.F._Z._T._X.N_FLAGS
2007-01,7289.816,
2007-02,7470.998,
2007-03,7584.044,
2007-04,7605.101,
2007-05,7695.672,
2007-06,7769.898,
2007-07,7803.714,
2007-08,7826.016,
2007-09,7816.030,
2007-10,7856.710,
2007-11,7934.174,
2007-12,7916.467,
2008-01,7861.645,
2008-02,7780.567,
2008-03,7652.935,
2008-04,7499.856,
2008-05,7294.379,
2008-06,7035.253,
2008-07,6702.059,
2008-08,6432.177,
2008-09,6154.992,
2008-10,5543.051,
2008-11,5109.965,
2008-12,4765.706,
2009-01,4244.617,
2009-02,3816.752,
2009-03,3602.680,
2009-04,3596.348,
2009-05,3417.366,
2009-06,3329.937,
2009-07,3300.442,
2009-08,3202.795,
2009-09,3165.926,
2009-10,3178.577,
2009-11,3163.061,
2009-12,3210.774,
2010-01,3397.246,
2010-02,3393.450,
2010-03,3394.035,
2010-04,3443.058,
2010-05,3459.123,
2010-06,3478.890,
2010-07,3436.315,
2010-08,3462.255,
2010-09,3518.817,
2010-10,3587.783,
2010-11,3622.069,
2010-12,3608.127,
2011-01,3588.996,
2011-02,3689.519,
2011-03,3725.904,
2011-04,3763.281,
2011-05,3796.844,
2011-06,3798.164,
2011-07,3711.645,
2011-08,3708.903,
2011-09,3736.243,
2011-10,3682.740,
2011-11,3688.714,
2011-12,3648.380,
2012-01,3708.238,
2012-02,3580.596,
2012-03,3535.038,
2012-04,3564.626,
2012-05,3571.143,
2012-06,3540.308,
2012-07,3545.546,
2012-08,3513.078,
2012-09,3421.505,
2012-10,3422.201,
2012-11,3376.403,
2012-12,3330.285,
2013-01,3188.718,
2013-02,3125.964,
2013-03,3079.775,
2013-04,3058.140,
2013-05,3000.529,
2013-06,2907.426,
2013-07,2802.574,
2013-08,2768.549,
2013-09,2721.129,
2013-10,2695.982,
2013-11,2694.018,
2013-12,2607.761,
2014-01,2746.865,
2014-02,2794.159,Provisional value
2014-03,2733.072,Provisional value
2014-04,2833.520,Provisional value
2014-05,2810.672,Provisional value
2014-06,2781.647,Provisional value
2014-07,2466.368,Provisional value
2014-08,2468.447,Provisional value
2014-09,2423.359,
2014-10,2576.770,
2014-11,2549.150,
2014-12,2515.191,Provisional value
