"",BBDE1.M.DE.Y.AEA1.A2P310000.F.V.I10.A,BBDE1.M.DE.Y.AEA1.A2P310000.F.V.I10.A_FLAGS
2013-09,103.0,
2013-10,107.1,
2013-11,105.2,
2013-12,103.8,
2014-01,104.6,
2014-02,105.9,
2014-03,104.5,
2014-04,104.5,
2014-05,102.1,
2014-06,103.6,
2014-07,103.9,
2014-08,101.9,
2014-09,103.3,
2014-10,106.1,
2014-11,103.7,
2014-12,106.1,Provisional value
