"",BBEX3.M.PEN.USD.CA.AC.A01,BBEX3.M.PEN.USD.CA.AC.A01_FLAGS
2009-06,3.0100,
2009-07,2.9860,
2009-08,2.9465,
2009-09,2.8840,
2009-10,2.9040,
2009-11,2.8800,
2009-12,2.8895,
2010-01,2.8560,
2010-02,2.8475,
2010-03,2.8410,
2010-04,2.8480,
2010-05,2.8440,
2010-06,2.8260,
2010-07,2.8230,
2010-08,2.7970,
2010-09,2.7875,
2010-10,2.7970,
2010-11,2.8315,
2010-12,2.8085,
2011-01,2.7720,
2011-02,2.7745,
2011-03,2.8035,
2011-04,2.8205,
2011-05,2.7670,
2011-06,2.7490,
2011-07,2.7375,
2011-08,2.7260,
2011-09,2.7725,
2011-10,2.7070,
2011-11,2.6995,
2011-12,2.6960,
2012-01,2.6895,
2012-02,2.6770,
2012-03,2.6670,
2012-04,2.6400,
2012-05,2.7090,
2012-06,2.6705,
2012-07,2.6285,
2012-08,2.6095,
2012-09,2.5975,
2012-10,2.5915,
2012-11,2.5785,
2012-12,2.5500,
2013-01,2.5780,
2013-02,2.5860,
2013-03,2.5890,
2013-04,2.6455,
2013-05,2.7320,
2013-06,2.7815,
2013-07,2.7920,
2013-08,2.8070,
2013-09,2.7815,
2013-10,2.7690,
2013-11,2.8010,
2013-12,2.7950,
2014-01,2.8210,
2014-02,2.8000,
2014-03,2.8080,
2014-04,2.8080,
2014-05,2.7655,
2014-06,2.7955,
2014-07,2.7960,
2014-08,2.8435,
2014-09,2.8900,
2014-10,2.9215,
2014-11,2.9190,
2014-12,2.9850,
2015-01,3.0570,
"","General: * The exchange rates recorded up to the end of June 1991 were in ""millones de intis"". Currency conversion with effect from 1 July 1991 at the rate of PEI (intis) 1,000,000 = PEN (nuevo sol) 1; banknotes and coins denominated in PEN only entered into circulation from October 1991 onward. To prepare for the currency conversion, from 1 January 1991, all amounts denominated in inti (including in documents, on cheques, in prices and exchange rates) were indicated in millions and were accompanied by the words ""millones de intis""; ie 530,000 intis = 0.53  ""millones de intis"".",
"","Source: Calculated on the basis of the buying and selling rates of the following banks: Since March 2003 Superintendencia de Banca, Seguros y AFP, Lima 1991 - end of February 2003 Dresdner Bank Lateinamerika AG, Hamburg (formerly: Deutsch-Südamerikanische Bank AG)",
